id,tema,url,tipo,uso,estado
fred_gs3m,benchmark poco riesgo,https://fred.stlouisfed.org/series/GS3M,primaria,Proxy de rollover de Treasury a 3 meses en USD,respaldada
vanguard_vbiax,benchmark riesgo medio,https://personal1.vanguard.com/pub/Pdf/p502.pdf,primaria,Retornos totales 2017-2025 y definición de cartera 60/40,respaldada
msci_acwi,benchmark mucho riesgo,https://www.msci.com/documents/10199/a71b65b5-d0ea-4b5c-a709-24b1213bc3c5,primaria,Retornos netos anuales en USD de acciones globales,respaldada
hcdn_roster_html_2026,padrón activo,https://www.hcdn.gob.ar/diputados/,primaria,Nómina vigente de diputados nacionales y control de la descarga CSV,respaldada
hcdn_roster_csv_2026,padrón activo,https://www.hcdn.gob.ar/system/modules/ar.gob.hcdn.diputados/formatters/generar-lista-diputados.csv,primaria,Base nominal de 257 diputados nacionales al corte,respaldada
hcdn_ddjj_2025,DDJJ cargo actual,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/listado/c4f0658a-4249-11f0-87b7-00505689ffd4,primaria,Listado de presentaciones de diputados para el ejercicio 2025,respaldada
hcdn_ddjj_2026,DDJJ cargo actual,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/listado/f09aa91f-247f-11f1-99ad-00505689ffd4,primaria,Listado de presentaciones de diputados para el ejercicio 2026,respaldada
senado_roster_2026,padrón activo,https://www.senado.gob.ar/senadores/listados/listaSenadoRes,primaria,Nómina vigente de 72 senadores nacionales al corte,respaldada
senado_ddjj_2025,DDJJ cargo actual,https://www.senado.gob.ar/administrativo/ddjj/,primaria,Listado de presentaciones de senadores para el ejercicio 2025,respaldada
cfi_gobernadores_2026,padrón activo,https://cfi.org.ar/quienes_somos,primaria,Nómina de 23 gobernadores y jefe de Gobierno de CABA al corte,respaldada
dine_poder_provincial_2026,poder provincial,https://www.argentina.gob.ar/sites/default/files/2026/02/mapa_de_poder_provincial_-_julio2026_4.pdf,primaria,Partidos de gobernaciones y magnitud de legislaturas e intendencias provinciales,respaldada
argentina_ministerios_2026,padrón activo PEN,https://www.argentina.gob.ar/jefatura/ministerios-nacionales,primaria,Estructura vigente de ministerios nacionales usada para delimitar la conducción PEN,respaldada
oa_alcance_pen_2026,DDJJ cargo actual,https://www.argentina.gob.ar/anticorrupcion/prevencion/declaraciones-juradas,primaria,Alcance del régimen de declaraciones juradas del Poder Ejecutivo Nacional,respaldada
jgm_decreto_548_2026,padrón activo PEN,https://www.argentina.gob.ar/normativa/nacional/norma-427132/texto,primaria,Designación vigente del Jefe de Gabinete de Ministros,respaldada
interior_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/interior/transparencia/autoridades-personal,primaria,Autoridad vigente de la Vicejefatura de Gabinete del Interior,respaldada
presidencia_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/presidencia,primaria,Presidencia y Secretaría General de la Presidencia vigentes,respaldada
senado_presidencia_2026,padrón activo PEN,https://www.senado.gob.ar/presidencia,primaria,Vicepresidencia de la Nación y Presidencia del Senado vigentes,respaldada
cancilleria_autoridad_2026,padrón activo PEN,https://www.cancilleria.gob.ar/es/ministerio-de-relaciones-exteriores-comercio-internacional-y-culto,primaria,Autoridad vigente de Cancillería,respaldada
defensa_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/defensa/transparencia/autoridades-personal,primaria,Autoridad vigente del Ministerio de Defensa,respaldada
economia_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/node/72493,primaria,Autoridad vigente del Ministerio de Economía,respaldada
justicia_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/justicia/transparencia/autoridades-personal,primaria,Autoridad vigente del Ministerio de Justicia,respaldada
seguridad_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/seguridad/transparencia/autoridades-personal,primaria,Autoridad vigente del Ministerio de Seguridad Nacional,respaldada
salud_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/salud/transparencia/autoridades-personal,primaria,Autoridad vigente del Ministerio de Salud,respaldada
capital_humano_autoridades_2026,padrón activo PEN,https://www.argentina.gob.ar/capital-humano/transparencia-ministerio-de-capital-humano/organigrama-autoridades-y-personal,primaria,Autoridad vigente del Ministerio de Capital Humano,respaldada
desregulacion_autoridad_2026,padrón activo PEN,https://www.argentina.gob.ar/desregulacion,primaria,Autoridad vigente del Ministerio de Desregulación y Transformación del Estado,respaldada
salud_ddjj_obligados_2026,DDJJ cargo actual,https://www.argentina.gob.ar/salud/transparencia/declaraciones-juradas,primaria,Ejemplo de publicación sectorial de sujetos obligados y acceso a DDJJ del PEN,respaldada
ba_diputados_vigentes_2026,padrón activo provincial,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,primaria,Nómina vigente de 92 diputados provinciales de Buenos Aires,respaldada
ba_senadores_vigentes_2026,padrón activo provincial,https://senado-ba.gov.ar/Senadores.aspx,primaria,Nómina vigente de 46 senadores provinciales de Buenos Aires,respaldada
caba_legisladores_home_2026,padrón activo provincial,https://www.legislatura.gob.ar/legisladores,primaria,Página institucional de legisladores de CABA respaldada para control,respaldada
caba_composicion_actual_2026,padrón activo provincial,https://www.legislatura.gob.ar/seccion/composicion-actual.html,primaria,Composición actual y bloques de la Legislatura de CABA,respaldada
caba_legisladores_xml_2026,padrón activo provincial,https://parlamentaria.legislatura.gob.ar/webservices/Json.asmx/GetDiputadosActivosNuevo,primaria,Servicio oficial usado para la nómina de 60 legisladores de CABA,respaldada
caba_ddjj_listado_2026,DDJJ cargo provincial,https://www.legislatura.gob.ar/seccion/listado-diputados-djpi.html,primaria,Ruta institucional de listados DJPI de legisladores de CABA,respaldada
cordoba_composicion_portal_2026,padrón activo provincial,https://legislaturacba.gob.ar/composicion-de-la-camara/,primaria,Página institucional de composición de la Legislatura de Córdoba,respaldada
cordoba_legisladores_json_2026,padrón activo provincial,https://legislaturacba.gob.ar/wp-content/uploads/2026/01/COMPOSICI%C3%93N-DE-LA-C%C3%81MARA-2026-.json,primaria,Archivo oficial usado para la nómina de 70 legisladores de Córdoba,respaldada
cordoba_ddjj_2026,DDJJ cargo provincial,https://legislaturacba.gob.ar/declaraciones-juradas/,primaria,Ruta institucional de declaraciones juradas de la Legislatura de Córdoba,respaldada
santa_fe_diputados_p1_2026,padrón activo provincial,https://diputadossantafe.gov.ar/web/camara/diputados,primaria,Página 1 de la nómina vigente de 50 diputados de Santa Fe,respaldada
santa_fe_diputados_p2_2026,padrón activo provincial,https://diputadossantafe.gov.ar/web/camara/diputados?page=2,primaria,Página 2 de la nómina vigente de 50 diputados de Santa Fe,respaldada
santa_fe_diputados_p3_2026,padrón activo provincial,https://diputadossantafe.gov.ar/web/camara/diputados?page=3,primaria,Página 3 de la nómina vigente de 50 diputados de Santa Fe,respaldada
santa_fe_diputados_p4_2026,padrón activo provincial,https://diputadossantafe.gov.ar/web/camara/diputados?page=4,primaria,Página 4 de la nómina vigente de 50 diputados de Santa Fe,respaldada
santa_fe_diputados_p5_2026,padrón activo provincial,https://diputadossantafe.gov.ar/web/camara/diputados?page=5,primaria,Página 5 de la nómina vigente de 50 diputados de Santa Fe,respaldada
santa_fe_senadores_2026,padrón activo provincial,https://www.senadosantafe.gob.ar/,primaria,Nómina vigente de 19 senadores departamentales de Santa Fe,respaldada
rio_negro_legisladores_snapshot_2026,padrón activo provincial,https://web.legisrn.gov.ar/institucional/legisladores,primaria estructurada,Transcripción fechada de 46 legisladores y ocho bloques con URL oficial por fila,respaldada
rio_negro_acta_proclamacion_2023,identidad electoral provincial,https://www.electoral.gob.ar/nuevo/paginas/pdf/BEP%204-2023.pdf,primaria,Acta oficial de proclamación 2023 usada para separar la identidad de Juan Carlos Martín sin publicar DNI ni CUIT,respaldada
misiones_diputados_2026,padrón activo provincial,https://www.diputadosmisiones.gov.ar/nuevo/diputados,primaria,Nómina vigente de 40 representantes de Misiones con bloque publicado,respaldada
misiones_bloques_2026,padrón activo provincial,https://www.diputadosmisiones.gov.ar/nuevo/bloques,primaria,Composición vigente de bloques de la Cámara de Representantes de Misiones,respaldada
hcdn_opciones_viajes_2025,identidad legislativa nacional,https://www3.hcdn.gob.ar/archivos/transparencia/Opciones2025.pdf,primaria,Listado HCDN 2025 con nombre completo distrito bloque y opción de viajes usado para separar cinco homonimias nacionales,respaldada
senado_ba_roxana_alejandra_lopez_2026,identidad legislativa provincial,https://www.senado-ba.gov.ar/Prensa_Noticia_Individual.aspx?IdNoticia=18479,primaria,Noticia oficial de jura que publica el nombre completo Roxana Alejandra López para descartar claves OA incompatibles,respaldada
santa_fe_marcelo_omar_gonzalez_2026,identidad legislativa provincial,https://www.santafe.gov.ar/noticias/noticia/imprimir/286178/,primaria,Publicación oficial santafesina que identifica al diputado Marcelo Omar González y permite depurar homónimos sin forzar la clave abreviada,respaldada
santa_fe_sergio_javier_rojas_2024,identidad legislativa provincial,https://expedientes.diputadossantafe.gov.ar/datos/datos/tramitefinal/01-PROYECTOS/02-Con%20Tramite%20Parlamentario/Ley/dl5423624.pdf,primaria,Documento de la Cámara de Diputados de Santa Fe que publica el nombre Sergio Javier Rojas y descarta candidatos OA con segundos nombres incompatibles,respaldada
caba_legislatura_laura_alonso_2026,identidad legislativa provincial,https://www.legislatura.gob.ar/legislador/alonsolaura,primaria,Perfil vigente de Laura Alonso en la Legislatura de la Ciudad usado en el puente institucional con su historial OA,respaldada
jusbaires_laura_alonso_cv,identidad y trayectoria institucional,https://consejo.jusbaires.gob.ar/2congreso-internacional-de-contrataciones-publicas/expositores/laura-alonso/,primaria,Biografía institucional que vincula a la legisladora Laura Alonso con la titularidad de la Oficina Anticorrupción entre 2015 y 2019,respaldada
decreto_252_2015_laura_alonso_oa,identidad y trayectoria institucional,https://www.argentina.gob.ar/normativa/nacional/norma-257350/texto,primaria,Decreto oficial de designación de Laura Alonso como titular de la Oficina Anticorrupción,respaldada
san_luis_registro_candidatos_jorge_fernandez,identidad electoral provincial,https://electoral.justiciasanluis.gov.ar/?p=5338,primaria,Registro oficial de candidatos que identifica a Jorge Omar Fernández Gato y permite cotejar el documento de forma reservada sin publicarlo,respaldada
santa_fe_educacion_marcelo_omar_gonzalez_2014,identidad institucional provincial,https://archivoseducacion.santafe.gob.ar/licencias/rosario/nominas/16449-23-09-14-RAM-%20INDEFINIDO.pdf,primaria,Nómina oficial de Educación que identifica a Marcelo Omar González y permite cotejar el documento de forma reservada junto con las fuentes actuales de San Cristóbal,respaldada
misiones_candidatos_oficializados_2025,identidad electoral provincial,https://www.electoralmisiones.gov.ar/wp-content/uploads/2025/05/8-Lista-de-Candidatos-a-Cargos-Provinciales-Habilitadas.pdf,primaria,Lista oficializada del Tribunal Electoral de Misiones usada para descartar de forma reservada las tres claves OA de Juan Manuel Rodríguez,respaldada
hcdn_alvaro_garcia_profile_2026,identidad legislativa nacional,https://www.hcdn.gob.ar/diputados/algarcia/,primaria,Perfil oficial HCDN que publica fecha de nacimiento y profesión de Álvaro García para enlazarlo con el respaldo del Boletín Oficial,respaldada
boletin_oficial_alvaro_garcia_2023,identidad registral oficial,https://otslist.boletinoficial.gob.ar/ots/download/f411488ef77dcbba85e5b190c542b6b24641bcf563eaa57b33157cc10c0fe90a/0/,primaria,Boletín Oficial que identifica por documento a Álvaro García con la misma fecha de nacimiento y profesión del perfil HCDN; el cotejo OA se conserva reservado,respaldada
ba_maria_laura_fernandez_profile_2026,identidad legislativa provincial,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,primaria,Perfil y nómina oficial vigente de María Laura Fernández usados para recuperar el identificador de persona sin trasladarlo a los derivados públicos,respaldada
ba_diputados_ddjj_2018,esquema de identidad legislativa provincial,https://intranet.hcdiputados-ba.gov.ar/transparencia/web/Declaraciones%20Juradas%202018.pdf,primaria,Nómina oficial de DDJJ que etiqueta DNI y permite verificar mediante un caso de control el esquema de identificadores usado por los perfiles bonaerenses,respaldada
decreto_586_2024_sturzenegger,identidad y cargo PEN,https://www.argentina.gob.ar/normativa/nacional/norma-401217/texto,primaria,Decreto oficial de designación de Federico Adolfo Sturzenegger usado para cotejar de forma reservada el identificador OA sin publicarlo,respaldada
decreto_6_2023_patricia_bullrich,identidad y trayectoria institucional,https://www.argentina.gob.ar/normativa/nacional/decreto-6-2023-394974/texto,primaria,Decreto oficial de designación de Patricia Bullrich en Seguridad usado para enlazar su historial OA con el cargo legislativo actual mediante cotejo reservado,respaldada
decreto_225_2021_martin_soria,identidad y trayectoria institucional,https://www.argentina.gob.ar/normativa/nacional/decreto-225-2021-348277/texto,primaria,Decreto oficial de designación de Martín Ignacio Soria en Justicia usado para enlazar su historial OA con el cargo legislativo actual mediante cotejo reservado,respaldada
decreto_380_2024_adriana_serquis,identidad y trayectoria institucional,https://www.argentina.gob.ar/normativa/nacional/decreto-380-2024-398809/texto,primaria,Decreto oficial que identifica a Adriana Cristina Serquis como presidenta saliente de CNEA y permite cotejar su historial OA de forma reservada,respaldada
decreto_145_2024_sebastian_pareja,identidad y trayectoria institucional,https://www.argentina.gob.ar/normativa/nacional/decreto-145-2024-396662/texto,primaria,Decreto oficial de designación de Sebastián Miguel Pareja en Integración Socio-urbana usado para enlazar su historial OA mediante cotejo reservado,respaldada
oa_f1245_manual_2025,DJPI,https://www.argentina.gob.ar/sites/default/files/instructivo_-arca-_presentacion_ddjj_anuales_f.1245.pdf,primaria,Manual oficial que exige totalidad veracidad y exactitud de saldos y valuaciones de inicio y cierre,respaldada
arca_valuaciones_2025,valuacion,https://www.arca.gob.ar/gananciasYBienes/bienes-personales/valuaciones/periodo-fiscal-2025.asp,primaria,Portal oficial de tablas y referencias para valuar bienes en el período fiscal 2025,respaldada
cronista_karina_revaluacion_2025,Karina Milei,https://www.cronista.com/economia-politica/cuanto-crecieron-los-patrimonios-de-javier-y-karina-milei-en-el-ultimo-ano-bienes-dolares-y-deudas/,secundaria,Transcripción del PDF OA 2025 con la diferencia de valuación total y el puente de patrimonio neto,respaldada
lanacion_milei_karina_2025,Karina Milei,https://www.lanacion.com.ar/politica/javier-milei-declaro-bienes-y-depositos-por-295-millones-y-registro-una-suba-con-respecto-a-2024-nid31082026/,secundaria,Control cruzado del detalle 2025 y de las deudas de apertura y cierre,respaldada
oa_javier_milei_ddjj_2024_mirror,Javier Milei,https://ikona.telesurtv.net/content/uploads/2025/07/declaracion-jurada-14-dac2f10c7a.pdf,primaria_copia_espejo,Copia íntegra del formulario OA 2024 usada para recuperar el gasto omitido por el CSV consolidado,respaldada
oa_javier_milei_ddjj_2023_mirror,Javier Milei,https://portada.com.ar/tools/redirect.php?i=40417&s=784dc69555d5fdc5e3363e3e2adaae1f&t=3,primaria_copia_espejo,Copia íntegra del formulario OA 2023 usada para confirmar los ingresos no alcanzados que el CSV consolidado multiplicó por diez,respaldada
