date,bank_real_monthly_pct,pf_real_monthly_pct,fintech_real_monthly_pct,bank_pf_real_gap_pp,fintech_tna_pct,fintech_observed,fintech_extended,fintech_status
2025-01-01,3.622677,0.350041,8.430322,3.272636,129.933219,True,False,observado
2025-02-01,3.269517,-0.08136,8.198609,3.350877,129.565626,True,False,observado
2025-03-01,1.909632,-1.289979,6.81708,3.199611,129.607755,True,False,observado
2025-04-01,3.044714,-0.066624,7.811304,3.111338,129.71231,True,False,observado
2025-05-01,4.449514,1.180833,9.358689,3.268681,132.003388,True,False,observado
2025-06-01,4.396002,1.014812,9.182257,3.38119,131.398027,True,False,observado
2025-07-01,3.84389,0.75985,8.799152,3.08404,130.418011,True,False,observado
2025-08-01,4.226303,1.944079,9.374432,2.282224,137.112858,True,False,observado
2025-09-01,4.634421,1.848749,10.696676,2.785672,155.936335,True,False,observado
2025-10-01,4.488727,1.430771,10.512804,3.057956,157.211412,True,False,observado
2025-11-01,3.883015,0.15484,10.478866,3.728175,158.531034,True,False,observado
2025-12-01,2.945993,-0.669724,9.517396,3.615717,151.601562,True,False,observado
2026-01-01,2.760499,-0.374658,9.09522,3.135157,146.867137,True,False,observado
2026-02-01,2.828426,-0.408062,8.867079,3.236488,144.242604,True,False,observado
2026-03-01,2.322966,-1.100731,8.354978,3.4236969999999998,144.242604,False,True,extensión última TNA oficial
2026-04-01,2.997907,-0.702399,9.200465,3.7003060000000003,144.242604,False,True,extensión última TNA oficial
2026-05-01,3.381492,-0.391688,9.662504,3.77318,144.242604,False,True,extensión última TNA oficial
2026-06-01,3.601833,-0.173192,9.945683,3.7750250000000003,144.242604,False,True,extensión última TNA oficial
2026-07-01,3.292465,-0.374889,9.70138,3.667354,144.242604,False,True,extensión última TNA oficial
