missing_id,scope,tema,institucion,titulo,catalog_url,candidate_binary_url,extension,status,priority,origin,reason
bcra_isb_abr2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · abril 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-2018/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0418.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_dic2013_buffers,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · diciembre 2013,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2013/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1213.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_dic2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · diciembre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2018-2/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1218.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_dic2024_mora,master_catalog,mora_causal,BCRA,Informe sobre Bancos diciembre 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-2024/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1224.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_ene2014_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · enero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-enero-de-2014/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0114.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_feb2014_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · febrero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-febrero-de-2014/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0214.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_feb2024_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · febrero 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-febrero-de-2024/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0224.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_jul2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · julio 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-julio-de-2018/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0718.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_jun2026_mora,master_catalog,mora_causal,BCRA,Informe sobre Bancos junio 2026,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-bancos-2026-06.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_mar2024_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · marzo 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-marzo-de-2024/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0324.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_may2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · mayo 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-mayo-de-2018/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0518.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_nov2023_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · noviembre 2023,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-noviembre-2023/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1123.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_nov2025_mora,master_catalog,mora_causal,BCRA,Informe sobre Bancos noviembre 2025,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-noviembre-2025/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/InfBanc1125.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_oct2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · octubre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-octubre-de-2018/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1018.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_sep2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · septiembre 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-septiembre-de-2018/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0918.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_isb_sep2024_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · septiembre 2024,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-septiembre-de-2024/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0924.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_pases_esquema_20231218,master_catalog,politica_monetaria_bancos,BCRA,Nuevo esquema de tasa de política monetaria y gestión de liquidez,https://www.bcra.gob.ar/noticias/nueva-tasa-de-politica-monetaria-y-esquema-de-gestion-de-liquidez/,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
bcra_prestamos_activos_sector_mapping,master_catalog,ciclo_ajuste_hogares,BCRA,Préstamos y otros activos de las entidades financieras,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
capital_humano_auh_alimentar_cba_2024,master_catalog,proteccion_social,Ministerio de Capital Humano,AUH + Tarjeta Alimentar cubren 100% de la CBA,https://www.argentina.gob.ar/node/450359,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
indec_supermercados_archivo,master_catalog,supermercados,INDEC,Archivo histórico y discontinuidades,https://www.indec.gob.ar/indec/web/Institucional-Indec-InformacionDeArchivo-1,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
indec_supermercados_tema,master_catalog,supermercados,INDEC,Encuesta de supermercados,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-1-34,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
santander_cnv_filings_2023,master_catalog,ciclo_ajuste_bancos,CNV,Banco Santander Argentina · presentaciones 2023,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500008454,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
todosobrelamora_cruce,master_catalog,mora_causal,Análisis externo,Todo sobre la mora,https://todosobrelamora.vercel.app/,,,REFERENCE_PAGE_ONLY_NEEDS_SNAPSHOT_OR_BINARY_DISCOVERY,P2,data/fuentes/FUENTES.csv,Catalog source has no physical local copy and no direct binary candidate was identified in the audited historical materials.
