gap_idx,priority,entity,basename,source_archive,container_chain,virtual_path,line,match_type,context
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,RAW_MODERN_XLSX_MANIFEST_V58.csv,6,url_exact,"IEF_DEC2024_PDF,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,YES,WEB_PARSED_ONLY,,TABLE_2_EXACTLY_PARSED_AND_SCREENSHOT_VERIFIED,Exact Q3/Q4 2023 analytical profitability components"
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip::BASE_V60.zip::BASE_V59.zip,FUENTES_V59.md,12,url_exact,   https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip::BASE_V56.zip::BASE_V55.zip::BASE_V54.zip::BASE_V53.zip,FUENTES_V53.md,14,url_exact,- **BCRA_IEF_II_2024_PDF** — https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,FUENTES_V57.md,6,basename,   https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf  
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,RAW_API_MANIFEST_V57.csv,2,basename,"BCRA_BOLMETES_METHOD,official_methodology_pdf,https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf,monthly-results publication regime,VERIFIED_WEB_TEXT,NO,,Explicitly says publication of monthly results was discontinued from Jan-2020; accumulated monthly results remain in month-end homogeneous currency."
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,FUENTES_V58.md,4,url_exact,URL: https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,RAW_MODERN_XLSX_MANIFEST_V58.csv,6,url_exact,"IEF_DEC2024_PDF,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,YES,WEB_PARSED_ONLY,,TABLE_2_EXACTLY_PARSED_AND_SCREENSHOT_VERIFIED,Exact Q3/Q4 2023 analytical profitability components"
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip,FUENTES_V59.md,12,url_exact,   https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip::BASE_V56.zip::BASE_V55.zip::BASE_V54.zip::BASE_V53.zip,FUENTES_V53.md,14,url_exact,- **BCRA_IEF_II_2024_PDF** — https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,FUENTES_V57.md,6,basename,   https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf  
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,RAW_API_MANIFEST_V57.csv,2,basename,"BCRA_BOLMETES_METHOD,official_methodology_pdf,https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf,monthly-results publication regime,VERIFIED_WEB_TEXT,NO,,Explicitly says publication of monthly results was discontinued from Jan-2020; accumulated monthly results remain in month-end homogeneous currency."
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,FUENTES_V58.md,4,url_exact,URL: https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,RAW_MODERN_XLSX_MANIFEST_V58.csv,6,url_exact,"IEF_DEC2024_PDF,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,YES,WEB_PARSED_ONLY,,TABLE_2_EXACTLY_PARSED_AND_SCREENSHOT_VERIFIED,Exact Q3/Q4 2023 analytical profitability components"
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip,FUENTES_V59.md,12,url_exact,   https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
28,P1,icbc_eeff_9m2023_aq,Estados+Financieros+ICBC+202309_ESPAÑOL+LEGALIZADO.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/VEREDICTO_V64.md,43,url_exact,Fuentes: https://www.icbc.com.ar/wcm/connect/4de3ed09-cb4e-4064-b6a5-0aa3f0bca5fd/Estados%2BFinancieros%2BICBC%2B202309_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oNG1sHj&MOD=AJPERES ; https://www.icbc.com.ar/wcm/connect/09254af5-2d9a-4742-bec0-bbd0018305d5/Estados%2BFinancieros%2BICBC%2B202312_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oUU1Wae&MOD=AJPERES
29,P1,icbc_eeff_fy2023_aq,Estados+Financieros+ICBC+202312_ESPAÑOL+LEGALIZADO.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/VEREDICTO_V64.md,43,url_exact,Fuentes: https://www.icbc.com.ar/wcm/connect/4de3ed09-cb4e-4064-b6a5-0aa3f0bca5fd/Estados%2BFinancieros%2BICBC%2B202309_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oNG1sHj&MOD=AJPERES ; https://www.icbc.com.ar/wcm/connect/09254af5-2d9a-4742-bec0-bbd0018305d5/Estados%2BFinancieros%2BICBC%2B202312_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oUU1Wae&MOD=AJPERES
38,P2,bcra_boldat202505_tipo_titular,boldat202505.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/VEREDICTO_V64.md,63,url_exact,Fuentes: https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf ; https://www.bcra.gob.ar/conocer-que-es-la-central-de-deudores/
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/VEREDICTO_V64.md,63,url_exact,Fuentes: https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf ; https://www.bcra.gob.ar/conocer-que-es-la-central-de-deudores/
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip::v64/BASE_V63.zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip::BASE_V56.zip::BASE_V55.zip::BASE_V54.zip::BASE_V53.zip,FUENTES_V53.md,14,url_exact,- **BCRA_IEF_II_2024_PDF** — https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip::v64/BASE_V63.zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,FUENTES_V57.md,6,basename,   https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf  
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip::v64/BASE_V63.zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip::BASE_V57.zip,RAW_API_MANIFEST_V57.csv,2,basename,"BCRA_BOLMETES_METHOD,official_methodology_pdf,https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf,monthly-results publication regime,VERIFIED_WEB_TEXT,NO,,Explicitly says publication of monthly results was discontinued from Jan-2020; accumulated monthly results remain in month-end homogeneous currency."
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip::v64/BASE_V63.zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,FUENTES_V58.md,4,url_exact,URL: https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip::v64/BASE_V63.zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip::BASE_V58.zip,RAW_MODERN_XLSX_MANIFEST_V58.csv,6,url_exact,"IEF_DEC2024_PDF,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf,YES,WEB_PARSED_ONLY,,TABLE_2_EXACTLY_PARSED_AND_SCREENSHOT_VERIFIED,Exact Q3/Q4 2023 analytical profitability components"
24,P1,bcra_ief_2s2024_ciclo,IEF0224.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip::v64/BASE_V63.zip::BASE_V62.zip::BASE_V61.zip::BASE_V60.zip::BASE_V59.zip,FUENTES_V59.md,12,url_exact,   https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
38,P2,bcra_boldat202505_tipo_titular,boldat202505.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/HOUSEHOLD_SECTOR_MAPPING_V64.csv,2,url_exact,"Hipotecarios,DIRECT_PRODUCT_FLOW_CANDIDATE,NO,BCRA publishes monthly end-stock loans split by holder type; methodology distinguishes human vs legal persons for mortgage/pledged credit.,SYSTEM_STOCK,NOT_IDENTIFIED,NOT_STRICT_HOUSEHOLD_IDENTITY,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf"
38,P2,bcra_boldat202505_tipo_titular,boldat202505.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/HOUSEHOLD_SECTOR_MAPPING_V64.csv,3,url_exact,"Prendarios,DIRECT_PRODUCT_FLOW_CANDIDATE,NO,BCRA publishes monthly end-stock loans split by holder type; methodology distinguishes human vs legal persons for mortgage/pledged credit.,SYSTEM_STOCK,NOT_IDENTIFIED,NOT_STRICT_HOUSEHOLD_IDENTITY,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf"
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/HOUSEHOLD_SECTOR_MAPPING_V64.csv,2,url_exact,"Hipotecarios,DIRECT_PRODUCT_FLOW_CANDIDATE,NO,BCRA publishes monthly end-stock loans split by holder type; methodology distinguishes human vs legal persons for mortgage/pledged credit.,SYSTEM_STOCK,NOT_IDENTIFIED,NOT_STRICT_HOUSEHOLD_IDENTITY,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf"
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/HOUSEHOLD_SECTOR_MAPPING_V64.csv,3,url_exact,"Prendarios,DIRECT_PRODUCT_FLOW_CANDIDATE,NO,BCRA publishes monthly end-stock loans split by holder type; methodology distinguishes human vs legal persons for mortgage/pledged credit.,SYSTEM_STOCK,NOT_IDENTIFIED,NOT_STRICT_HOUSEHOLD_IDENTITY,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf"
39,P2,bcra_bolmetes_prestamos_titular,bolmetes.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/HOUSEHOLD_SECTOR_MAPPING_V64.csv,6,url_exact,"Bundle Hipotecarios+Prendarios+Personales+Tarjetas,DESCRIPTIVE_PRODUCT_PROXY,NO,""At least mortgage/pledged categories have explicit human/legal-person stock splits, so bundle cannot be promoted to strict household sector."",MIXED,NOT_IDENTIFIED,HOUSEHOLD_PRODUCT_PROXY_RETAINED,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/ ; https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf"
28,P1,icbc_eeff_9m2023_aq,Estados+Financieros+ICBC+202309_ESPAÑOL+LEGALIZADO.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/FUENTES_V64.md,5,url_exact,   https://www.icbc.com.ar/wcm/connect/4de3ed09-cb4e-4064-b6a5-0aa3f0bca5fd/Estados%2BFinancieros%2BICBC%2B202309_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oNG1sHj&MOD=AJPERES
29,P1,icbc_eeff_fy2023_aq,Estados+Financieros+ICBC+202312_ESPAÑOL+LEGALIZADO.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/FUENTES_V64.md,7,url_exact,   https://www.icbc.com.ar/wcm/connect/09254af5-2d9a-4742-bec0-bbd0018305d5/Estados%2BFinancieros%2BICBC%2B202312_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oUU1Wae&MOD=AJPERES
38,P2,bcra_boldat202505_tipo_titular,boldat202505.pdf,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,v64/FUENTES_V64.md,11,url_exact,   https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf
