entity_code,entity,dec2023_asset_million_ars,direct_repo_accounts_present_sep_or_dec,ambiguous_other_repo_accounts_present_sep_or_dec,strict_promotion_from_raw_sweep,note
00072,BANCO SANTANDER ARGENTINA S.A.,8577090.645,511027;511108;521022,511007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00083,BANCO DEL CHUBUT S.A.,345216.329,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00086,BANCO DE SANTA CRUZ S.A.,220447.881,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00093,BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA,499070.899,511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00094,BANCO DE CORRIENTES S.A.,349527.56,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,525929.502,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00131,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES,25584.531,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00143,BRUBANK S.A.U.,71871.322,511027;511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00147,BIBANK S.A.,50730.408,511027;511108;521022,521007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00150,HSBC BANK ARGENTINA S.A.,3137073.311,511027;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00158,OPEN BANK ARGENTINA S.A.,15950.899,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00165,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS A",204551.341,511027;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00191,BANCO CREDICOOP COOPERATIVO LIMITADO,3194076.484,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00198,BANCO DE VALORES S.A.,1071950.135,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00247,BANCO ROELA S.A.,48704.549,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00254,BANCO MARIVA S.A.,202982.416,511027;515034;521022;525042,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00259,BANCO ITAU ARGENTINA S.A.,883306.273,511027;511108;521022,511007;521007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00266,BNP PARIBAS,94111.917,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00268,BANCO PROVINCIA DE TIERRA DEL FUEGO,134667.771,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00269,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,3721.946,,,NO_NO_PASS_RESULT_ACCOUNTS,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00277,BANCO SAENZ S.A.,36681.295,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00281,BANCO MERIDIAN S.A.,22896.751,511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00285,BANCO MACRO S.A.,5851533.387,511027;511108;521022,521007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00299,BANCO COMAFI SOCIEDAD ANONIMA,1359542.041,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,732827.049,511027;511108,521007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00301,BANCO PIANO S.A.,178858.83,511027;515034;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00305,BANCO JULIO SOCIEDAD ANONIMA,15280.614,511027;511108;521022,521007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00309,BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL,96882.462,511108;521108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00310,BANCO DEL SOL S.A.,65930.168,511027;511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00311,NUEVO BANCO DEL CHACO S. A.,344934.073,511027;511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00312,BANCO VOII S.A.,35611.942,511027;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00315,BANCO DE FORMOSA S.A.,267850.547,511027;511108;521022;525042,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00319,BANCO CMF S.A.,326582.252,511027;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00321,BANCO DE SANTIAGO DEL ESTERO S.A.,459060.78,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00322,BANCO INDUSTRIAL S.A.,770685.987,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00330,NUEVO BANCO DE SANTA FE SOCIEDAD ANONIMA,1434446.852,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00331,BANCO CETELEM ARGENTINA S.A.,1575.938,,,NO_NO_PASS_RESULT_ACCOUNTS,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00332,BANCO DE SERVICIOS FINANCIEROS S.A.,54948.49,,,NO_NO_PASS_RESULT_ACCOUNTS,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00338,BANCO DE SERVICIOS Y TRANSACCIONES S.A.,162280.823,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00339,RCI BANQUE S.A.,79092.414,,,NO_NO_PASS_RESULT_ACCOUNTS,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00340,BACS BANCO DE CREDITO Y SECURITIZACION S.A.,148814.589,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00341,BANCO MASVENTAS S.A.,17724.625,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00384,WILOBANK S.A.U.,27138.311,511027;511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00386,NUEVO BANCO DE ENTRE RÍOS S.A.,629417.586,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00389,BANCO COLUMBIA S.A.,181738.552,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00426,BANCO BICA S.A.,68272.969,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00431,BANCO COINAG S.A.,63791.798,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00432,BANCO DE COMERCIO S.A.,37926.253,511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00435,BANCO SUCREDITO REGIONAL S.A.U.,3285.667,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00448,BANCO DINO S.A.,30186.941,511027,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
