series_code,legacy_role,legacy_public_name,v56_series_id_continuity,post2020_published_or_conceptual_counterpart,v57_mapping_status,notes
1160,paid_interest_fx_forward_purchases,Resultados Mensuales de entidades financieras -intereses pagados por compra de mon.ext.,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,IEF FX / other-financial components,OVERLAPPING_CONCEPTUAL_COUNTERPART_NO_EXACT_ACCOUNT_BRIDGE,"FX mixes remeasurement, trading, forwards/derivatives; no direct household identity."
1161,paid_interest_subordinated,Resultados Mensuales de entidades financieras -intereses pagados por obligaciones subordinadas,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1162,paid_interest_other_intermediation,Resultados Mensuales de entidades financieras -intereses pagados por otras obligaciones por intermediación financiera,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1183,net_results_total,Resultados Mensuales de entidades financieras -resultados netos totales,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1184,net_investment_results_total,Resultados Mensuales de entidades financieras -resultados netos por inversiones totales,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1185,net_public_securities_result_mixed_modes,Resultados Mensuales de entidades financieras -resultados netos por inversiones en títulos públicos,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,IEF analytic component: Resultado por títulos valores c/ORI,ANALYTIC_COMPONENT_EXISTS_NOT_P24_RAW_OR_ISSUER_SPLIT,Cannot infer Treasury/BCRA share from stock alone.
1186,net_equity_and_trust_securities_result,Resultados Mensuales de entidades financieras -resultados netos por inversiones en participaciones societarias ,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1187,net_corporate_bond_result,Resultados Mensuales de entidades financieras -resultados netos por inversiones en obligaciones negociables,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1188,net_subordinated_obligations_result,Resultados Mensuales de entidades financieras -resultados netos por obligaciones subordinadas,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1189,net_options_result,Resultados Mensuales de entidades financieras -resultados netos por opciones,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1190,net_permanent_equity_result,Resultados Mensuales de entidades financieras -resultados netos por participaciones societarias permanentes ,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1191,foreign_branches_result,Resultados Mensuales de entidades financieras -resultados netos de filiales en el exterior,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,,NO_DIRECT_POST2020_RAW_LINE_IDENTIFIED,
1192,net_other_result_fx_remeasurement_trading_forwards_swaps_mixed,Resultados Mensuales de entidades financieras -otros resultados netos ,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,IEF FX / other-financial components,OVERLAPPING_CONCEPTUAL_COUNTERPART_NO_EXACT_ACCOUNT_BRIDGE,"FX mixes remeasurement, trading, forwards/derivatives; no direct household identity."
