persona_id,persona,nivel_cargo,cargo,jurisdiccion,partido_o_alianza,estado_ddjj_cargo_actual,fuente_ddjj_actual_url,oa_historial_estado,oa_historial_nombres,oa_anios,estado_busqueda_patrimonial,estado_investigacion,fecha_estado_investigacion,motivo_estado_investigacion,iteracion_sugerida,siguiente_accion
dip-ansaloni-pablo,Pablo Ansaloni,Diputados nacionales,Diputado/a nacional,Buenos Aires,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ANSALONI PABLO MIGUEL,2017|2018|2020|2022|2023,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,3,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-arabia-damian,Damián Arabia,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ARABIA DAMIAN EDUARDO,2017|2018|2019|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-araujo-hernandez-jorge-neri,Jorge Neri Araujo Hernández,Diputados nacionales,Diputado/a nacional,Tierra Del Fuego,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ARAUJO HERNANDEZ JORGE NERI,2023,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,2,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-ardohain-martin,Martín Ardohain,Diputados nacionales,Diputado/a nacional,La Pampa,PRO,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ARDOHAIN MARTIN MIGUEL,2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,3,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-arrieta-lourdes-micaela,Lourdes Micaela Arrieta,Diputados nacionales,Diputado/a nacional,Mendoza,PROVINCIAS UNIDAS,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ARRIETA LOURDES MICAELA,2022|2023|2024,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-arrua-alberto,Alberto Arrúa,Diputados nacionales,Diputado/a nacional,Misiones,ARGENTINA FEDERAL,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-aveiro-martin,Martín Aveiro,Diputados nacionales,Diputado/a nacional,Mendoza,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,AVEIRO MARTIN GUILLERMO,2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,3,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-avico-belen,Belén Avico,Diputados nacionales,Diputado/a nacional,Cordoba,LA LIBERTAD AVANZA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-avila-jorge-antonio,Jorge Antonio Avila,Diputados nacionales,Diputado/a nacional,Chubut,PROVINCIAS UNIDAS,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,AVILA JORGE ANTONIO,2023|2024,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-avila-fernanda,Fernanda Avila,Diputados nacionales,Diputado/a nacional,Catamarca,ELIJO CATAMARCA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-banfi-karina,Karina Banfi,Diputados nacionales,Diputado/a nacional,Buenos Aires,ADELANTE BUENOS AIRES,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BANFI KARINA VERONICA,2017|2018|2019|2020|2021|2022|2023|2024,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-barbur-marcelo,Marcelo Barbur,Diputados nacionales,Diputado/a nacional,Santiago Del Estero,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-basterra-luis-eugenio,Luis Eugenio Basterra,Diputados nacionales,Diputado/a nacional,Formosa,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BASTERRA LUIS EUGENIO,2017|2018|2019|2020|2021|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,2,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-basualdo-atilio,Atilio Basualdo,Diputados nacionales,Diputado/a nacional,Formosa,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-basualdo-carolina,Carolina Basualdo,Diputados nacionales,Diputado/a nacional,Cordoba,PROVINCIAS UNIDAS,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BASUALDO CAROLINA DEL VALLE,2018,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-becerra-monica,Mónica Becerra,Diputados nacionales,Diputado/a nacional,San Luis,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-benedit-beltran,Beltrán Benedit,Diputados nacionales,Diputado/a nacional,Entre Rios,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BENEDIT BELTRAN,2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-benegas-lynch-bertie,Bertie Benegas Lynch,Diputados nacionales,Diputado/a nacional,Buenos Aires,LA LIBERTAD AVANZA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-bianchetti-emmanuel,Emmanuel Bianchetti,Diputados nacionales,Diputado/a nacional,Misiones,PRO,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-biella-bernardo,Bernardo Biella,Diputados nacionales,Diputado/a nacional,Salta,ARGENTINA FEDERAL,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-bonacci-rocio,Rocío Bonacci,Diputados nacionales,Diputado/a nacional,Santa Fe,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BONACCI ROCIO BELEN,2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,4,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bongiovanni-alejandro,Alejandro Bongiovanni,Diputados nacionales,Diputado/a nacional,Santa Fe,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BONGIOVANNI ALEJANDRO,2017|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bordet-gustavo,Gustavo Bordet,Diputados nacionales,Diputado/a nacional,Entre Rios,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BORDET GUSTAVO EDUARDO,2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,2,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-borgatta-alejandrina,Alejandrina Borgatta,Diputados nacionales,Diputado/a nacional,Santa Fe,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BORGATTA ALEJANDRINA BELEN,2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bornoroni-gabriel,Gabriel Bornoroni,Diputados nacionales,Diputado/a nacional,Cordoba,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BORNORONI GABRIEL MARCOS,2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,2,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,PTS-FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BREGMAN MYRIAM TERESA,2018|2020|2021|2022|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,3,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-brizuela-adrian,Adrián Brizuela,Diputados nacionales,Diputado/a nacional,Catamarca,LA LIBERTAD AVANZA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-bruno-eliana,Eliana Bruno,Diputados nacionales,Diputado/a nacional,Salta,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BRUNO ELIANA LORENA,2022|2024,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Diputado/a nacional,Cordoba,PROVINCIAS UNIDAS,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,BRUGGE JUAN FERNANDO,2017|2018|2019|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,2,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Diputado/a nacional,Buenos Aires,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CAFIERO SANTIAGO ANDRES,2019|2020|2021|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,4,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-campero-mariano,Mariano Campero,Diputados nacionales,Diputado/a nacional,Tucuman,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CAMPERO MARIANO,2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,3,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-campitelli-celia,Celia Campitelli,Diputados nacionales,Diputado/a nacional,Santiago Del Estero,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CAMPITELLI CELIA MARIA,2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-campo-julieta-marisol,Julieta Marisol Campo,Diputados nacionales,Diputado/a nacional,Chaco,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CAMPO JULIETA MARISOL,2022|2023,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-campora-lucia,Lucía Cámpora,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-capozzi-sergio-eduardo,Sergio Eduardo Capozzi,Diputados nacionales,Diputado/a nacional,Rio Negro,PROVINCIAS UNIDAS,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CAPOZZI SERGIO EDUARDO,2022|2023|2024,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-carignano-florencia,Florencia Carignano,Diputados nacionales,Diputado/a nacional,Santa Fe,UNIÓN POR LA PATRIA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-carrancio-alejandro,Alejandro Carrancio,Diputados nacionales,Diputado/a nacional,Buenos Aires,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
dip-casas-sergio-guillermo,Sergio Guillermo Casas,Diputados nacionales,Diputado/a nacional,La Rioja,UNIÓN POR LA PATRIA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CASAS SERGIO GUILLERMO,2022,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-castagneto-carlos-daniel,Carlos Daniel Castagneto,Diputados nacionales,Diputado/a nacional,Buenos Aires,UNIÓN POR LA PATRIA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CASTAGNETO CARLOS DANIEL,2017|2018|2019|2020|2021|2022|2023|2024,identidad_confirmada_cruce_oficial,cerrado_publicable,2026-09-02,Trayectoria publicada con controles reproducibles.,1,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-castelnuovo-giselle,Giselle Castelnuovo,Diputados nacionales,Diputado/a nacional,Buenos Aires,LA LIBERTAD AVANZA,presentacion_2025_2026_localizada,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,CASTELNUOVO GISELLE,2017|2018|2019|2024,revision_manual_identidad,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",3,Resolver variaciones de nombre o identificador antes de usar importes.
dip-chica-jorge,Jorge Chica,Diputados nacionales,Diputado/a nacional,San Juan,UNIÓN POR LA PATRIA,sin_presentacion_localizada_en_listados_2025_2026,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,sin_registro_oa_2017_2024,freezado,2026-09-02,"Expansión pausada para priorizar profundidad analítica en las trayectorias ya publicadas. El freeze no equivale a descarte, incumplimiento ni patrimonio cero.",5,"Buscar fuente del régimen actual y documentar publicado, reservado o no localizado."
