gap_id,priority,scope,version,entity_or_id,role,url,extension,reason,batch1_archaeology_status,batch1_note,batch2_archaeology_status,batch2_note
2011,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_abr2018_ciclo,Informe sobre Bancos · abril 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0418.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2012,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_dic2013_buffers,Informe sobre Bancos · diciembre 2013,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1213.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2013,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_dic2018_ciclo,Informe sobre Bancos · diciembre 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1218.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2014,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_dic2024_mora,Informe sobre Bancos diciembre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1224.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2015,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_ene2014_ciclo,Informe sobre Bancos · enero 2014,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0114.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2016,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_feb2014_ciclo,Informe sobre Bancos · febrero 2014,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0214.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2017,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_feb2024_ciclo,Informe sobre Bancos · febrero 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0224.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2018,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_jul2018_ciclo,Informe sobre Bancos · julio 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0718.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2019,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_jun2026_mora,Informe sobre Bancos junio 2026,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/informe-bancos-2026-06.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2020,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_mar2024_ciclo,Informe sobre Bancos · marzo 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0324.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2021,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_may2018_ciclo,Informe sobre Bancos · mayo 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0518.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2022,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_nov2023_ciclo,Informe sobre Bancos · noviembre 2023,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1123.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2023,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_nov2025_mora,Informe sobre Bancos noviembre 2025,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informes/InfBanc1125.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2024,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_oct2018_ciclo,Informe sobre Bancos · octubre 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1018.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2025,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_sep2018_ciclo,Informe sobre Bancos · septiembre 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0918.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2026,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_isb_sep2024_ciclo,Informe sobre Bancos · septiembre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0924.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
