proposicion,estado,evidencia_a_favor,evidencia_en_contra_falsificador,alcance,gap_restante
H1.9 · queda residuo acumulado del lado hogar,STRONG_SUPPORT,2014/18 residuo salario+pobreza+consumo; 2024-26 residuo financiero: servicio deuda/mora,2023-25 no deja residuo social homogéneo: pobreza/consumo sí recuperan,por dimensiones,microincidencia post-shock por ingreso
Patrón idéntico en todas las crisis,REJECTED,—,2008 es falsificador; COVID tiene quiebre contable y dinámica propia,universal,ninguno: hipótesis universal descartada
Regularidad en shocks domésticos cambiarios/de ajuste,MODERATE_SUPPORT,2014/18 fuertes; 2015 mixto; 2023 comparte onset/overshoot pero menor residuo social,pocos episodios y amortiguadores distintos,taxonomía restringida,más casos / identificación
RAI único hogar vs banco,REJECTED,—,hogar es vector multidimensional; banco puede no caer al t0; hay censura y regímenes de frecuencia,métrica principal,usar onset/overshoot/duración/área + RAI sólo cuando aplica
Buffers bancarios ex ante reglados y monitoreados,STRONG_SUPPORT,"capital, liquidez, previsiones, límites y stress/supervisión; jun-2026 exceso capital 269%, previsiones 86,6% cartera irregular",no son caja libre ni garantizan ganancias,arquitectura institucional,"comparación funcional, no monetaria"
Buffers del hogar heterogéneos y condicionados,STRONG_SUPPORT,"ahorro propio, desempleo, transferencias, indemnización, límites de embargo, insolvencia judicial y crédito",algunos buffers mejoraron mucho desde 2023,arquitectura institucional,cobertura efectiva por shock
Red social 2023-25 más potente en dimensiones observables,STRONG_SUPPORT,"seguro desempleo: ~9-11% SMVM 2014, ~37% 2018, techo 100% SMVM desde 2023; AUH/Alimentar gana intensidad 2024",no hay ratio alimentario perfectamente empalmable con 2014/18,comparación seleccionada,flujo realizado histórico comparable
Red social neutralizó el shock desde t0,REJECTED,AUH/Alimentar se refuerzan ene-feb24,"pobreza igualmente sube 41,7→52,9% en 1S24; flujo secundario sugiere protección heterogénea inicialmente",2024,micro V29 para composición
Crédito fue el buffer inicial principal de 2024,WEAK_SUPPORT,consumo cae menos que ingreso,crédito promedio/deudor se contrae primero y recién revierte mar-abr/mayo; uso de ahorros salta antes,2024,micro consumo/financiamiento
Crédito funcionó como puente/acelerador de segunda fase,MODERATE_SUPPORT,expansión desde Q2/mayo coincide con recovery; crédito y deudores crecen,no identifica causalidad sobre consumo,2024-25,identificación causal
Crédito deja residuo financiero posterior,STRONG_SUPPORT,"servicio deuda 18,7% masa salarial formal mar25; mora hogares 12,8% jun26; PNFC deterioro alto",stock agregado de ahorro también se recompone; no todos los hogares afectados igual,2024-26,micro por ingreso/proveedor
Más crédito por sí solo causa peor mora,REJECTED,—,cohortes II/III24 mejoran pese a mayor expansión; IV23/I24 peores con saldos iniciales menores,2023-24,modelos de originación/ingreso
Transferencia directa de riqueza hogar → banco,N/D,costo financiero hogar e ingresos/rentabilidad bancaria pueden coexistir,"no hay contabilidad que identifique una transferencia uno-a-uno; costos, fondeo, mora, impuestos y valuación intermedian",causal/contable,micro/contabilidad causal
Intención o coordinación deliberada para producir el reparto,N/D,hay medidas con incidencia distributiva explícita/conocida,no apareció evidencia documental directa de diseño coordinado con ese objetivo; patrón estadístico no basta,nivel 3,"documentos, minutas, comunicaciones, declaraciones explícitas"
Signo regulatorio universal pro-banco,REJECTED,A5853 elimina topes y amplía libertad de pricing; algunos episodios macro pueden beneficiar posiciones financieras indirectamente.,A5590 limita tasas para proteger deudores; A5928 traslada costo/riesgo a entidades; 2018 impone encajes/límites FX; 2024 refuerza transferencias focalizadas.,regulación/política 2014-2024,ampliar corpus 2002-2013 y COVID con misma taxonomía
Heterogeneidad del signo de política/regulación,STRONG_SUPPORT,"La matriz V41 contiene medidas hogar+, banco-, banco+, costo-a-ambos y mitigación fiscal en episodios distintos.",La clasificación de 2002-2013 es documentalmente menos completa.,episodios documentados 2014-2024,extender corpus documental hacia 2002-2013
Asimetría estructural requiere reglas sistemáticamente pro-banco,REJECTED,N/D,"A5928 y A5590 son reglas explícitamente protectoras del hogar; 2018 incluye restricciones directas a bancos. Aun así, V31 encuentra asimetrías de buffers/recuperación en episodios domésticos.",mecanismo institucional,identificación causal de buffers y recovery clocks
Asimetría estructural compatible con signo de política heterogéneo,STRONG_SUPPORT,V31: buffers bancarios ex ante reglados/monitoreados vs buffers hogar heterogéneos; V41: políticas pueden incluso imponer costos a bancos sin eliminar la asimetría funcional.,No existe una métrica monetaria única de buffers ni prueba causal completa de que esta arquitectura explique cada episodio.,explicación institucional,comparación funcional causal y cobertura efectiva por shock
A5928 como control positivo de falsación institucional,STRONG_SUPPORT,Menor costo al deudor; costo/riesgo a entidad; mecanismo validado por BCRA y bancos; canal de servicios afectado; Supervielle cuantifica un caso B2.,Magnitud sistémica y utilidad neta bancaria N/D; gate de 3 bancos matched pre/post no cerrado.,2016 / regulación de crédito,Régimen de Transparencia histórico y pares adicionales
Del patrón macro puede inferirse intención coordinada hogar→banco,REJECTED_AS_INFERENCE,Hay medidas con incidencia conocida y coordinación institucional ordinaria.,El signo regulatorio cambia entre episodios y existen reglas explícitamente adversas a intereses bancarios específicos; no hay documento que establezca el objetivo coordinado de trasladar pérdidas de hogares a bancos.,nivel 3 intención/coordinación,sólo evidencia documental directa podría elevar este nivel
Un score unidimensional de buffers explica los recovery clocks,REJECTED,Capital/liquidez bancarios y red social sí son mecanismos reales de absorción.,Previsiones no rankean igual que capital/liquidez; 2023 tiene buffers bancarios mucho mayores sin recovery ROA más rápido; salario no recupera pese a red social más fuerte.,2014/2018/2023,ratios de cobertura específicos por función
Buffers prudenciales bancarios protegen solvencia/continuidad más que rentabilidad,STRONG_SUPPORT,2014/2018/2023 mantienen capital/liquidez/previsiones elevados; pérdidas/rentabilidad pueden deteriorarse sin crisis de solvencia.,No hay episodio doméstico comparable de bajo buffer como contrafactual.,mecanismo prudencial,stress ratios pérdida/capital y fondeo/liquidez
Mayor red social predice recuperación del salario registrado,REJECTED,N/D,2014/2018/2023 no recuperan salario registrado antes del censor pese a gran aumento de la potencia del seguro/desempleo en 2023.,outcome salario registrado,ninguno para claim general; estudiar subpoblaciones
Mayor red social es compatible con recuperación social amplia más rápida,CONSISTENT_NOT_CAUSAL,2023–25 tiene red más fuerte y recuperación de pobreza/consumo mucho más rápida que 2014/2018.,"Desinflación, actividad, ingresos y ahorro cambian simultáneamente.",pobreza/consumo/ingreso amplio,V33 EPH micro + contrafactuales
Asimetría de buffers es causa suficiente del patrón doméstico,REJECTED,Puede condicionar resiliencia y timing.,2008 tiene buffers bancarios robustos pero no reproduce la caída inmediata del hogar.,suficiencia causal,clasificación de tipo de shock y mecanismo de propagación
Mecanismo estructural de buffers por dimensión,PARTIAL_DIMENSION_SPECIFIC_SUPPORT,Capital/liquidez/previsiones sostienen resiliencia bancaria; seguros/transferencias sostienen determinados flujos sociales; outcomes responden de forma diferenciada.,No hay ratios de cobertura homogéneos ni identificación causal completa.,nivel 2 mecanismo institucional,V43 ratios de cobertura + V33 EPH
Existe un ratio único de cobertura de buffer comparable entre banco y hogar,REJECTED,N/D,"Los buffers cubren riesgos con denominadores distintos: cartera irregular, crédito neto, ingreso elegible, CBA, fondeo.",arquitectura funcional,ninguno para el claim universal
Previsiones bancarias tienen cobertura funcional observable sobre cartera irregular,SUPPORTED,"BCRA publica headline y cobertura ajustada; 2023 ajustada 90,4%→113,2% en el primer mes.",2018 ajustada queda <100% sin crisis de solvencia: previsiones no son el único buffer.,crédito / solvencia,pérdida realizada incremental y LGD homogénea
Exceso de capital permite medir cobertura de pérdidas realizadas homogénea 2014/2018/2023,N/D,2023+ publica exceso de capital / crédito privado neto.,2014/2018 no tienen el mismo denominador congelado; ROA no es monto de pérdida.,capital prudencial,serie histórica compatible
Liquidez bancaria cubrió X veces el estrés de fondeo en los tres episodios,N/D,Stocks de liquidez son observables.,No hay outflow homogéneo y cambia la composición del ratio.,liquidez/fondeo,outflows comparables + bridge instrumental
Cobertura normativa del seguro de desempleo mejoró entre 2014 y 2023,STRONG_SUPPORT,"Techo ≈9–11% SMVM en 2014; 37,2% en 2018; desde 2023 fórmula 75% salario neto previo con piso 50% y techo 100% SMVM.",Cobertura realizada de cada beneficiario no es homogénea históricamente.,ingreso desempleados elegibles,micro/distribución beneficiarios
AUH+Alimentar aumentó cobertura de CBA del universo cubierto durante 2024,SUPPORTED,"Serie oficial 54,8% dic-2023 → 100% dic-2024.",No identifica causalidad sobre pobreza.,piso alimentario / hogares cubiertos,V33 EPH real
Mecanismo estructural de buffers tiene cobertura funcional parcialmente observable,PARTIAL_FUNCTIONAL_COVERAGE_SUPPORT,"Previsiones/cartera irregular, capital/crédito neto moderno, desempleo/ingreso y AUH+Alimentar/CBA tienen denominadores defendibles.",Liquidez y ahorro hogar carecen de denominadores homogéneos; outcome causal no identificado.,nivel 2 mecanismo institucional,V44 stress-use + V33 microdatos
Buffer bancario de riesgo crediticio estuvo cerca de saturarse en 2014,REJECTED,N/D,"Exposición patrimonial neta -3,5% PN pre y -2,9% durante/final 2014.",solvencia / riesgo crediticio 2014,pérdidas realizadas monetarias para otros canales
Buffer bancario de riesgo crediticio estuvo cerca de saturarse en 2018,REJECTED,Mora y exposición aumentan.,"Exposición neta sólo 1,6% PN dic-2018; Mar-2019 irregular no cubierto <10% del exceso de capital.",solvencia / riesgo crediticio 2018-19,no confundir con estrés de liquidez o rentabilidad
Stress crediticio extremo 2023 habría agotado la posición de capital,REJECTED_BY_BCRA_STRESS_TEST,N/D,"Ejercicios extremos llevan posición 289→283% y 289→272% de exigencia, manteniendo alta solvencia.",stress test solvencia Sep-2023,shock realizado posterior no equivale al escenario hipotético
Buffers prudenciales bancarios protegen específicamente solvencia frente al riesgo de crédito,STRONG_SUPPORT,2014 exposición neta negativa; 2018 exposición neta pequeña y residual <10% del exceso de capital; 2023 stress tests extremos preservan gran holgura.,"No prueban protección de ROA, liquidez ni todos los riesgos.",nivel 2 mecanismo institucional / solvencia crediticia,secuencia mora→previsiones→capital y otros riesgos
Uso efectivo del buffer del hogar es comparable con el uso del buffer bancario,N/D,Existen ratios normativos de desempleo y CBA.,"Faltan benefit/prior-wage realizado, elegibilidad efectiva y microcontrafactual AUH/Alimentar.",hogar 2014/2018/2023,V33 EPH + administrativo desempleo
Cambio 2017→2018 de exposición/PN mide consumo de buffer,REJECTED_COMPARABILITY,N/D,"Adopción NIIF aumentó PN 14,8% respecto fin-2017, principalmente por revaluación de inmuebles.",contabilidad bancaria 2018,serie homogénea reexpresada bajo misma norma
Shock del hogar precede sistemáticamente el inicio de la mora,REJECTED,2014 y 2023 tienen secuencias compatibles en algún umbral.,2018 muestra tendencia de mora desde ene-abr antes del shock salarial de mayo.,lead-lag hogar→mora,modelar origen del deterioro crediticio preexistente
Shock del hogar 2023 precede la aceleración material de mora,SUPPORTED,"Umbrales +0,3/+0,5 p.p. sostenidos se alcanzan en feb-2025, ~14 meses después de dic-2023.",Hay una señal pequeña en 2024 que depende del umbral y luego revierte parcialmente.,2023 hogares→mora,"separar originación, stock y refinanciación"
Mora precede sistemáticamente la respuesta de previsiones,REJECTED,2018 muestra respuesta clara tardía en nov.,"2023 cobertura ajustada salta 90,4→113,2% en dic-2023 mucho antes de la mora material.",mora→previsiones,descomponer riesgo hogares vs empresas y reglas contables
Mora es el driver general del primer drawdown de rentabilidad bancaria,REJECTED,2018 puede contribuir al deterioro tardío.,2014 ROA se mueve antes de mora material; 2023 ROA cae antes de la gran aceleración de mora.,mora→ROA,V46 tasas/margen/valuación/regulación
Existe una secuencia lineal universal hogar→mora→previsiones→ROA,REJECTED,Hay piezas parciales por episodio.,"El orden cambia entre 2014, 2018 y 2023; 2008 no reproduce el inicio.",mecanismo temporal,ninguno para claim universal
Patrón secuencial de transmisión existe por episodio y canal,PARTIAL_EPISODE_SPECIFIC_SUPPORT,2014 household→mora parcial; 2018 credit stress→prudential response; 2023 household→mora material con rezago largo.,No hay orden común completo ni identificación causal sólo por precedencia.,nivel 2 mecanismo temporal,V46 descomposición multicanal
Mora/crédito es el primer canal bancario en los shocks domésticos,REJECTED,N/D,"2014: FX valuation domina enero con mora 2,6%; 2018: ROA sube por FX en mayo; 2023: Q4 profit overshoot y margen/títulos/CER preceden mora material.",primer impacto bancario,ninguno para claim general
Primer impacto bancario no crediticio aparece en 2014/2018/2023,STRONG_SUPPORT,2014 y 2018: diferencias de cotización/FX; 2023: margen+títulos+CER+FX+pases.,La mezcla exacta y el signo posterior varían por episodio.,canales de balance,cuantificación homogénea por componente no necesaria para dirección
Existe un único mecanismo bancario alternativo a la mora,REJECTED,2014/2018 comparten FX como primer canal.,2023 es un bloque más amplio de margen/valuación/indexación; 2018 agrega fondeo/encajes; 2014 regulación de posición FX.,mecanismo bancario,ninguno para claim universal
Mecanismo bancario multicanal y específico por episodio,STRONG_SUPPORT,"Timing y explicaciones BCRA distinguen FX, títulos, CER, fondeo, regulación y crédito con secuencias distintas.",No es identificación causal estructural de pesos relativos en todos los meses.,nivel 2 mecanismo institucional,V47 overshoot vs drawdown
Caída de rentabilidad 2024 fue inicialmente explicada por mora de hogares,REJECTED,N/D,BCRA Sep-2024 atribuye compresión principalmente a menor margen financiero real; mora material de consumo acelera recién 2025.,2023-25 rentabilidad,late credit contribution posterior
El timing bancario temprano prueba transferencia de pérdida del hogar,REJECTED_AS_INFERENCE,Hay simultaneidad macro.,El banco recibe shocks directos por FX/tasas/títulos/regulación antes o al margen de la mora.,nivel 3 transferencia/intención,sólo contabilidad de flujos directos podría elevar
El mismo canal amplio impulsa overshoot y trough en todos los episodios,REJECTED_AS_UNIVERSAL,2018/2023 muestran reversión de la misma familia margen/valuación.,2014 trough rota a costos operativos aunque el margen mejora.,fases bancarias,ninguno para claim universal
Todos los episodios rotan a un canal amplio distinto entre overshoot y drawdown,REJECTED_AS_UNIVERSAL,2014 sí rota al trough.,2018/2023 son mayormente reversión de la misma familia amplia.,fases bancarias,ninguno para claim universal
Existe rotación de componentes dentro del episodio,SUPPORTED,2014 FX→regulación→admin; 2018 FX→fondeo→títulos/FX reversal; 2023 cambia peso de pases/títulos/CER/monetario.,No cuantifica pesos causales homogéneos entre meses/episodios.,mecanismo bancario multicanal,V48 saldo acumulado por convención homogénea
Overshoot inicial favorable implica beneficio bancario persistente,REJECTED,N/D,2014 revierte inmediatamente; 2018/2023 muestran reversión de margen/valuación antes o junto a otros costos.,interpretación distributiva,V48 acumulado neto
Mora/incobrabilidad domina el trough de rentabilidad en los tres episodios,REJECTED,Es costo tardío relevante en 2018 y luego 2025.,2014 Apr incobrabilidad estable; 2018 Nov baja de margen por títulos/FX domina; 2023 drawdown precede mora material.,crédito→profit,late-stage contribution
Respuesta bancaria tiene fases distintas dentro del mismo episodio,STRONG_SUPPORT,"Overshoot, normalización, trough y eventual crédito tardío tienen drivers distintos/reversibles.",No equivale a una descomposición causal monetaria completa.,nivel 2 mecanismo temporal,V48 integración temporal homogénea
El drawdown de ROA borra necesariamente el resultado acumulado previo,REJECTED,N/D,"2014, 2018 y 2023-24 mantienen resultados/flujos positivos durante el drawdown.",interpretación contable,ninguno para claim universal
El overshoot inicial fue completamente revertido antes del recovery/trough,REJECTED_IN_OBSERVED_WINDOWS,"2014 ene-jul $29.074m; 2018 ROA 3,8%a ene-nov y 3,9% anual; 2023Q4-2024Q3 ~6,75% de activo diagnóstico.",No identifica cuánto habría ganado el banco sin shock.,fases bancarias,V49 benchmark contrafactual
Resultado contable bancario acumulado es positivo en las ventanas principales,SUPPORTED,Tres episodios conservan signo positivo con convención interna consistente.,2014/2018 nominales no comparables en magnitud con 2023/24 real homogéneo.,contabilidad bancaria observada,no comparar magnitudes entre episodios
Resultado acumulado positivo prueba beneficio causal del shock,REJECTED_AS_CAUSAL_INFERENCE,N/D,Falta trayectoria contrafactual sin shock; resultado incluye negocio normal y múltiples canales concurrentes.,causalidad,V49 benchmark abnormal result
Overshoot inicial explica todo el resultado acumulado bancario,REJECTED,Enero 2014 ~35% de ene-jul; Q4-23 ~45% del diagnóstico Q4-23→Q3-24; períodos posteriores agregan resultado positivo.,Contribuciones no son treatment effects.,composición temporal,V49
Crédito/mora tardía borró el saldo bancario inicial en los episodios auditados,REJECTED_IN_OBSERVED_WINDOWS,N/D,2018/2023-24 mantienen acumulado positivo pese a mayores cargos; 2014 incobrabilidad no domina el trough.,crédito tardío vs saldo,seguir hasta mora 2025 para 2023 branch
Resultado bancario fue anormalmente positivo respecto de benchmarks previos en episodios principales,SUPPORTED_DESCRIPTIVELY,"2014 gaps +0,8/+1,9/+1,7; 2018 +0,4 a +1,1; Q4-2023 +8,7/+9,0.",Pretrends y cambios contables impiden atribución causal completa.,resultado bancario vs benchmark,V50 component bridge / contrafactual
2014 abnormal positive depende del benchmark,ROBUST_DIRECTION,"Q2, YTD y rolling-12m dan signo positivo.","ROA ya había subido 2,9→3,4 entre dic-12 y dic-13.",2014,descomponer componentes anormales
2018 abnormal positive depende del benchmark,ROBUST_DIRECTION_ACCOUNTING_SENSITIVE,"H1, 10m, 11m y FY dan signo positivo.","Q1-18 ya mejora antes de mayo; FY benchmark 2017 varía 2,8 vs 3,0 según vintage.",2018,NIIF / component bridge
Q4-2023 fue anormalmente positivo respecto de Q3 y Q4-2022,SUPPORTED_ACCOUNTING,"12,1 vs 3,1 y 3,4.",Q4 incluye Oct-Nov pre-shock y rentabilidad ya subía antes de diciembre.,2023,aislar diciembre / componentes
Q4-2023 identifica beneficio post-10/12 causado por el shock,REJECTED_AS_INFERENCE,N/D,"Ventana trimestral contaminada por dos meses pre; 12m ROA ya 4,5 en noviembre.",2023 causal,datos mensuales/componentes o diseño más fino
2018 resultado extraordinario comenzó recién con shock salarial de mayo,REJECTED,"Mayo muestra +1,1pp mensual y canal FX explícito.","Q1-18 ROA 2,9 vs Q4-17 1,8: pretrend fuerte.",2018 causal,modelar pretrend
Resultado anormalmente positivo prueba transferencia hogar→banco,REJECTED_AS_INFERENCE,Coinciden household shock y abnormal bank results en algunos episodios.,No hay identidad contable ni contrafactual; canales bancarios directos FX/títulos/tasas existen.,nivel 3 transferencia,evidencia contable directa
Puente de componentes del resultado anormal es identificable,SUPPORTED,2014 anual y 2023 Q4 reconcilian; 2018 H1 reconcilia con residual derivado explícito.,Q2-2014 queda partial por benchmarks exactos faltantes en texto público.,contabilidad bancaria,V51 map shock/policy→component
Persistencia anormal 2014 fue principalmente cambiaria,REJECTED,Enero overshoot sí fue FX.,"Anual 2014 vs2013: títulos +1,4pp; FX -0,1; ROA +0,7.",2014 components,mecanismo títulos
Persistencia anormal 2014 fue liderada por títulos,STRONG_SUPPORT,"Gap títulos +1,4pp y BCRA dice Q2 +0,8 ROA fundamentalmente por títulos.",Gross títulos > net ROA por offsets.,2014,V51 títulos/política
Abnormal H1-2018 fue un efecto FX puro,REJECTED,Mayo individual fue principalmente FX.,"H1 margin positives include títulos, CER, intereses, FX; services/credit offset and admin helps.",2018,exact subcomponent gaps if XLS recovered
Q4-2023 abnormal gap fue liderado por FX/pases/títulos con offsets grandes,STRONG_SUPPORT,"FX +11,3; pases +7,7; títulos +7,3; margin +16,2; net ROA +9,0.",Q4 not clean post-10Dec treatment window.,2023 Q4 accounting,V51 mechanism map
Incobrabilidad explica el abnormal positive bancario,REJECTED,"2014 annual slight +0,1 from lower cost.","2018 -0,3 and Q4-23 -1,2 contributions; mostly offsets.",credit costs,late-stage only
Gap positivo de componente financiero prueba transferencia hogar→banco,REJECTED_AS_INFERENCE,Component bridge identifies accounting categories.,No one-to-one household counterparty or causal flow identity.,nivel 3 distributivo,direct transaction/accounting evidence
Mecanismos shock/política→componente bancario son identificables para varias cuentas,SUPPORTED,"FX, pases, CER y mora tienen vínculos mecánicos/institucionales fuertes.",No todos permiten magnitud causal exacta ni net profit.,nivel 2 componente,V52 contrapartes/incidencia
Mayo-2018 FX causó principalmente el aumento mensual de rentabilidad bancaria,STRONG_SUPPORT_OFFICIAL_ATTRIBUTION,"BCRA atribuye +1,1pp ROA principalmente al salto cambiario y diferencias/ORI.",No implica beneficio anual ni distributivo.,2018 mayo,contraparte económica
2014 persistencia de títulos puede atribuirse exactamente a una sola decisión BCRA,REJECTED_AS_EXACT_CAUSAL_SHARE,Tenencias LEBAC/NOBAC y tasas/instrumentos suben; BCRA liga ROA a títulos.,"Precios, cartera y duration impiden treatment amount único.",2014 títulos,V52/V53
Primas por pases 2023-24 tienen mecanismo institucional explícito,STRONG_SUPPORT,IEF dice mayor prima por mayor saldo de pases tras sustitución de LELIQ.,Q4 abnormal gap incluye pre-10/12.,2023 pases,incidencia cuasifiscal
Inflación tiene signo bancario único,REJECTED,CER puede sumar según posición.,Resultado monetario resta fuertemente; signo depende balance.,2023 inflación,mapear exposición/contraparte
Ganancia de componente identificada equivale a ganancia neta causal del shock,REJECTED_AS_IDENTITY,Component effects can be strong.,Large offsets and other components mean net effect not identified.,causalidad total,counterfactual total
Ganancia de componente financiero identificada equivale a transferencia del hogar,REJECTED_AS_INFERENCE,Algunos componentes coinciden con household stress.,"Contrapartes son BCRA, Tesoro, mercado, posiciones FX/indexadas; no identidad hogar→banco.",distribución,V52 counterpart accounting
Primas por pases tienen contraparte contractual directa BCRA,STRONG_SUPPORT,Estados contables BCRA 2023 registran primas netas por pases como intereses/actualizaciones perdidos; política 19/12 hace pases principal instrumento.,"Q4 gap incluye semanas previas al cambio; no atribuye todo +7,7pp a post-19/12.",2023 passes,cuantificar exacto post-19/12 si se recuperan datos mensuales
Primas por pases equivalen a pago directo del contribuyente,REJECTED_AS_IDENTITY,Existe canal cuasifiscal/monetario BCRA.,Tesoro deposits/other balance operations can offset; no direct tax-flow identity.,incidence,design fiscal-monetary counterfactual
Todo resultado por títulos tiene contraparte Tesoro,REJECTED,"Hay instrumentos BCRA y Treasury, plus market valuation/ORI.",Current component pools issuers/treatments.,securities,issuer/coupon/valuation decomposition
2014 securities abnormality contiene vínculo BCRA,SUPPORTED_NOT_QUANTIFIED,LEBAC/NOBAC holdings rose; BCRA raised rates; Q2 ROA increase attributed mainly to securities.,Exact share of +1.4pp from BCRA instruments vs other securities N/D.,2014 securities,V53 instrument-level split
FX abnormal gain tiene pagador hogar identificable,REJECTED_AS_IDENTITY,FX result arises from revaluation of net FX exposure.,Underlying gross contracts mixed; no bilateral payer required.,2014/2018/2023 FX,gross asset/liability counterparty map
Aggregate CER/CVS abnormal result is direct household transfer,REJECTED_AS_IDENTITY,CER/UVA may involve household loans.,"Aggregate line mixes Treasury, corporate, household, deposits and liabilities.",CER/UVA,sector/instrument decomposition
Direct household contract exists inside bank revenue components,SUPPORTED_AT_CONTRACT_LEVEL,Household loan/card interest and specific fees are direct household→bank contractual gross revenue.,Aggregate abnormal-gap rows not sector-split; not net profit.,credit/services,quantify household share
Mora is a direct household-to-bank payment channel,REJECTED,"Mora raises provisions/credit losses, lowering bank result in key windows.","Penalty/late fees could be direct if separately identified, but not the credit-loss line.",credit risk,separate collections/penalty interest from provisions
Q4-2023 gross-positive subcomponent floor with known BCRA counterparty is 26.8%,SUPPORTED_DIAGNOSTIC,Pass gap 7.7 / gross positive margin subcomponent gaps 28.7 = 26.8%.,This is not share of net ROA or total causal benefit; securities may add unknown BCRA share.,Q4-2023 same-window diagnostic,V53 securities issuer split
Direct household share of abnormal bank result is currently quantified,REJECTED,No sector split for abnormal interest/CER/service components.,"Known household contracts exist, but magnitude N/D.",distribution,V53 sector split
