collection_id,collection_name,year,catalog_endpoint,exact_prefix_status,target_prefixes,evidentiary_effect
CC-MAIN-2020-50,November/December 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-50/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-26,June 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-26/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-22,May 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-22/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-18,April 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-18/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-13,March 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-13/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-09,February 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-09/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-04,January 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-04/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-51,December 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-51/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-47,November 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-47/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-43,October 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-43/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-39,September 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-39/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-34,August 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-34/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-30,July 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-30/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-26,June 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-26/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-22,May 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-22/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-17,April 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-17/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-13,March 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-13/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-09,February 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-09/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2018-05,January 2018 Index,2018,https://index.commoncrawl.org/CC-MAIN-2018-05/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-51,December 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-51/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-47,November 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-47/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-43,October 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-43/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-39,September 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-39/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-34,August 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-34/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-30,July 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-30/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-26,June 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-26/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-22,May 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-22/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-17,April 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-17/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-13,March 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-13/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-09,February 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-09/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2017-04,January 2017 Index,2017,https://index.commoncrawl.org/CC-MAIN-2017-04/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-50,December 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-50/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-44,October 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-44/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-40,September 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-40/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-36,August 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-36/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-30,July 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-30/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-26,June 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-26/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-22,May 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-22/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-18,April 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-18/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2016-07,February 2016 Index,2016,https://index.commoncrawl.org/CC-MAIN-2016-07/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-48,November 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-48/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-40,September 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-40/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-35,August 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-35/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-32,July 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-32/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-27,June 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-27/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-22,May 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-22/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-18,April 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-18/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-14,March 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-14/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-11,February 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-11/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2015-06,January 2015 Index,2015,https://index.commoncrawl.org/CC-MAIN-2015-06/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-52,December 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-52/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-49,November 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-49/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-42,October 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-42/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-41,September 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-41/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-35,August 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-35/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-23,July 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-23/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-15,April 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-15/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2014-10,March 2014 Index,2014,https://index.commoncrawl.org/CC-MAIN-2014-10/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2013-48,Winter 2013 Index,2013,https://index.commoncrawl.org/CC-MAIN-2013-48/,SERVICE_ERROR_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2013-20,Summer 2013 Index,2013,https://index.commoncrawl.org/CC-MAIN-2013-20/,SERVICE_ERROR_2_HOSTS,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
