period,source_excel_row,source_status,total_financing_thousand_ars,total_normal_pct,total_potential_risk_pct,total_problem_component_1_pct,total_problem_component_2_pct,total_high_risk_component_1_pct,total_high_risk_component_2_pct,total_irrecoverable_uncollectible_pct,total_irrecoverable_technical_pct,total_irregular_situations_3_to_6_pct,total_irregular_residual_pct,total_rounding_delta_pct,private_financing_thousand_ars,private_normal_pct,private_potential_risk_pct,private_problem_component_1_pct,private_problem_component_2_pct,private_high_risk_component_1_pct,private_high_risk_component_2_pct,private_irrecoverable_uncollectible_pct,private_irrecoverable_technical_pct,private_irregular_situations_3_to_6_pct,private_irregular_residual_pct,private_rounding_delta_pct,source_id,source_sheet,definition
2001-01,821,AVAILABLE,84561505,84.740000,3.520000,1.470000,0.656950,2.220000,2.970037,3.910000,0.498382,11.725369,11.740000,-0.014631,64134129,82.220000,4.330000,1.660000,0.866063,2.100000,3.907570,4.430000,0.490000,13.453633,13.450000,0.003633,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2001-12,832,AVAILABLE,84641964,79.520000,7.940000,1.600000,0.741201,2.140000,2.666866,4.950000,0.447894,12.545961,12.540000,0.005961,57906543,76.160000,5.810000,2.330000,1.074873,3.120000,3.890761,7.050000,0.570000,18.035634,18.030000,0.005634,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-01,834,PUBLISHED_AS_DOT,,,,,,,,,,,,,,,,,,,,,,,,,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-02,835,PUBLISHED_AS_DOT,,,,,,,,,,,,,,,,,,,,,,,,,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-03,836,PUBLISHED_AS_DOT,,,,,,,,,,,,,,,,,,,,,,,,,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-04,837,PUBLISHED_AS_DOT,,,,,,,,,,,,,,,,,,,,,,,,,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-05,838,PUBLISHED_AS_DOT,,,,,,,,,,,,,,,,,,,,,,,,,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-06,839,AVAILABLE,95445427,76.270000,8.060000,1.990000,2.086711,1.910000,4.201044,5.090000,0.395716,15.673471,15.670000,0.003471,53974855,58.680000,14.210000,3.420000,3.686053,3.320000,7.357268,8.700000,0.620000,27.103322,27.110000,-0.006678,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-07,840,AVAILABLE,95253682,76.230000,7.420000,2.080000,2.227882,1.850000,4.571910,5.270000,0.351683,16.351476,16.350000,0.001476,52498652,57.600000,13.410000,3.760000,4.039330,3.290000,8.187075,9.130000,0.580000,28.986405,28.990000,-0.003595,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-08,841,AVAILABLE,95195436,76.140000,7.090000,2.130000,2.281480,1.830000,4.669857,5.510000,0.339948,16.761285,16.770000,-0.008715,51099357,56.490000,13.150000,3.930000,4.127661,3.340000,8.615061,9.790000,0.550000,30.352722,30.360000,-0.007278,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-09,842,AVAILABLE,102887758,72.970000,6.100000,4.510000,4.865395,1.640000,4.351663,5.260000,0.301029,20.928088,20.930000,-0.001912,55180888,50.540000,11.300000,8.270000,9.070499,2.960000,7.908100,9.460000,0.490000,38.158600,38.160000,-0.001400,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-10,843,AVAILABLE,101870951,72.970000,5.260000,5.150000,4.674393,1.630000,4.333101,5.680000,0.303265,21.770759,21.770000,0.000759,54023174,49.850000,9.870000,9.570000,8.813340,3.030000,8.011666,10.360000,0.500000,40.285006,40.280000,0.005006,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-11,844,AVAILABLE,99899112,73.360000,5.740000,4.150000,4.116361,1.770000,4.318483,6.240000,0.309160,20.904004,20.900000,0.004004,51976199,50.750000,10.050000,7.610000,7.908495,3.380000,8.133379,11.640000,0.520000,39.191873,39.200000,-0.008127,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2002-12,845,AVAILABLE,97626710,74.510000,5.170000,3.370000,4.370917,1.480000,4.520849,6.270000,0.305308,20.317073,20.320000,-0.002927,53819900,55.030000,9.030000,5.970000,7.922765,2.680000,8.041232,10.840000,0.480000,35.933997,35.940000,-0.006003,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-01,847,AVAILABLE,93611095,76.650000,5.180000,1.910000,2.325436,1.990000,4.928014,6.690000,0.321495,18.164945,18.170000,-0.005055,48595254,56.500000,9.630000,3.440000,4.474929,3.820000,9.320134,12.290000,0.530000,33.875063,33.870000,0.005063,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-02,848,AVAILABLE,93385400,75.430000,6.570000,1.820000,2.519795,2.010000,4.770377,6.590000,0.287603,17.997776,18.000000,-0.002224,49362343,57.510000,9.430000,3.300000,4.763256,3.780000,8.871506,11.870000,0.460000,33.044762,33.060000,-0.015238,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-03,849,AVAILABLE,91347535,77.050000,5.210000,1.680000,2.600276,2.060000,4.670090,6.470000,0.272176,17.752542,17.740000,0.012542,47883457,57.570000,9.500000,3.050000,4.953153,3.910000,8.904002,11.680000,0.430000,32.927155,32.930000,-0.002845,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-04,850,AVAILABLE,90695205,77.590000,5.060000,1.600000,2.592979,1.930000,4.761619,6.190000,0.263512,17.338111,17.350000,-0.011889,47145301,58.140000,9.300000,3.060000,4.979773,3.720000,9.155161,11.230000,0.420000,32.564934,32.560000,0.004934,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-05,851,AVAILABLE,90386840,76.310000,6.090000,1.750000,2.514748,1.900000,4.942980,6.250000,0.249023,17.606750,17.600000,0.006750,46000316,57.410000,8.840000,3.220000,4.935347,3.730000,9.702266,11.730000,0.430000,33.747612,33.750000,-0.002388,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-06,852,AVAILABLE,90510419,78.250000,4.430000,1.660000,2.257697,1.840000,4.861357,6.520000,0.174459,17.313514,17.320000,-0.006486,46203615,58.660000,8.280000,3.080000,4.420866,3.590000,9.498226,12.140000,0.330000,33.059093,33.060000,-0.000907,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-07,853,AVAILABLE,88850392,78.220000,4.410000,1.510000,2.215723,1.880000,4.807622,6.690000,0.256726,17.360071,17.370000,-0.009929,44909215,58.200000,8.310000,2.830000,4.382626,3.690000,9.494682,12.590000,0.500000,33.487308,33.490000,-0.002692,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-08,854,AVAILABLE,80825776,74.890000,6.560000,1.570000,2.218091,2.020000,5.247864,7.200000,0.289337,18.545292,18.550000,-0.004708,40944906,55.020000,9.150000,2.910000,4.377621,3.940000,10.334106,13.700000,0.560000,35.821728,35.830000,-0.008272,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-09,855,AVAILABLE,78326751,76.690000,4.790000,1.430000,2.375818,2.080000,5.103237,7.220000,0.313736,18.522791,18.520000,0.002791,41569838,57.280000,8.900000,2.520000,4.051945,3.860000,9.588512,13.220000,0.580000,33.820457,33.820000,0.000457,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-10,856,AVAILABLE,77584498,76.780000,4.920000,1.400000,2.317009,1.920000,4.787168,7.580000,0.308291,18.312468,18.300000,0.012468,40729556,57.000000,9.250000,2.470000,3.980552,3.610000,9.103765,14.000000,0.570000,33.734316,33.750000,-0.015684,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-11,857,AVAILABLE,73650675,75.960000,5.340000,1.440000,2.359198,1.980000,4.636232,7.970000,0.326313,18.711743,18.700000,0.011743,41379484,58.360000,9.370000,2.380000,3.772976,3.480000,8.236587,13.830000,0.570000,32.269563,32.270000,-0.000437,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
2003-12,858,AVAILABLE,73581437,77.120000,5.090000,1.480000,2.315698,1.650000,3.951862,7.790000,0.602216,17.789776,17.790000,-0.000224,40951927,60.210000,9.020000,2.390000,3.729895,2.960000,7.097969,13.520000,1.080000,30.777864,30.770000,0.007864,hist_bcra_baldethis,Detalle,irregular=sum of source classification components for situations 3 to 6; not a payment-arrears-only measure
