source_id,institution,title,url,local_path,sha256,bytes,evidentiary_role,limit
e0_wayback_agn_res129_2005_cdx_gap_v180,Internet Archive,Consulta CDX de AGN 129/2005 · cero capturas,https://web.archive.org/cdx/search/cdx?url=agn.gov.ar/sites/default/files/informes/2005_129info*&output=json,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/wayback_cdx_agn_2005_129info.json,37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570,3,contract/audit/program/rate/provenance,La consulta devolvió []; no prueba inexistencia del documento.
e0_agn_api_res023_2005_metadata_v180,Auditoría General de la Nación,Metadata JSON:API AGN 23/2005,https://webagnapi.agn.gob.ar/api/node/informes/6e16255b-98d6-4136-8cd0-514fa9f491d7?include=informe%2Cresolucion_archivo,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res023_2005.json,88408f0c302193ca0c3f9927275f719b745276d95baf4523d68b3b25cd13d692,11994,contract/audit/program/rate/provenance,"Vincula metadata institucional, archivo, tamaño y resolución."
e0_agn_api_res160_2006_metadata_v180,Auditoría General de la Nación,Metadata JSON:API AGN 160/2006,https://webagnapi.agn.gob.ar/api/node/informes/6661e2fd-a341-4cb0-a884-37ae10093475?include=informe%2Cresolucion_archivo,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res160_2006.json,543ee0175353228890f6118a84d4999e9f053b639a0ef26d69c1025b1a665a5d,12116,contract/audit/program/rate/provenance,Vincula metadata institucional con el informe auditado.
e0_agn_api_res014_2010_metadata_v180,Auditoría General de la Nación,Metadata JSON:API AGN 14/2010,https://webagnapi.agn.gob.ar/api/node/informes/8651cfe0-d65b-4cf3-86be-d5e4846352a0?include=informe%2Cresolucion_archivo,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/agn_api_res014_2010.json,4e4c0c055679108eae09ec80f21d2d4b8e1917bba3457f355eb48d2f687530a1,12114,contract/audit/program/rate/provenance,Vincula metadata institucional con el informe auditado.
e0_bid_ar0127_pcr_v180,Banco Interamericano de Desarrollo,AR0127 · Informe de terminación del proyecto,https://www.iadb.org/document.cfm?id=EZSHARE-1739351788-35,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bid_ar0127_informe_terminacion_proyecto.pdf,2d95272775dd760eefe091e594be07c72e440cdc5249782628e3ecf72a352e5e,1037832,contract/audit/program/rate/provenance,"Resultados, tasas, alcance, distribución y caveats; contiene inconsistencias internas que se registran y estimaciones que no se tratan como causalidad auditada."
e0_bid_ar0127_intermediate_evaluation_v180,Banco Interamericano de Desarrollo,AR0127 · evaluación intermedia,https://www.iadb.org/document.cfm?id=EZSHARE-917344851-48,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bid_ar0127_evaluacion_intermedia.pdf,f5d5244c3b0c14649774eb62aee00f8a15ab899dd9f19852707879375793a873,92690,contract/audit/program/rate/provenance,Control de avance y contexto de ejecución.
e0_bid_ar0127_loan_proposal_v180,Banco Interamericano de Desarrollo,AR0127 · propuesta de préstamo,https://www.iadb.org/document.cfm?id=EZSHARE-917344851-47,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bid_ar0127_propuesta_prestamo_407194.pdf,cf16d52f853f07b69ccc4a622a5d83d6d61724cf82e01cef344c1457217bc37c,18400,contract/audit/program/rate/provenance,"Diseño, financiamiento, riesgos y clasificación: no proyecto de equidad social ni de reducción de pobreza según el propio documento."
e0_bcra_a4620_2007_mipymes_v180,Banco Central de la República Argentina,Comunicación A 4620 · facilidad en pesos MiPyME,https://www.bcra.gob.ar/pdfs/comytexord/a4620.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_a4620_2007_mipymes.pdf,8ce2fcf8506ff22467344a733970ad81d3fdf7cb6fecf31842ab3cc4273ba6ba,223821,contract/audit/program/rate/provenance,"Define costo de fondeo más administración, banda de spread, responsabilidad total IFI, riesgo crediticio, legajo, control de destino, débito y sanciones."
e0_bcra_b8920_2007_mipymes_v180,Banco Central de la República Argentina,Comunicación B 8920 · reglamentación y primera banda,https://www.bcra.gob.ar/pdfs/comytexord/b8920.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b8920_2007_mipymes.pdf,0d8427265326b1d878bf0c6a716d9ddd48f8de97663ad9ad1bc141feca6fded8,723826,contract/audit/program/rate/provenance,"Tasa de transferencia 2,9%, spread 0-6 pp, TNA máxima 8,9%; garantía IFI mínima 125%; comisiones/seguros afectan CFT."
e0_bcra_b8995_2007_rates_v180,Banco Central de la República Argentina,"Comunicación B 8995 · continuidad banda 2,9% + 0-6 pp",https://www.bcra.gob.ar/pdfs/comytexord/b8995.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b8995_2007_tasas.pdf,60156bb571e330815349e771319994203b43a0172c8e274f8596c5b8b91b4fe9,71734,contract/audit/program/rate/provenance,"Mantiene TNA máxima 8,9% por tres meses."
e0_bcra_b9055_2007_rates_v180,Banco Central de la República Argentina,"Comunicación B 9055 · banda 3,9% + 0-5 pp",https://www.bcra.gob.ar/pdfs/comytexord/b9055.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b9055_2007_tasas.pdf,e60a68a9a519643a137724172c2dfd2d27e7c7703d95d50cb0c7581aa24139bb,71753,contract/audit/program/rate/provenance,"Eleva transferencia y reduce spread; TNA máxima permanece 8,9%."
e0_bcra_b9056_2007_suspension_v180,Banco Central de la República Argentina,Comunicación B 9056 · suspensión por recursos comprometidos,https://www.bcra.gob.ar/pdfs/comytexord/b9056.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b9056_2007_suspension.pdf,475c1cd5f3d7f34e1f3e8519af43a48770f84a3b481a4efbce6fa3d9508f4e0b,71641,contract/audit/program/rate/provenance,Suspende nuevos proyectos porque los recursos estaban totalmente comprometidos.
e0_bcra_b9123_2007_rates_v180,Banco Central de la República Argentina,"Comunicación B 9123 · continuidad banda 3,9% + 0-5 pp",https://www.bcra.gob.ar/pdfs/comytexord/b9123.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_com_b9123_2007_tasas.pdf,e0c5a4467dbae389d99e911d708b1deb54fbe7a497e1d3d62cd3b9308b502560,71747,contract/audit/program/rate/provenance,"Mantiene TNA máxima 8,9%; no convierte CFT en TNA."
e0_bcra_ordered_text_mipymes_comparator_v180,Banco Central de la República Argentina,Texto ordenado Programa Global de Crédito a MiPyMEs,https://www.bcra.gob.ar/pdfs/texord/t-crpyme.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v180/binaries/bcra_texto_ordenado_programa_credito_mipymes.pdf,ec4cb243a456610f6b8ce0ea2d178ebba01e6e613598f37bca4e284230c07bb0,321037,contract/audit/program/rate/provenance,Comparador normativo de programas relacionados; no se transpone automáticamente a cada tramo del fideicomiso o la facilidad.
