id,url,resultado_2026_08_30,documento_local_o_recuperacion,observacion
18,https://www.hcdn.gob.ar/comisiones/permanentes/cfinanzas/proyecto.html?exp=4166-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/4166-D-2026.pdf,Página y documento oficial recuperados
19,https://www.hcdn.gob.ar/comisiones/permanentes/cfinanzas/proyecto.html?exp=5167-D-2025,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/5167-D-2025.pdf,Página y documento oficial recuperados
20,https://www.hcdn.gob.ar/comisiones/permanentes/cjusticia/listado-proyectos.html,TIMEOUT,,No respondió dentro del tiempo del lector; el expediente individual 1280-D-2026 sí fue recuperado por esa comisión
21,https://www.hcdn.gob.ar/comisiones/permanentes/clgeneral/proyecto.html?exp=3756-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/3756-D-2026.pdf,Página y documento oficial recuperados
22,https://www.hcdn.gob.ar/comisiones/permanentes/cpyhacienda/listado-proyectos.html,TIMEOUT,,No respondió dentro del tiempo del lector; los expedientes individuales sí fueron recuperados
23,https://www.hcdn.gob.ar/comisiones/permanentes/cpyhacienda/proyecto.html?exp=0386-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/0386-D-2026.pdf,Página y documento oficial recuperados
24,https://www.hcdn.gob.ar/comisiones/permanentes/cpymes/listado-proyectos.html,TIMEOUT,,No respondió dentro del tiempo del lector
25,https://www.hcdn.gob.ar/diputados/ctepp/proyecto.html?exp=0973-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/0973-D-2026.pdf,El PDF oficial no contiene la línea FGS atribuida por el documento base
26,https://www.hcdn.gob.ar/diputados/jtaiana/proyecto.html?exp=3379-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/3379-D-2026.pdf,Pedido de informes sobre PNFC; no es un proyecto de ley sustantivo
27,https://www.hcdn.gob.ar/diputados/jucmolina/proyecto.html?exp=3501-D-2026,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/3501-D-2026.pdf,Emergencia por deuda residencial de servicios
28,https://www.hcdn.gob.ar/proyectos/proyectoTP.jsp?exp=0510-D-2026,404_RECUPERADO,Mora/02_PROYECTOS_LEGISLATIVOS/0510-D-2026.pdf,Enlace viejo caído; recuperado desde /comisiones/permanentes/cfinanzas/proyecto.html?exp=0510-D-2026
29,https://www.hcdn.gob.ar/proyectos/proyectoTP.jsp?exp=0804-D-2026,404_RECUPERADO,Mora/02_PROYECTOS_LEGISLATIVOS/0804-D-2026.pdf,Enlace viejo caído; recuperado desde /comisiones/permanentes/cfinanzas/proyecto.html?exp=0804-D-2026
30,https://www.hcdn.gob.ar/proyectos/proyectoTP.jsp?exp=1279-D-2026,404_RECUPERADO,Mora/02_PROYECTOS_LEGISLATIVOS/1279-D-2026.pdf,Enlace viejo caído; recuperado desde /comisiones/permanentes/cdconsumidor/proyecto.html?exp=1279-D-2026
31,https://www.hcdn.gob.ar/proyectos/proyectoTP.jsp?exp=1280-D-2026,404_RECUPERADO,Mora/02_PROYECTOS_LEGISLATIVOS/1280-D-2026.pdf,Enlace viejo caído; recuperado desde /comisiones/permanentes/cjusticia/proyecto.html?exp=1280-D-2026
32,https://www.hcdn.gob.ar/proyectos/proyectoTP.jsp?exp=3284-D-2026,404_RECUPERADO,Mora/02_PROYECTOS_LEGISLATIVOS/3284-D-2026.pdf,Enlace viejo caído; recuperado desde /comisiones/permanentes/cpyhacienda/proyecto.html?exp=3284-D-2026
33,https://www.hcdn.gob.ar/proyectos/proyectoTP.jsp?exp=3832-D-2026,404_RECUPERADO,Mora/02_PROYECTOS_LEGISLATIVOS/3832-D-2026.pdf,Enlace viejo caído; recuperado desde /comisiones/permanentes/cfinanzas/proyecto.html?exp=3832-D-2026
34,https://www.hcdn.gob.ar/secparl/dsecretaria/s_t_parlamentario/tp.html?numero=094&periodo=144,TIMEOUT,,Índice de trámite parlamentario no respondió; los expedientes referidos fueron consultados individualmente
35,https://www.infobae.com/politica/2026/08/26/endeudamiento-familiar-y-emergencia-en-discapacidad-la-oposicion-sumo-fuerzas-y-convoco-a-una-sesion-en-diputados/,ABIERTO,,Contexto periodístico parlamentario
36,https://www.laizquierdadiario.com/Los-5-puntos-clave-que-propone-la-izquierda-para-aliviar-la-situacion-de-las-familias-endeudadas,ABIERTO,,Síntesis política; contrastada con expedientes oficiales
37,https://www.lanacion.com.ar/politica/el-dia-que-la-oposicion-celebro-una-derrota-no-le-alcanzo-para-forzar-dos-proyectos-incomodos-para-nid26082026/,ABIERTO,,Contexto periodístico parlamentario
38,https://www4.hcdn.gob.ar/dependencias/dsecretaria/Periodo2025/PDF2025/TP2025/5136-D-2025.pdf,ABIERTO,Mora/02_PROYECTOS_LEGISLATIVOS/5136-D-2025.pdf,PDF oficial directo de seis páginas

