proposicion,estado,evidencia_a_favor,evidencia_en_contra_falsificador,alcance,gap_restante
H1.9 · queda residuo acumulado del lado hogar,STRONG_SUPPORT,2014/18 residuo salario+pobreza+consumo; 2024-26 residuo financiero: servicio deuda/mora,2023-25 no deja residuo social homogéneo: pobreza/consumo sí recuperan,por dimensiones,microincidencia post-shock por ingreso
Patrón idéntico en todas las crisis,REJECTED,—,2008 es falsificador; COVID tiene quiebre contable y dinámica propia,universal,ninguno: hipótesis universal descartada
Regularidad en shocks domésticos cambiarios/de ajuste,MODERATE_SUPPORT,2014/18 fuertes; 2015 mixto; 2023 comparte onset/overshoot pero menor residuo social,pocos episodios y amortiguadores distintos,taxonomía restringida,más casos / identificación
RAI único hogar vs banco,REJECTED,—,hogar es vector multidimensional; banco puede no caer al t0; hay censura y regímenes de frecuencia,métrica principal,usar onset/overshoot/duración/área + RAI sólo cuando aplica
Buffers bancarios ex ante reglados y monitoreados,STRONG_SUPPORT,"capital, liquidez, previsiones, límites y stress/supervisión; jun-2026 exceso capital 269%, previsiones 86,6% cartera irregular",no son caja libre ni garantizan ganancias,arquitectura institucional,"comparación funcional, no monetaria"
Buffers del hogar heterogéneos y condicionados,STRONG_SUPPORT,"ahorro propio, desempleo, transferencias, indemnización, límites de embargo, insolvencia judicial y crédito",algunos buffers mejoraron mucho desde 2023,arquitectura institucional,cobertura efectiva por shock
Red social 2023-25 más potente en dimensiones observables,STRONG_SUPPORT,"seguro desempleo: ~9-11% SMVM 2014, ~37% 2018, techo 100% SMVM desde 2023; AUH/Alimentar gana intensidad 2024",no hay ratio alimentario perfectamente empalmable con 2014/18,comparación seleccionada,flujo realizado histórico comparable
Red social neutralizó el shock desde t0,REJECTED,AUH/Alimentar se refuerzan ene-feb24,"pobreza igualmente sube 41,7→52,9% en 1S24; flujo secundario sugiere protección heterogénea inicialmente",2024,micro V29 para composición
Crédito fue el buffer inicial principal de 2024,WEAK_SUPPORT,consumo cae menos que ingreso,crédito promedio/deudor se contrae primero y recién revierte mar-abr/mayo; uso de ahorros salta antes,2024,micro consumo/financiamiento
Crédito funcionó como puente/acelerador de segunda fase,MODERATE_SUPPORT,expansión desde Q2/mayo coincide con recovery; crédito y deudores crecen,no identifica causalidad sobre consumo,2024-25,identificación causal
Crédito deja residuo financiero posterior,STRONG_SUPPORT,"servicio deuda 18,7% masa salarial formal mar25; mora hogares 12,8% jun26; PNFC deterioro alto",stock agregado de ahorro también se recompone; no todos los hogares afectados igual,2024-26,micro por ingreso/proveedor
Más crédito por sí solo causa peor mora,REJECTED,—,cohortes II/III24 mejoran pese a mayor expansión; IV23/I24 peores con saldos iniciales menores,2023-24,modelos de originación/ingreso
Transferencia directa de riqueza hogar → banco,N/D,costo financiero hogar e ingresos/rentabilidad bancaria pueden coexistir,"no hay contabilidad que identifique una transferencia uno-a-uno; costos, fondeo, mora, impuestos y valuación intermedian",causal/contable,micro/contabilidad causal
Intención o coordinación deliberada para producir el reparto,N/D,hay medidas con incidencia distributiva explícita/conocida,no apareció evidencia documental directa de diseño coordinado con ese objetivo; patrón estadístico no basta,nivel 3,"documentos, minutas, comunicaciones, declaraciones explícitas"
Signo regulatorio universal pro-banco,REJECTED,A5853 elimina topes y amplía libertad de pricing; algunos episodios macro pueden beneficiar posiciones financieras indirectamente.,A5590 limita tasas para proteger deudores; A5928 traslada costo/riesgo a entidades; 2018 impone encajes/límites FX; 2024 refuerza transferencias focalizadas.,regulación/política 2014-2024,ampliar corpus 2002-2013 y COVID con misma taxonomía
Heterogeneidad del signo de política/regulación,STRONG_SUPPORT,"La matriz V41 contiene medidas hogar+, banco-, banco+, costo-a-ambos y mitigación fiscal en episodios distintos.",La clasificación de 2002-2013 es documentalmente menos completa.,episodios documentados 2014-2024,extender corpus documental hacia 2002-2013
Asimetría estructural requiere reglas sistemáticamente pro-banco,REJECTED,N/D,"A5928 y A5590 son reglas explícitamente protectoras del hogar; 2018 incluye restricciones directas a bancos. Aun así, V31 encuentra asimetrías de buffers/recuperación en episodios domésticos.",mecanismo institucional,identificación causal de buffers y recovery clocks
Asimetría estructural compatible con signo de política heterogéneo,STRONG_SUPPORT,V31: buffers bancarios ex ante reglados/monitoreados vs buffers hogar heterogéneos; V41: políticas pueden incluso imponer costos a bancos sin eliminar la asimetría funcional.,No existe una métrica monetaria única de buffers ni prueba causal completa de que esta arquitectura explique cada episodio.,explicación institucional,comparación funcional causal y cobertura efectiva por shock
A5928 como control positivo de falsación institucional,STRONG_SUPPORT,Menor costo al deudor; costo/riesgo a entidad; mecanismo validado por BCRA y bancos; canal de servicios afectado; Supervielle cuantifica un caso B2.,Magnitud sistémica y utilidad neta bancaria N/D; gate de 3 bancos matched pre/post no cerrado.,2016 / regulación de crédito,Régimen de Transparencia histórico y pares adicionales
Del patrón macro puede inferirse intención coordinada hogar→banco,REJECTED_AS_INFERENCE,Hay medidas con incidencia conocida y coordinación institucional ordinaria.,El signo regulatorio cambia entre episodios y existen reglas explícitamente adversas a intereses bancarios específicos; no hay documento que establezca el objetivo coordinado de trasladar pérdidas de hogares a bancos.,nivel 3 intención/coordinación,sólo evidencia documental directa podría elevar este nivel
Un score unidimensional de buffers explica los recovery clocks,REJECTED,Capital/liquidez bancarios y red social sí son mecanismos reales de absorción.,Previsiones no rankean igual que capital/liquidez; 2023 tiene buffers bancarios mucho mayores sin recovery ROA más rápido; salario no recupera pese a red social más fuerte.,2014/2018/2023,ratios de cobertura específicos por función
Buffers prudenciales bancarios protegen solvencia/continuidad más que rentabilidad,STRONG_SUPPORT,2014/2018/2023 mantienen capital/liquidez/previsiones elevados; pérdidas/rentabilidad pueden deteriorarse sin crisis de solvencia.,No hay episodio doméstico comparable de bajo buffer como contrafactual.,mecanismo prudencial,stress ratios pérdida/capital y fondeo/liquidez
Mayor red social predice recuperación del salario registrado,REJECTED,N/D,2014/2018/2023 no recuperan salario registrado antes del censor pese a gran aumento de la potencia del seguro/desempleo en 2023.,outcome salario registrado,ninguno para claim general; estudiar subpoblaciones
Mayor red social es compatible con recuperación social amplia más rápida,CONSISTENT_NOT_CAUSAL,2023–25 tiene red más fuerte y recuperación de pobreza/consumo mucho más rápida que 2014/2018.,"Desinflación, actividad, ingresos y ahorro cambian simultáneamente.",pobreza/consumo/ingreso amplio,V33 EPH micro + contrafactuales
Asimetría de buffers es causa suficiente del patrón doméstico,REJECTED,Puede condicionar resiliencia y timing.,2008 tiene buffers bancarios robustos pero no reproduce la caída inmediata del hogar.,suficiencia causal,clasificación de tipo de shock y mecanismo de propagación
Mecanismo estructural de buffers por dimensión,PARTIAL_DIMENSION_SPECIFIC_SUPPORT,Capital/liquidez/previsiones sostienen resiliencia bancaria; seguros/transferencias sostienen determinados flujos sociales; outcomes responden de forma diferenciada.,No hay ratios de cobertura homogéneos ni identificación causal completa.,nivel 2 mecanismo institucional,V43 ratios de cobertura + V33 EPH
Existe un ratio único de cobertura de buffer comparable entre banco y hogar,REJECTED,N/D,"Los buffers cubren riesgos con denominadores distintos: cartera irregular, crédito neto, ingreso elegible, CBA, fondeo.",arquitectura funcional,ninguno para el claim universal
Previsiones bancarias tienen cobertura funcional observable sobre cartera irregular,SUPPORTED,"BCRA publica headline y cobertura ajustada; 2023 ajustada 90,4%→113,2% en el primer mes.",2018 ajustada queda <100% sin crisis de solvencia: previsiones no son el único buffer.,crédito / solvencia,pérdida realizada incremental y LGD homogénea
Exceso de capital permite medir cobertura de pérdidas realizadas homogénea 2014/2018/2023,N/D,2023+ publica exceso de capital / crédito privado neto.,2014/2018 no tienen el mismo denominador congelado; ROA no es monto de pérdida.,capital prudencial,serie histórica compatible
Liquidez bancaria cubrió X veces el estrés de fondeo en los tres episodios,N/D,Stocks de liquidez son observables.,No hay outflow homogéneo y cambia la composición del ratio.,liquidez/fondeo,outflows comparables + bridge instrumental
Cobertura normativa del seguro de desempleo mejoró entre 2014 y 2023,STRONG_SUPPORT,"Techo ≈9–11% SMVM en 2014; 37,2% en 2018; desde 2023 fórmula 75% salario neto previo con piso 50% y techo 100% SMVM.",Cobertura realizada de cada beneficiario no es homogénea históricamente.,ingreso desempleados elegibles,micro/distribución beneficiarios
AUH+Alimentar aumentó cobertura de CBA del universo cubierto durante 2024,SUPPORTED,"Serie oficial 54,8% dic-2023 → 100% dic-2024.",No identifica causalidad sobre pobreza.,piso alimentario / hogares cubiertos,V33 EPH real
Mecanismo estructural de buffers tiene cobertura funcional parcialmente observable,PARTIAL_FUNCTIONAL_COVERAGE_SUPPORT,"Previsiones/cartera irregular, capital/crédito neto moderno, desempleo/ingreso y AUH+Alimentar/CBA tienen denominadores defendibles.",Liquidez y ahorro hogar carecen de denominadores homogéneos; outcome causal no identificado.,nivel 2 mecanismo institucional,V44 stress-use + V33 microdatos
Buffer bancario de riesgo crediticio estuvo cerca de saturarse en 2014,REJECTED,N/D,"Exposición patrimonial neta -3,5% PN pre y -2,9% durante/final 2014.",solvencia / riesgo crediticio 2014,pérdidas realizadas monetarias para otros canales
Buffer bancario de riesgo crediticio estuvo cerca de saturarse en 2018,REJECTED,Mora y exposición aumentan.,"Exposición neta sólo 1,6% PN dic-2018; Mar-2019 irregular no cubierto <10% del exceso de capital.",solvencia / riesgo crediticio 2018-19,no confundir con estrés de liquidez o rentabilidad
Stress crediticio extremo 2023 habría agotado la posición de capital,REJECTED_BY_BCRA_STRESS_TEST,N/D,"Ejercicios extremos llevan posición 289→283% y 289→272% de exigencia, manteniendo alta solvencia.",stress test solvencia Sep-2023,shock realizado posterior no equivale al escenario hipotético
Buffers prudenciales bancarios protegen específicamente solvencia frente al riesgo de crédito,STRONG_SUPPORT,2014 exposición neta negativa; 2018 exposición neta pequeña y residual <10% del exceso de capital; 2023 stress tests extremos preservan gran holgura.,"No prueban protección de ROA, liquidez ni todos los riesgos.",nivel 2 mecanismo institucional / solvencia crediticia,secuencia mora→previsiones→capital y otros riesgos
Uso efectivo del buffer del hogar es comparable con el uso del buffer bancario,N/D,Existen ratios normativos de desempleo y CBA.,"Faltan benefit/prior-wage realizado, elegibilidad efectiva y microcontrafactual AUH/Alimentar.",hogar 2014/2018/2023,V33 EPH + administrativo desempleo
Cambio 2017→2018 de exposición/PN mide consumo de buffer,REJECTED_COMPARABILITY,N/D,"Adopción NIIF aumentó PN 14,8% respecto fin-2017, principalmente por revaluación de inmuebles.",contabilidad bancaria 2018,serie homogénea reexpresada bajo misma norma
Shock del hogar precede sistemáticamente el inicio de la mora,REJECTED,2014 y 2023 tienen secuencias compatibles en algún umbral.,2018 muestra tendencia de mora desde ene-abr antes del shock salarial de mayo.,lead-lag hogar→mora,modelar origen del deterioro crediticio preexistente
Shock del hogar 2023 precede la aceleración material de mora,SUPPORTED,"Umbrales +0,3/+0,5 p.p. sostenidos se alcanzan en feb-2025, ~14 meses después de dic-2023.",Hay una señal pequeña en 2024 que depende del umbral y luego revierte parcialmente.,2023 hogares→mora,"separar originación, stock y refinanciación"
Mora precede sistemáticamente la respuesta de previsiones,REJECTED,2018 muestra respuesta clara tardía en nov.,"2023 cobertura ajustada salta 90,4→113,2% en dic-2023 mucho antes de la mora material.",mora→previsiones,descomponer riesgo hogares vs empresas y reglas contables
Mora es el driver general del primer drawdown de rentabilidad bancaria,REJECTED,2018 puede contribuir al deterioro tardío.,2014 ROA se mueve antes de mora material; 2023 ROA cae antes de la gran aceleración de mora.,mora→ROA,V46 tasas/margen/valuación/regulación
Existe una secuencia lineal universal hogar→mora→previsiones→ROA,REJECTED,Hay piezas parciales por episodio.,"El orden cambia entre 2014, 2018 y 2023; 2008 no reproduce el inicio.",mecanismo temporal,ninguno para claim universal
Patrón secuencial de transmisión existe por episodio y canal,PARTIAL_EPISODE_SPECIFIC_SUPPORT,2014 household→mora parcial; 2018 credit stress→prudential response; 2023 household→mora material con rezago largo.,No hay orden común completo ni identificación causal sólo por precedencia.,nivel 2 mecanismo temporal,V46 descomposición multicanal
Mora/crédito es el primer canal bancario en los shocks domésticos,REJECTED,N/D,"2014: FX valuation domina enero con mora 2,6%; 2018: ROA sube por FX en mayo; 2023: Q4 profit overshoot y margen/títulos/CER preceden mora material.",primer impacto bancario,ninguno para claim general
Primer impacto bancario no crediticio aparece en 2014/2018/2023,STRONG_SUPPORT,2014 y 2018: diferencias de cotización/FX; 2023: margen+títulos+CER+FX+pases.,La mezcla exacta y el signo posterior varían por episodio.,canales de balance,cuantificación homogénea por componente no necesaria para dirección
Existe un único mecanismo bancario alternativo a la mora,REJECTED,2014/2018 comparten FX como primer canal.,2023 es un bloque más amplio de margen/valuación/indexación; 2018 agrega fondeo/encajes; 2014 regulación de posición FX.,mecanismo bancario,ninguno para claim universal
Mecanismo bancario multicanal y específico por episodio,STRONG_SUPPORT,"Timing y explicaciones BCRA distinguen FX, títulos, CER, fondeo, regulación y crédito con secuencias distintas.",No es identificación causal estructural de pesos relativos en todos los meses.,nivel 2 mecanismo institucional,V47 overshoot vs drawdown
Caída de rentabilidad 2024 fue inicialmente explicada por mora de hogares,REJECTED,N/D,BCRA Sep-2024 atribuye compresión principalmente a menor margen financiero real; mora material de consumo acelera recién 2025.,2023-25 rentabilidad,late credit contribution posterior
El timing bancario temprano prueba transferencia de pérdida del hogar,REJECTED_AS_INFERENCE,Hay simultaneidad macro.,El banco recibe shocks directos por FX/tasas/títulos/regulación antes o al margen de la mora.,nivel 3 transferencia/intención,sólo contabilidad de flujos directos podría elevar
El mismo canal amplio impulsa overshoot y trough en todos los episodios,REJECTED_AS_UNIVERSAL,2018/2023 muestran reversión de la misma familia margen/valuación.,2014 trough rota a costos operativos aunque el margen mejora.,fases bancarias,ninguno para claim universal
Todos los episodios rotan a un canal amplio distinto entre overshoot y drawdown,REJECTED_AS_UNIVERSAL,2014 sí rota al trough.,2018/2023 son mayormente reversión de la misma familia amplia.,fases bancarias,ninguno para claim universal
Existe rotación de componentes dentro del episodio,SUPPORTED,2014 FX→regulación→admin; 2018 FX→fondeo→títulos/FX reversal; 2023 cambia peso de pases/títulos/CER/monetario.,No cuantifica pesos causales homogéneos entre meses/episodios.,mecanismo bancario multicanal,V48 saldo acumulado por convención homogénea
Overshoot inicial favorable implica beneficio bancario persistente,REJECTED,N/D,2014 revierte inmediatamente; 2018/2023 muestran reversión de margen/valuación antes o junto a otros costos.,interpretación distributiva,V48 acumulado neto
Mora/incobrabilidad domina el trough de rentabilidad en los tres episodios,REJECTED,Es costo tardío relevante en 2018 y luego 2025.,2014 Apr incobrabilidad estable; 2018 Nov baja de margen por títulos/FX domina; 2023 drawdown precede mora material.,crédito→profit,late-stage contribution
Respuesta bancaria tiene fases distintas dentro del mismo episodio,STRONG_SUPPORT,"Overshoot, normalización, trough y eventual crédito tardío tienen drivers distintos/reversibles.",No equivale a una descomposición causal monetaria completa.,nivel 2 mecanismo temporal,V48 integración temporal homogénea
