series_code,date,value_thousand_ars,value_status,preferred_route,blocking_reason,published_id_continuity
1154,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1154,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1154,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1154,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1155,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1155,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1155,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1155,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1156,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1156,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1156,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1156,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1157,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1157,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1157,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1157,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1158,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1158,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1158,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1158,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1159,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1159,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1159,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1159,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1160,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1160,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1160,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1160,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1161,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1161,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1161,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1161,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1162,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1162,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1162,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1162,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1183,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1183,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1183,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1183,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1184,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1184,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1184,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1184,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1185,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1185,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1185,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1185,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1186,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1186,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1186,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1186,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1187,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1187,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1187,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1187,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1188,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1188,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1188,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1188,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1189,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1189,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1189,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1189,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1190,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1190,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1190,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1190,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1191,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1191,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1191,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1191,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1192,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1192,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1192,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1192,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
