persona_id,persona,nivel_cargo,cargo_actual,jurisdiccion,oa_nombre,nombre_normalizado_exacto,oa_personas_por_cuit,oa_person_key,oa_anios_seleccionados,evidencia_misma_institucion_anios,presentacion_cargo_actual_localizada,ultimo_anio_oa,ultimo_organismo_oa,ultimo_cargo_oa,estado_revision_identidad,siguiente_accion
dip-daives-ricardo,Ricardo Daives,Diputados nacionales,Diputado/a nacional,Santiago Del Estero,DAIVES RICARDO DANIEL,no,1,23b0f916081d778c,2018|2019|2020|2021|2022|2023|2024,2019|2020|2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-de-andreis-fernando,Fernando de Andreis,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,DE ANDREIS FERNANDO,no,1,dac1191b482d0566,2017|2018|2019|2024,2024,sí,2024,,Diputado nacional,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-de-la-rosa-maria-graciela,María Graciela de la Rosa,Diputados nacionales,Diputado/a nacional,Formosa,DE LA ROSA MARIA GRACIELA,no,1,0550e327655e12e2,2017|2018|2019|2020|2021|2022|2023|2024,,sí,2024,AUDITORIA GENERAL DE LA NACION,AUDITORA DE LA NACION,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-de-la-sota-natalia,Natalia de la Sota,Diputados nacionales,Diputado/a nacional,Cordoba,DE LA SOTA NATALIA,no,1,96e841cf59a65c1f,2021|2022|2023|2024,2021|2022|2023|2024,sí,2024,,DIPUTADA,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-de-sensi-maria-florencia,María Florencia De Sensi,Diputados nacionales,Diputado/a nacional,Buenos Aires,DE SENSI MARIA FLORENCIA,no,1,b47eca6f1dfa5821,2018|2020|2023|2024,2018|2020|2024,sí,2024,,DIPUTADA DE LA NACION,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-del-cano-nicolas,Nicolás del Caño,Diputados nacionales,Diputado/a nacional,Buenos Aires,DEL CAÑO NICOLAS,no,1,f30792fb93440493,2017|2018|2019|2020|2021|2022|2023|2024,2017|2018|2019|2020|2021|2022|2023|2024,sí,2024,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-del-pla-romina,Romina Del Plá,Diputados nacionales,Diputado/a nacional,Buenos Aires,DEL PLA ROMINA,no,1,e79e78e9f03e5e85,2017|2018|2019|2020|2021|2023|2024,2017|2018|2019|2020|2021|2023|2024,sí,2024,,Diputada Nacional,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-diaz-fernanda,Fernanda Díaz,Diputados nacionales,Diputado/a nacional,Buenos Aires,DIAZ FERNANDA,no,1,8267bfbd7a3936f6,2024,2024,sí,2024,,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-emma-nicolas,Nicolás Emma,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,EMMA NICOLAS MARIO,no,1,e2a7399827e94af9,2023|2024,2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL POR LA CIUDAD DE BUENOS AIRES,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-estevez-gabriela-beatriz,Gabriela Beatriz Estévez,Diputados nacionales,Diputado/a nacional,Cordoba,ESTEVEZ GABRIELA BEATRIZ,no,1,eab9b3bc5eef63bc,2017|2018|2019|2020|2021|2022|2023|2024,2017|2018|2019|2020|2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-falcone-eduardo,Eduardo Falcone,Diputados nacionales,Diputado/a nacional,Buenos Aires,FALCONE EDUARDO GABRIEL,no,1,f4d533b2d78f6cb9,2022|2023,2023,no,2023,SOCIEDAD ARGENTINA DE AUTORES Y COMPOSITORES DE MU,DIPUTADO NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-fargosi-alejandro,Alejandro Fargosi,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,FARGOSI ALEJANDRO EDUARDO,no,1,4cdff9e6be5c3210,2024,2024,sí,2024,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-felix-emir,Emir Félix,Diputados nacionales,Diputado/a nacional,Mendoza,FELIX EMIR ROBERTO,no,1,945216c0a75aeea6,2024,2024,no,2024,,DIPUTADO NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-fernandez-elia-marina,Elia Marina Fernández,Diputados nacionales,Diputado/a nacional,Tucuman,FERNANDEZ ELIA MARINA,no,1,851046cd291ed104,2023|2024,2023|2024,sí,2024,,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-fernandez-molero-daiana,Daiana Fernández Molero,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,FERNANDEZ MOLERO DAIANA,no,1,007dae953540d2a7,2017|2018|2019|2022|2023|2024,2023|2024,sí,2024,LEGISLATURA DE LA CIUDAD AUTONOMA DE BUENOS AIRES,DIPUTADO NACIONAL POR LA CIUDAD DE BUENOS AIRES,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-ferran-abelardo,Abelardo Ferrán,Diputados nacionales,Diputado/a nacional,La Pampa,FERRAN ABELARDO MARIO,no,1,a97a1cc2a56a441e,2017|2018|2019|2020|2021|2022|2023|2024,,sí,2024,UNIVERSIDAD NACIONAL DE LA PAMPA O. P.,DECANO,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-ferraro-maximiliano,Maximiliano Ferraro,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,FERRARO MAXIMILIANO,no,1,729cbca664d3e171,2018|2019|2020|2021|2022|2023|2024,2019|2020|2021|2022|2023|2024,sí,2024,,diputado nacional,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-ferreyra-alida,Alida Ferreyra,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,FERREYRA ALIDA MONICA,no,1,e887a4e479d2e351,2022|2023|2024,2022|2023|2024,no,2024,FERREYRA ALIDA MONICA,DIPUTADA DE LA NACION (CARGO ACTUAL),revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-finocchiaro-alejandro,Alejandro Finocchiaro,Diputados nacionales,Diputado/a nacional,Buenos Aires,FINOCCHIARO ALEJANDRO OSCAR,no,1,0cd159cd7e746afe,2017|2018|2019|2020|2021|2022|2023|2024,2020|2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-frade-monica,Mónica Frade,Diputados nacionales,Diputado/a nacional,Buenos Aires,FRADE MONICA EDITH,no,1,bc2ef5b8f4a9ee49,2018|2019|2020|2021|2022|2023|2024,2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA NACION,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-fregonese-alicia,Alicia Fregonese,Diputados nacionales,Diputado/a nacional,Entre Rios,FREGONESE ALICIA MARIA,no,1,ab9b00ebd58ca640,2017|2018|2019|2020|2021,2017|2018|2020,sí,2021,,,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-freites-andrea,Andrea Freites,Diputados nacionales,Diputado/a nacional,Tierra Del Fuego,FREITES ANDREA GRACIELA,no,1,41464f21e8979a10,2023,2023,sí,2023,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Diputado Nacional,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-frias-maira,Maira Frias,Diputados nacionales,Diputado/a nacional,Chubut,FRIAS MAIRA RAQUEL,no,1,8a0d0d30dcdb1b4f,2018|2024,2018,sí,2024,ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL ANS,jefa de oficina,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-galmarini-sebastian,Sebastián Galmarini,Diputados nacionales,Diputado/a nacional,Buenos Aires,GALMARINI SEBASTIAN,no,1,065e23421025743f,2021|2024,2024,sí,2024,BANCO DE LA PROVINCIA DE BUENOS AIRES,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-garcia-maria-teresa,María Teresa García,Diputados nacionales,Diputado/a nacional,Buenos Aires,GARCIA MARIA TERESA,no,1,c2df9aac1695ec55,2017|2018|2019|2020|2021|2022|2023|2024,,no,2024,HONORABLE CAMARA DE SENADORES PCIA BS AS,SENADORA POR LA PROVINCIA DE BUENOS AIRES,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-garcia-aresca-ignacio,Ignacio García Aresca,Diputados nacionales,Diputado/a nacional,Cordoba,GARCIA ARESCA IGNACIO JOSE,no,1,aa659cf476c022ff,2021|2022|2023,2021|2022|2023,sí,2023,GARCIA ARESCA IGNACIO JOSE,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-garrido-jose-luis,José Luis Garrido,Diputados nacionales,Diputado/a nacional,Santa Cruz,GARRIDO JOSE LUIS,no,1,5a57ab293748e90e,2023|2024,2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-giampieri-antonela,Antonela Giampieri,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,GIAMPIERI ANTONELA,no,1,0475183257f27009,2024,,sí,2024,,,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-giordano-juan-carlos,Juan Carlos Giordano,Diputados nacionales,Diputado/a nacional,Buenos Aires,GIORDANO JUAN CARLOS,no,2,,2017|2018|2019|2020|2021|2022|2023|2024,2018|2022|2024,sí,2024,,DIPUTADO NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-giudici-silvana,Silvana Giudici,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,GIUDICI SILVANA MYRIAM,no,1,1b88aa5e26d137bd,2017|2018|2019|2020|2021|2022|2023|2024,2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Diputada nacional,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-glinski-jose,José Glinski,Diputados nacionales,Diputado/a nacional,Chubut,GLINSKI JOSE ALEJANDRO,no,1,be9972a4598d8ceb,2020|2021|2022|2023|2024,2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-gonzalez-gerardo-gustavo,Gerardo Gustavo González,Diputados nacionales,Diputado/a nacional,Formosa,GONZALEZ GERARDO GUSTAVO,no,1,9d38ef6592d40c77,2022|2023|2024,2022,sí,2024,,,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-grabois-juan,Juan Grabois,Diputados nacionales,Diputado/a nacional,Buenos Aires,GRABOIS JUAN,no,1,002d428d158ef0c2,2024,,sí,2024,,,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-gruber-maura,Maura Gruber,Diputados nacionales,Diputado/a nacional,Misiones,GRUBER MAURA ESTER,no,1,ffaa9223c0512667,2024,2024,sí,2024,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-guzman-jairo,Jairo Guzmán,Diputados nacionales,Diputado/a nacional,Santa Cruz,GUZMAN JAIRO HENOCH,no,1,3921b2448e356a14,2024,,sí,2024,,,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-hagman-itai,Itai Hagman,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,HAGMAN ITAI,no,1,9f14c4c0df5e3e88,2018|2019|2020|2021|2022|2023|2024,2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Diputado de la Nación,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-hartfield-diego,Diego Hartfield,Diputados nacionales,Diputado/a nacional,Misiones,HARTFIELD DIEGO GABRIEL,no,1,b52414cf91f21dcb,2024,2024,sí,2024,,DIPUTADO,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-holzman-patricia,Patricia Holzman,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,HOLZMAN PATRICIA NOEMI,no,1,d2b71dc23e7f5f42,2017|2018|2019|2024,2024,sí,2024,,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
