persona_id,persona,nivel_cargo,jurisdiccion,estado_revision,oa_nombre,oa_person_key,anios,presentaciones_seleccionadas,anios_misma_institucion,organismos,cargos,senal_preclasificacion,publicable,motivo_no_publicacion
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE OSCAR,37c21ea0412e8680,2021|2022,2,,INSTITUTO DE OBRA SOCIAL DE LAS FUERZAS ARMADAS (I,Delegado Provincial LA PAMPA del IOSFA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE DAMIAN,4ac79d4251c83813,2017|2018,2,,GENDARMERIA NACIONAL,TITULAR COMISION EVALUADORA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE DANIEL,5162dc87e25680f1,2017|2018,2,,GENDARMERIA NACIONAL,ENCARGADO DE LA SECCION SEGURIDAD VIAL ORAN,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ALBERTO,63ff1ea736443f22,2017|2018,2,,POLICIA FEDERAL ARGENTINA,COMISARIO MAYOR,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE RAUL FERNANDO,642714fe8a09edee,2017|2018,2,,UNIVERSIDAD DE LA DEFENSA NACIONAL,VICERRECTOR DE LA UNIV. DE LA DEFENSA NACIONAL | VICERRECTOR DE LA UNIVERSIDAD DE LA DEFENSA NACION,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE RUBEN,77bfc125537d931b,2019|2020|2021|2022,4,,,,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE EDUARDO,7bbc0e45acbe0212,2021|2022|2023|2024,4,,UNIVERSIDAD TECNOLOGICA NACIONAL,SECRETARIO ADMINISTRATIVO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ANDRES,7d318e4ff6e5fd54,2017,1,,,,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ABEL,8948a92e8c058be4,2022|2023,2,,,asesor de gabinete | Asesor de Gabinete,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE RENATO,9a943ab2efc1daf0,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS | AGENCIA DE RECAUDACION Y CONTROL ADUANERO,ADMINISTRADOR ADUANA CORDOBA | ADMINISTRADOR ADUANA DE CORDOBA | Administrador Aduana de Córdoba | Consejero General de 1era - Aduana de Córdoba | Consejero General de 1ra - Aduana de Córdoba | Consejero General de 1ra Aduana de Córdoba | Verificador Aduana de Córdoba,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ADRIAN,a4c38608ccd38732,2017|2018|2019|2020|2021,5,,CORREO OFICIAL DE LA REPUBLICA ARGENTINA SOCIEDAD,JEFE SUCURSA | Jefe de Oficina Correo Argentino | Jefe de Oficina de correo | Jefe de Oficina de Correo,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE RAUL,aaad8630dd38bd63,2017|2018|2019|2020|2021|2022|2023,7,,POLICIA DE SEGURIDAD AEROPORTUARIA,SUBINSPECTOR | INSPECTOR | inspector | INSPÉCTOR,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE OSCAR,c0918f105c2b0b45,2017|2018,2,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,JEFE DE AGENCIA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ALBERTO,dfcb016eadeeffcc,2017|2018|2019|2020|2021|2022|2023|2024,8,,DEFENSORIA DEL PUBLICO DE SERVICIOS DE COMUNICACIO,JEFE DE DEPARTAMENTO UNIDAD DE AUDITORIA INTERNA | JEFE DE DEPARTAMENTO DE UNIDAD DE AUDITORIA INTERN | JEFE DE DEPARATAMENTO AUDITORIA INTERNA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-fernandez-jorge,Jorge Fernández,Diputados nacionales,San Luis,sin_registro_oa_2017_2024_identidad_desambiguada,FERNANDEZ JORGE ALBERTO,f485914ab5bff59a,2018|2019|2020|2021|2022|2023|2024,7,,FUERZA AEREA ARGENTINA,MIEMBRO DE LA COMISION EVALUADORA CRV | JEFE DE GRUPO CRV | jefe de grupo crv | Comodoro - Jefe de Grupo Tecnico CRV | COMODORO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS DANIEL,24fc20286595f8a4,2022|2024,2,2022|2024,,DIPUTADO NACIONAL,candidato_misma_institucion,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS MAURICIO,377a93f3d0ab1fe9,2023|2024,2,,PREFECTURA NAVAL ARGENTINA O. P.,Oficial Jefe,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS ALBERO,3ca626cec5385fcf,2019,1,2019,,Diputado Nacional,candidato_misma_institucion,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS CESAR,4168e8b89e5447f1,2017|2019|2020|2021,4,,MINISTERIO DE RELACIONES EXTERIORES Y CULTO,CONSUL GENERAL EN PORTO ALEGRE - BRASIL | CONSUL GENERAL EN SAN PABLO -BRASIL | Cónsul General en San Pablo,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS CESAR,430d013f4db17cb9,2017|2018|2023,3,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,Jefe de Seccion | Jefe de Seccion AFIP DGI | JEFE,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS NORBERTO,50a655e07fcdcd5c,2017|2018,2,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,Jefe de División fiscalización | Jefe de Division Fiscalizacion,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS RAMON,58f9ca3ab43660e4,2017|2018|2019|2020|2021|2022,6,,PREFECTURA NAVAL ARGENTINA,PREFECTO | Prefecto,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS FAUSTINO,808c86c1707d7eb1,2017,1,,,Jefe de Misión Embajada de la República en Israel,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS ALBERTO,967d8be0c0c2640f,2023,1,,CONTADURIA GENERAL DEL EJERCITO,comision de recepcion de efecvtos,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS MARIA,995d7473b800df5e,2018|2019|2020|2021|2022|2023|2024,7,,SUPERINTENDENCIA DE RIESGOS DEL TRABAJO,MEDICO COTITULAR | MEDICO COTI TULAR | MEDICO CO-TITULAR,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS OSCAR,9ad35aaf59e25443,2017|2019|2020|2021|2022|2023|2024,7,,INSTITUTO OBRA SOCIAL DEL EJERCITO,G5 | Subdelegado,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS ESTEBAN,bca09eed11eaad9d,2024,1,,,,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS ENRIQUE,bd96f9ec18572166,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS | AGENCIA DE RECAUDACION Y CONTROL ADUANERO,JEFE SECCION ECONOMICA Y FINANCIERA | JEFE SECCION ECONOMICO Y FINANCIERA | jefe de sección | empleado | empleado aduana | empleado publico,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS ALBERTO,cb664ad635528b86,2017|2018,2,,SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENT,VETERINARIO OFICINA LOCAL,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS CRISTOBAL,d6c2cde841c43edc,2017|2018|2019|2020|2021|2022|2023,7,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,INSPECTOR DE FISCALIZACION PREVENTIVA | Inspector de Fiscalización de Seguridad Social | Inspector de Fiscalizacion | INSPECTOR DE FISCALIZACIÓN,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS JOSE JAVIER,df34881af017fddf,2021|2022|2023|2024,4,,POLICIA DE SEGURIDAD AEROPORTUARIA,Jefe de División de Operaciones Policiales - PSA | JEFE DE DIVISION OPERACIONES POLICIALES | JEFE UOSP LA PAMPA - PSA | Jefe de UOSP La Pampa,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS FABIAN,e72b8aaef25e7dfe,2017|2018|2019|2020|2021|2022|2023|2024,8,,,VETERINARRIO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS ALBERTO,e9177cfd9a24384b,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS | AGENCIA DE RECAUDACION Y CONTROL ADUANERO,ADMINISTRATIVO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-carlos,Carlos García,Diputados nacionales,Chaco,identidad_confirmada_cruce_oficial,GARCIA CARLOS DANIEL,f169e96d53977837,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS | AGENCIA DE RECAUDACION Y CONTROL ADUANERO,INSPECTOR | INSPECTOR DE FISCALIZACION ORDINARIA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-alvaro,Álvaro García,Diputados nacionales,Buenos Aires,homonimia_oa_por_resolver,GARCIA ALVARO,2cb302b8e2a70a23,2018|2019|2020|2021|2022,5,,FONDO COMPENSADOR PARAJUBILADOS Y PENSIONADOS TELE,Sindico fondo compensador jubil y pens telefónicos | FONDO COMPENSADOR PARAJUBILADOS Y PENSIONADOS TELE | Sindico Fondo Compensador jubil y pens telefónicos | Síndico fondo compensador jubil y pens telefónicos,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-alvaro,Álvaro García,Diputados nacionales,Buenos Aires,homonimia_oa_por_resolver,GARCIA ALVARO MARCELO,7083b1c1341c8a20,2017|2018|2019|2020|2021|2022|2023|2024,8,,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBI,JEFE DE AGENCIA PAMI (9 DE JULIO) | Jefe de Agencia PAMI (9 de julio -pcia de bs as),sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-garcia-alvaro,Álvaro García,Diputados nacionales,Buenos Aires,homonimia_oa_por_resolver,GARCIA ALVARO RODRIGO,8f357499d963ebb8,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS | AGENCIA DE RECAUDACION Y CONTROL ADUANERO,ASESOR DICTAMINADOR | JEFE DE SECCIÓN INSPECCIÓN OPERATIVA | JEFE SECCION INSPECCION OPERATIVA | JEFE RESGUARDO (INSP. OPERATIVA) | JEFE INSPECCIÓN OPERATIVA | JEFE SECCIÓN INSPECCIÓN OPERATIVA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE DARIO,0205bed1644239e0,2017,1,2017,,1er Cadidato suplente a diputado,candidato_misma_institucion,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE RAUL ENRIQUE,14e4e93f0caff425,2017|2018|2019|2020|2021,5,,UNIVERSIDAD NACIONAL DE MISIONES,DIRECTOR DE BIENESTAR | DIRECTOR DE BIENESTAR ESTUDIANTIL,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE EDGARDO,1ced57f0d0101114,2020|2022|2023|2024,4,2020|2022|2023|2024,EMPRESA DISTRIBUIDORA DE ELECTRICIDAD DESANTIAGO D,CANDIDATO A PRIMER SUPLENTE DE DIPUTADO NACIONAL | DIPUTADO NACIONAL | Diputado Nacional,candidato_misma_institucion,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE LUIS,3c7b22886e0f7330,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,ASISTENTE DE FISCALIZACION EXTERNA | asistente de fiscalización externa | ASESOR DIVISION LETRADA DPTO CONTENCIOSO JUDICIAL | DIRECTOR | REPRESENTANTE FISCAL | JEFE DIVISION JURIDICA,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE LUIS,41a321e009195356,2017|2018|2019|2020|2021|2022|2023|2024,8,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS | AGENCIA DE RECAUDACION Y CONTROL ADUANERO,Supervisor de AFIP | Supervisor de fiscalización AFIP | Supervisor de fiscalización | Supervisor fiscalización AFIP,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE NICOLAS,5442a67e7728f188,2018|2019|2020|2021|2022|2023|2024,7,,FUERZA AEREA ARGENTINA,FAA - V BRIGADA AEREA - JEFE GRUPO TECNICO | A.L.C. JEFE GRUPO ADMINISTRACION DE LA PRODUCCION | F.A.A. - D.G.M. - JEFE MISION LOGISTICA EN EUROPA | F.A.A.- D.G.M.- JEFE MISION LOGISTICA EN EUROPA | Jefe Grupo Mantenimiento-A.M.Q.-D.G.M.-F.A.A.,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE MANUEL,6f0ac8809523f7a0,2017|2018|2019|2020,4,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,JEFE DE ADUANA DOMICILIARIA GRUPO NEW SAN | JEFE ADUANA DOMICILIARIA GRUPO NEW SAN | JEFE ADUANA DOMICILIARIO GRUPO NEW SAN,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE LUIS,90b87beab19740c1,2017|2018|2019,3,,DIRECCION GENERAL DE FABRICACIONES MILITARES,JEFE DE VENTAS | JEFE DE COMERCIALIZACION,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE NICOLAS,c50af8a71e5b57c7,2017|2018|2019|2020|2021|2022|2023,7,,SUPERINTENDENCIA DE RIESGOS DEL TRABAJO,Subgerencia de Comisiones Medicas,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE LUIS,ceca341723b39e02,2017|2018|2019|2020|2021|2022,6,,ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS,EMPLEADO ATENCION AL PUBLICO. | EMPLEADO DE ATENCIÓN AL PÚBLICO | EMPLEADO DE ATENCION AL PUBLICO,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE ELIAS,d82a65b14e9f0a7a,2017|2018|2019|2020|2021|2022|2023|2024,8,,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBI,JEFE DEPARTAMENTO MANTENIMIENTO | : JEFE DEPARTAMENTO MANTENIMIENTO | SUBGERENTE RECURSOS FISICOS,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
dip-gomez-jose,José Gomez,Diputados nacionales,Santiago Del Estero,identidad_confirmada_cruce_oficial,GOMEZ JOSE GABRIEL,e0a156cf5f261db8,2018|2019,2,,MINISTERIO DE PRODUCCION Y TRABAJO,Director Nacional de Infraestructura Minera | Director Nacional de Cadena de Valor Minera,sin_coincidencia_institucional,no,La clave fiscal permanece enmascarada y requiere evidencia oficial independiente que vincule esta trayectoria con la persona vigente.
