id,tema,institucion,titulo,url_original,archivo_local,fecha_descarga,fecha_publicacion,codigo_serie,periodo_utilizado,tipo,sha256,nota
bcra_ecc_3t2024,originacion,BCRA,ECC tercer trimestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/0924-ECC_Resultados.pdf,,2026-08-25,,,2024-Q3,PDF oficial referenciado,,Condiciones crediticias cualitativas
todosobrelamora_cruce,mora_causal,Análisis externo,Todo sobre la mora,https://todosobrelamora.vercel.app/,,2026-08-25,2026-08,,2026-06,Sitio externo referenciado,,Radiografía micro cruzada con la película macro; no fuente oficial
audit_supermercados_hist,supermercados,Elaboración propia,Auditoría supermercados histórico 2017-2026,,/data/fuentes/supermercados/metodologia/AUDITORIA_SUPERMERCADOS_HISTORICO_2017_2026.md,2026-08-25,,,2017-2026,auditoría metodológica,fc2868576d88bd67013d710f1bf3d718a34fa0d3a1b2fd9381d8e959488d4b31,Observado/derivado y discontinuidades
deriv_supermercados_moderno,supermercados,Elaboración propia,Serie moderna supermercados,,/data/derivados/supermercados/supermercados_moderno_2017_2026.csv,2026-08-25,,,2017-2026,CSV derivado,f3518ece4e92d8a75a0abe681d599ac21b4e78aa6ca121a21382230500377465,Serie usada por el panel histórico
deriv_supermercados_pago,supermercados,Elaboración propia,Medios de pago supermercados,,/data/derivados/supermercados/supermercados_medios_pago_2020_2026.csv,2026-08-25,,,2020-2026,CSV derivado,f77a9dbecf05857bdc1e4c0cd7065f022dfb73107632822cd3824d85a76507a9,Snapshots de medios de pago
deriv_supermercados_estructura,supermercados,Elaboración propia,Estructura supermercados,,/data/derivados/supermercados/supermercados_estructura_2020_2026.csv,2026-08-25,,,2020-2026,CSV derivado,d3fe0bcea3c3c39773acb915508ddf0d0c456638b211bd57dbd56d88d2f4c270,"Operaciones, empleo y bocas"
deriv_supermercados_rubros,supermercados,Elaboración propia,Composición por rubros supermercados,,/data/derivados/supermercados/supermercados_rubros_composicion_2023_2026.csv,2026-08-25,,,2023-2026,CSV derivado,3fc1ccdd9f0ea71392bfc1fc6af07b0adb24f14457c1f72244353d61fb20ba2d,"Composición nominal, no serie real larga"
deriv_supermercados_territorio,supermercados,Elaboración propia,Referencias territoriales supermercados 1S2026,,/data/derivados/supermercados/supermercados_territorio_1S2026_referencias.csv,2026-08-25,,,2026-1S,CSV derivado,f47a8c931b2fc157d07ba5dec02041de776bf88c918b6b4b4ed58f15cdd83c96,Sólo referencias publicadas; no ranking provincial completo
audit_causas_mora,mora_causal,Elaboración propia,Auditoría causal de mora,,/data/fuentes/morosidad/metodologia/AUDITORIA_CAUSAS_MORA_POBREZA_DESEMPLEO.md,2026-08-25,,,2022-2026,auditoría metodológica,b085505e98c2d9417dc8970b15703bf3007c1ac910617116a942ef182311e056,"Denominadores, rezagos, hipótesis y límites causales"
audit_cftea_ref,credito_cftea,Elaboración propia,Auditoría CFTEA de referencia y carga del crédito,,/data/fuentes/tasas/metodologia/AUDITORIA_CFTEA_REFERENCIA_Y_CARGA_CREDITO.md,2026-08-25,,,2019-2026,auditoría metodológica,7d4e27a3d728152d350574286073beda929a6736604badbb6f03b04767d1cefa,Costo del deudor ≠ ganancia bancaria
deriv_cftea_brecha,credito_cftea,Elaboración propia,Brecha costo crédito vs CFTEA referencia,,/data/derivados/tasas/brecha_costo_credito_vs_cftea_referencia_2019_2026.csv,2026-08-25,,,2019-2026,CSV derivado,1545c08643086726a8ea3ca076e6343774992c4c14372fc6e8fb2f4735740346,Serie mensual del modelo de referencia
