entity,basis,period,income_bcra,expense_bcra,income_otherfi,expense_otherfi,net_bcra,net_otherfi,quality,target_basis_compatible,system_panel_eligible_v72,v72_note
Banco de la Nacion Argentina,SEPARATED_INDIVIDUAL,FY-2023,766170919.0,0.0,0.0,0.0,766170919.0,0.0,EXACT_OFFICIAL_ANNEX_Q,YES,NO_NOT_Q4,"V79 basis audit: exact separated FY Annex Q = BCRA income 766,170,919k; otherFI income 0. Consolidated FY differs by +3,980,009k otherFI income, proving consolidation is not interchangeable with target basis. V83: the user rescue obtained while pursuing AGN 210/2023 Anexo is byte-for-byte identical to the already-preserved 3-page consolidated CC2 report (SHA-256 563b4e6f30ff13bd7a8cec6f794ad90a64383866cf907c434d9c7841a703ffd5), so it adds no separated 9M evidence. The 2025 full separated pack also explicitly delegates interest-income/expense openings to consolidated Notes 25-26 as representative/coincident or not significantly different; therefore a 2024 comparator must not be assumed to print strict separated four-leg data without inspecting the actual binary."
Banco de la Nacion Argentina,CONSOLIDATED_CONTROL_ONLY,FY-2023,766170918.0,0.0,3980009.0,0.0,766170918.0,3980009.0,EXACT_OFFICIAL_ANNEX_Q_CONTROL,NO_CONSOLIDATED_CONTROL_ONLY,NO,"V79 exact consolidated control = BCRA income 766,170,918k + otherFI income 3,980,009k; separated target-basis FY has no otherFI income. Keep control-only."
Banco Credicoop Cooperativo Limitado,SEPARATED_INDIVIDUAL,Q4-2023,92139666.477764770389,0,0,0,92139666.477764770389,0,EXACT_FROM_PRIMARY_9M_NOTE6_FY_ANNEXQ_CROSSWALK_AND_HOMOGENEOUS_DIFFERENCING,YES,YES_EXACT_Q4_TARGET_BASIS,V75 exact four-leg Q4. 9M separated Note 6 BCRA-pass income crosswalks exactly to FY Annex Q taxonomy; zero legs verified by explicit dash/exhaustive reconciliation and FY taxonomy.
Banco de la Provincia de Buenos Aires,SEPARATED_INDIVIDUAL,Q4-2023,408809771.013623237610,0,0,0,408809771.013623237610,0,EXACT_FROM_PRIMARY_SEPARATED_9M_NOTE14_15_AND_FY_ANNEXQ_HOMOGENEOUS_DIFFERENCING_WITH_SUBTHOUSAND_ROUNDING_ZERO,YES,YES_EXACT_Q4_TARGET_BASIS,V78: user-recovered official BAPRO 30-09-2023 package contains separated Notes 14-15. Four 9M legs exact at reported precision. FY Annex Q exact inherited. OtherFI Q4 expense raw residual -0.126513k is within ±1.266454k source-rounding tolerance and is zero at reported thousand-ARS precision.
Banco Ciudad de Buenos Aires,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,0.0,0.0,370794209.0769231,327736.1227385137,0.0,370466472.95418453,EXACT_FROM_BCRA_OPEN_DATA_INDIVIDUAL_RAW_9M_FY_HOMOGENEOUS_DIFFERENCING,YES,YES_EXACT_Q4_TARGET_BASIS,"V84 promotion: official BCRA IEF open-data raw entity account files Sep/Dec 2023; full nonzero account-level extraction. Ciudad has 511027 sector-financial pass income and 521022 sector-financial pass expense, no 511108/521108 BCRA legs and no ambiguous 511007/521007 other-pass accounts. Raw 9M/FY values exactly reconcile the previously inherited consolidated Annex-Q control while independently supplying target individual/regulatory basis."
Banco BBVA Argentina S.A.,INDIVIDUAL_ENTITY_REGULATORY,Q4-2023,160559825.767972624453324,0,-8.459195626598368,1797.165473556341024,160559825.767972624453324,-1805.624669182939392,EXACT_FROM_BCRA_INDIVIDUAL_RAW_WITH_ENTITY_SPECIFIC_ISSUER_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,V86 promotion. BCRA entity 00017 raw Sep/FY accounts reconcile exact 9M separate issuer Notes 26-27 totals; annual issuer Exhibit-Q comparative validates the BCRA/other-FI mapping entity-specifically. The -8.459k Q4 otherFI-income residual is preserved as arithmetic/source-rounding residue and is not clamped.
Banco Patagonia S.A.,SEPARATED_INDIVIDUAL,Q4-2023,0E-15,0E-15,143548485.379973139597544,502688.298364354295568,0E-15,143045797.081608785301976,EXACT_FROM_SEPARATED_ISSUER_9M_FY_AND_ENTITY_SPECIFIC_RAW_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,"V87 promotion: separated 9M Notes 21-22 give exact sector-financial pass totals; FY separated Notes 21-22 and separated Annex Q map the same exact totals 100% to Other Financial Institutions, with BCRA zero. BCRA raw 00034 reconciles all source amounts exactly. Entity-specific only."
CITIBANK N.A.,INDIVIDUAL_BRANCH_ISSUER,Q4-2023,271540204.286216447907156,0E-15,2444912.878389518378248,0E-15,271540204.286216447907156,2444912.878389518378248,EXACT_FROM_OFFICIAL_ISSUER_9M_FY_COUNTERPARTY_OPENING,YES,YES_EXACT_Q4_TARGET_BASIS,V87 promotion: official Citi 9M Note 25 explicitly opens pass income BCRA/otherFI and has no pass-expense line; FY Note 25 explicitly opens BCRA/otherFI and FY Annex Q has no pass-expense category. Issuer presentation is primary; no universal six-digit raw mapping used.
Banco Supervielle S.A.,SEPARATED_INDIVIDUAL,Q4-2023,86491188.977916638420204,0E-15,222212.688446354018576,591120.907458024334972,86491188.977916638420204,-368908.219011670316396,EXACT_FROM_BCRA_RAW_WITH_SUPERVIELLE_SPECIFIC_FY_ANNEXQ_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,"V87 exactification: FY separated Annex Q maps raw 511108 to BCRA, 511027+515034 to otherFI, and 521022+525042 to otherFI expense exactly. The identical account set at 9M sums exactly to the separated 9M published pass totals, validating the crosswalk for Supervielle only and collapsing the prior bound."
Banco Comafi Sociedad Anonima,SEPARATED_INDIVIDUAL,Q4-2023,136510581.599939314269112,0,1485781.919302356282468,654.163043949846892,136510581.599939314269112,1485127.756258406435576,EXACT_FROM_SEPARATED_ISSUER_9M_AND_FY_ANNEXQ,YES,YES_EXACT_Q4_TARGET_BASIS,V88 promotion: official separated 9M package voluntarily includes Annex Q and explicitly splits BCRA/otherFI pass income and expense; FY separated Annex Q repeats the four-leg opening. No raw-account inference required.
Banco de la Provincia de Cordoba S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,Q4-2023,53876602.361490745526904,0,2759.65078745289432,25539.8061521107559,53876602.361490745526904,-22780.15536465786158,EXACT_FROM_BCRA_RAW_WITH_BANCOR_SPECIFIC_FY_ANNEXQ_AND_9M_COMPARATOR_RECONCILIATION,YES,YES_EXACT_Q4_TARGET_BASIS,V88 promotion: FY separated Annex Q maps raw 511108/511027/521022 exactly and excludes 515034 from pass. The same Sep account set reconciles official separated 30/09/2024 comparator 9M-2023 pass totals under a common reexpression factor. Entity-specific only.
Nuevo Banco de Santa Fe Sociedad Anonima,SEPARATED_INDIVIDUAL,Q4-2023,10033348.881166213280720,0E-15,9965.000000000000000,-5.141784892969824,10033348.881166213280720,9970.141784892969824,EXACT_FROM_SEPARATED_ISSUER_9M_AND_FY_ANNEXQ,YES,YES_EXACT_Q4_TARGET_BASIS,"V89 promotion: official separated 9M interim Annex Q explicitly opens BCRA/other-FI pass income and other-FI pass expense; FY separated Annex Q repeats the taxonomy. Tiny negative Q4 other-FI expense residual is preserved, not clamped."
Nuevo Banco de Entre Ríos S.A.,SEPARATED_INDIVIDUAL,Q4-2023,18164030.917133067050856,0E-15,-0.052496854525848,-0.752787539589068,18164030.917133067050856,0.700290685063220,EXACT_FROM_SEPARATED_ISSUER_9M_AND_FY_ANNEXQ,YES,YES_EXACT_Q4_TARGET_BASIS,V89 promotion: official 9M and FY issuer Annex Q/presentation explicitly supply the pass counterparty opening. Sub-thousand negative Q4 other-FI income/expense residuals are arithmetic/source-rounding residues and are preserved.
Banco de San Juan S.A.,SEPARATED_INDIVIDUAL,Q4-2023,42575089.535207602541484,0E-15,11653.107163000564560,112611.590741463856564,42575089.535207602541484,-100958.483578463292004,EXACT_FROM_SEPARATED_ISSUER_9M_AND_OFFICIAL_FY_COMPARATIVE_ANNEXQ,YES,YES_EXACT_Q4_TARGET_BASIS,V89 promotion: official separated 9M Annex Q explicitly opens all pass counterparties; official 2024/2023 comparative Annex Q supplies the FY-2023 opening. No raw-account mapping is borrowed from another entity.
Banco de Santa Cruz S.A.,SEPARATED_INDIVIDUAL,Q4-2023,4615230.007245434209288,0E-15,0E-15,0E-15,4615230.007245434209288,0E-15,EXACT_FROM_SEPARATED_ISSUER_9M_AND_FY_ANNEXQ,YES,YES_EXACT_Q4_TARGET_BASIS,V89 promotion: official 9M opening reports pass income entirely against BCRA and no pass-expense line; FY Annex Q repeats BCRA-only pass income and no pass-expense line. Other three strict legs are zero by issuer presentation.
Banco de Inversion y Comercio Exterior S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,Q4-2023,34882023.954531658032028,0E-15,-1.076792919412032,44197.000000000000000,34882023.954531658032028,-44198.076792919412032,EXACT_FROM_BCRA_RAW_WITH_BICE_SPECIFIC_SAME_YEAR_FY_SEPARATED_ISSUER_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,"V90 promotion: BICE FY separated Annex Q maps raw 511108/511027 exactly to BCRA/otherFI pass income and reconciles the 44,197k total pass expense. Separated Note 5 incorporates the repo detail in consolidated Note 5; consolidated Annex Q validates the same 44,197k expense as otherFI with BCRA expense zero. Same BICE-specific account identities applied to Sep raw only; no universal mapping."
Banco Industrial S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,Q4-2023,152115463.880168364322132,0.000000000000000,13088.901470779662428,1964.590567920517340,152115463.880168364322132,11124.310902859145088,EXACT_FROM_BCRA_RAW_WITH_BANCO_INDUSTRIAL_SPECIFIC_SAME_YEAR_FY_SEPARATED_ISSUER_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,V91 promotion: Banco Industrial FY separated Annex Q maps raw 511108/511027/521022 one-to-one to BCRA income / other-FI income / other-FI expense and shows BCRA pass expense zero. The same entity-specific account identities are then applied to Sep raw only; no universal six-digit mapping.
Nuevo Banco del Chaco S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,Q4-2023,11135244.167859780236144,0.000000000000000,-0.122955442752296,0.000000000000000,11135244.167859780236144,-0.122955442752296,EXACT_FROM_BCRA_RAW_WITH_NBCH_SPECIFIC_SAME_YEAR_FY_SEPARATED_ISSUER_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,V92 promotion: official FY separated NBCH Annex Q maps raw 511108/511027 one-to-one to BCRA/other-FI pass income and presents no pass-expense line. Same entity-specific identities applied to Sep raw only; no universal six-digit mapping.
Banco de La Pampa S.E.M.,INDIVIDUAL_ENTITY_REGULATORY_WITH_INDIVIDUAL_ISSUER_VALIDATION,Q4-2023,24871195.212720731137404,0.000000000000000,0.000000000000000,-0.715779426438328,24871195.212720731137404,0.715779426438328,EXACT_FROM_BCRA_RAW_WITH_BANCO_LA_PAMPA_SPECIFIC_SAME_YEAR_FY_INDIVIDUAL_ISSUER_CROSSWALK,YES,YES_EXACT_Q4_TARGET_BASIS,V93 promotion: official FY Banco de La Pampa Annex Q maps raw 511108 one-to-one to BCRA pass income and raw 521022 one-to-one to other-FI pass expense; other-FI income and BCRA expense are zero in issuer taxonomy. Same entity-specific identities applied to Sep raw only; CNV confirms Sep filing is individual; no universal six-digit mapping.
