entity,target_basis,fy_status,nine_month_status,q4_four_leg_status,strict_panel_status,priority,next_action
Banco de San Juan S.A.,SEPARATED_INDIVIDUAL,OFFICIAL_FY2023_COMPARATIVE_ANNEXQ_EXACT,OFFICIAL_SEPARATED_INTERIM_ANNEXQ_EXACT,EXACT,ELIGIBLE,CLOSED_V89,retain; issuer presentation supplies counterparty split directly
Banco de Santa Cruz S.A.,SEPARATED_INDIVIDUAL,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT,OFFICIAL_SEPARATED_9M_OPENING_EXACT,EXACT,ELIGIBLE,CLOSED_V89,retain; BCRA-only pass income and issuer-presented zero expense legs
Banco de Inversion y Comercio Exterior S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_BICE_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V90,"retain; AGN SC rescue is report-only; promotion rests on BICE-specific FY issuer/raw crosswalk, not universal six-digit mapping"
Banco de Santiago del Estero S.A.,SEPARATED_INDIVIDUAL,BCRA_RAW_DEC_EXACT_ISSUER_COUNTERPARTY_OPENING_NOT_RECOVERED,BCRA_RAW_SEP_EXACT_ISSUER_COUNTERPARTY_OPENING_NOT_RECOVERED,N/D_STRICT,PENDING,6_HOLD,recover BSE-specific official FY2023 Annex Q/counterparty opening and compatible Sep presentation; raw-only 511108 remains insufficient
Banco Industrial S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V91,retain; entity-specific same-year FY issuer/raw crosswalk only; do not generalize six-digit account semantics
Nuevo Banco del Chaco S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V92,retain; NBCH-specific same-year FY issuer/raw crosswalk only; preserve tiny negative Q4 other-FI-income residual; never generalize six-digit account semantics
Banco de La Pampa S.E.M.,INDIVIDUAL_ENTITY_REGULATORY_WITH_INDIVIDUAL_ISSUER_VALIDATION,OFFICIAL_INDIVIDUAL_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK; CNV_INDIVIDUAL_9M_FILING_IDENTIFIED_3121031,EXACT,ELIGIBLE,CLOSED_V93,retain; BLP-specific same-year FY issuer/raw crosswalk only; preserve tiny negative Q4 other-FI-expense residual; never generalize six-digit account semantics
Banco Provincia del Neuquén S.A.,INDIVIDUAL_STANDALONE_ENTITY_REGULATORY_WITH_ISSUER_VALIDATION,OFFICIAL_ISSUER_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V94,"retain; BPN-specific same-year crosswalk only; 2024 comparator used as taxonomy control, not nominal FY input"
Banco de Corrientes S.A.,INDIVIDUAL_ENTITY_REGULATORY_PENDING_ISSUER_VALIDATION,OFFICIAL_FY_ISSUER_PAGE_AND_EXACT_BINARY_ENDPOINT_IDENTIFIED; BINARY_NOT_RECOVERED_OR_PARSED,BCRA_RAW_SEP_ONLY_NO_ISSUER_COUNTERPARTY_CROSSWALK,N/D_STRICT,PENDING,HOLD_V98_EXACT_ENDPOINT,manually rescue official documentid=1193 binary and inspect FY Annex Q; then seek compatible Sep bridge; do not classify 511108 by name
Banco de Formosa S.A.,SEPARATED_ENTITY_REGULATORY_WITH_ISSUER_9M_DIRECT_AND_FY_TOTAL_RESIDUAL_VALIDATION,OFFICIAL_FY_SEPARATED_BASIS_PLUS_EXACT_ISSUER_TOTAL_RESIDUAL_RECONSTRUCTION,OFFICIAL_SEPARATED_9M_ANNEXQ_DIRECT_FOUR_LEG_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V95,retain Formosa-specific crosswalk only; preserve tiny negative Q4 Other-FI-expense residual; never generalize six-digit account semantics
Banco CMF S.A.,BANK_ONLY / INDIVIDUAL_TARGET,OFFICIAL_SEPARATED_FY_ARCHIVE_MEMBER_PHYSICALLY_RECOVERED_PASS_TOTAL_EXACT_RAW_MATCH_COUNTERPARTY_SPLIT_MISSING,OFFICIAL_SEPARATED_9M_ARCHIVE_MEMBER_PHYSICALLY_RECOVERED_PASS_TOTAL_EXACT_RAW_MATCH_COUNTERPARTY_SPLIT_MISSING,N/D_STRICT_COUNTERPARTY_FLOW_SPLIT_MISSING,PENDING,HOLD_V98_SOURCE_BODY_RECOVERED,seek explicit same-year pass-result counterparty opening; BCRA-only closing stock cannot substitute for flow counterparty classification
Banco del Chubut S.A.,INDIVIDUAL_ENTITY_TARGET,BCRA_RAW_DEC_AVAILABLE_ISSUER_COUNTERPARTY_CROSSWALK_NOT_RECOVERED,BCRA_RAW_SEP_AVAILABLE_ISSUER_COUNTERPARTY_CROSSWALK_NOT_RECOVERED,N/D_STRICT,PENDING,HOLD_V96,seek official FY/9M 2023 issuer counterparty opening; do not classify 511108 by account name
Banco de Servicios y Transacciones S.A.,INDIVIDUAL_ENTITY_ISSUER_NO_SUBSIDIARIES,OFFICIAL_FY_ANNEX_Q_DIRECT_FOUR_LEG_SPLIT_EXACT_RAW_CROSSWALK,OFFICIAL_9M_PASS_TOTALS_PLUS_SAME_ENTITY_FY_CROSSWALK_EXACT,EXACT,ELIGIBLE,CLOSED_V96,retain BST-specific same-entity mapping only; never generalize six-digit accounts
Banco Columbia S.A.,SEPARATED_INDIVIDUAL,OFFICIAL_WEB_FY_ANNEXQ_EXACT_RAW_SET_RECONCILIATION_BINARY_NOT_PRESERVED,OFFICIAL_WEB_SEPARATED_9M_TOTALS_EXACT_RAW_SET_RECONCILIATION_BINARY_NOT_PRESERVED,CANDIDATE_EXACT_ANALYTICALLY_RESOLVED_SOURCE_HOLD,PENDING,SOURCE_PRESERVATION_HOLD_V97,manually preserve original 10184.pdf and 10253.pdf; verify SHA/magic bytes; then promote without changing the resolved arithmetic
Banco Mariva S.A.,INDIVIDUAL,CNV_INDIVIDUAL_FILING_3165651_IDENTIFIED_ATTACHMENT_BODY_NOT_RECOVERED,CNV_INDIVIDUAL_FILING_3122483_IDENTIFIED_ATTACHMENT_BODY_NOT_RECOVERED,N/D_STRICT,PENDING,NEXT_ATTACHMENT_RECOVERY_V98,recover actual CNV individual Sep/FY 2023 attachments and perform same-entity issuer-to-raw crosswalk; do not classify raw candidate accounts by name
