"id","descripcion","carpeta","archivo","origen","bytes","sha256"
"T-4","Selección de líneas bancarias","03_REGIMEN_DE_TRANSPARENCIA","T-4__bcra_transparencia_bancos_prestamos_personales_2026-08-30.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_transparencia_bancos_prestamos_personales_2026-08-30.csv","183081","e59cb7e2899b2a5c0b74ea44c80bb1880805cc7b2356a366bc947d80b1bf7128"
"B-1","Estados e indicadores por entidad","04_BALANCES_BCRA","B-1__202605d.7z","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_entidades\2026-05\202605d.7z","35486621","8163067025fb9be8b1fe37472ffcbebd72bc114122466ea8cd8a30ea2ccbf1a0"
"B-2","Cotejo de ofertas y resultados","04_BALANCES_BCRA","B-2__bcra_bancos_ofertas_y_resultados_2026-08-30.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_bancos_ofertas_y_resultados_2026-08-30.csv","15894","e3acb4f5f390095e1d1d4f0a2c488cdd2d1be2e1d55248ea4893dd1edbdcd04d"
"B-3","Instrucciones de conciliación","04_BALANCES_BCRA","B-3__build_bcra_bank_profitability_crosscheck.ps1","C:\Github\inflacion\data\derivados\credito_consumo\build_bcra_bank_profitability_crosscheck.ps1","5693","c8c3771c8282a9a6b34326140319018f2772df486c52002972afea823fa8215a"
"B-4","Entidades septiembre de 2023","04_BALANCES_BCRA","B-4__202309d.7z","C:\Github\inflacion\research\ciclo_ajuste\inputs\bcra\2023-09\informacion_entidades_financieras_open_data\202309d.7z","17016237","31a0a315444496d4336695b6bd48deb562456df10e47fbc46de3703a77528bdb"
"B-5","Entidades diciembre de 2023","04_BALANCES_BCRA","B-5__202312d.7z","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_entidades\historico_2023_2026\202312d.7z","17296123","60ef86addba5e6646a2bfd42853ca077ea7970e9fa6effe54f1179049868f0d4"
"B-6","Entidades junio de 2024","04_BALANCES_BCRA","B-6__202406d.7z","C:\Github\inflacion\research\ciclo_ajuste\inputs\bcra\2024-06\informacion_entidades_financieras_open_data\202406d.7z","17346550","316c6c80f1206b08e13753bb4ac8b8ffe6239fbbf523dc7bddf9154e0e95385d"
"B-7","Entidades diciembre de 2024","04_BALANCES_BCRA","B-7__202412d.7z","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_entidades\historico_2023_2026\202412d.7z","16932603","e0e80ca4ec62c9f517fe4540a125da5dfc9677f61d17cf2f06955bc16e49c07d"
"B-8","Entidades junio de 2025","04_BALANCES_BCRA","B-8__202506d.7z","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_entidades\historico_2023_2026\202506d.7z","33440563","ed092702b18e24852df9d59d72b3956de3244081ebaf746d92d43de424027640"
"B-9","Entidades diciembre de 2025","04_BALANCES_BCRA","B-9__202512d.7z","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_entidades\historico_2023_2026\202512d.7z","33938190","948af2d9eed7648e923a59c8ef194b5ce4a2ebc6d61ffec91a26bafb8b1e5c4b"
"B-10","Panel bancario longitudinal","02_CALCULOS_Y_METODOLOGIA","B-10__bcra_panel_bancos_2023_2026.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_panel_bancos_2023_2026.csv","279415","a51b18b6787e2adf46367cdd8e588f1446f2a5172c29a478b8e6ae3a512c7a3d"
"B-11","Resumen y conciliación del panel","02_CALCULOS_Y_METODOLOGIA","B-11__bcra_panel_bancos_resumen_2023_2026.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_panel_bancos_resumen_2023_2026.csv","2609","fbc179d0fa633ba02ae02acae1f7c0c4140399ef1873f02f98673682c75f3c1c"
"B-12","Agregado del sistema AA000","02_CALCULOS_Y_METODOLOGIA","B-12__bcra_sistema_financiero_2023_2026.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_sistema_financiero_2023_2026.csv","3346","4c231a99d4b1201e6629ac4fc9216f2726d1597e603f4b0805a14ea3a08548e7"
"B-13","Instrucciones del panel longitudinal","02_CALCULOS_Y_METODOLOGIA","B-13__build_bcra_historical_bank_panel.ps1","C:\Github\inflacion\data\derivados\credito_consumo\build_bcra_historical_bank_panel.ps1","14215","0a191f7796283a0ea5a6a0cab1a1981d5d572028b486d6952c3fdb6f2b6ad7d0"
"IIF-1","Base de asistencia crediticia","05_INCLUSION_FINANCIERA","IIF-1__inclusion-financiera-deudores-sistema-financiero-ampliado-tipo-asistencia.txt","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_inclusion\2026-08-30\inclusion-financiera-deudores-sistema-financiero-ampliado-tipo-asistencia.txt","31974","05ce35cd80e34800f72e1851a8d3f9832e0536886cbd1c00c8458bb8e12e6df6"
"IIF-2","Base por edad","05_INCLUSION_FINANCIERA","IIF-2__inclusion-financiera-deudores-sistema-financiero-ampliado-asistencia-rango-etario.txt","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_inclusion\2026-08-30\inclusion-financiera-deudores-sistema-financiero-ampliado-asistencia-rango-etario.txt","596857","702fbc43ed6accf1c280ff95c4a9c2e13be6e4cb973a78581647bbc70037e3ef"
"IIF-3","Base por proveedor","05_INCLUSION_FINANCIERA","IIF-3__inclusion-financiera-deudores-sistema-financiero-ampliado-grupo-institucional.txt","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_inclusion\2026-08-30\inclusion-financiera-deudores-sistema-financiero-ampliado-grupo-institucional.txt","48200","e86c4e8811cd2038f6de3b1012c7931591474ba77cd118bcc44c879e0c9e253e"
"IIF-4","Serie de cobertura de préstamos personales","02_CALCULOS_Y_METODOLOGIA","IIF-4__bcra_inclusion_prestamos_personales_2023_2025.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_inclusion_prestamos_personales_2023_2025.csv","7827","c999bf10c70b8a2a019c790af9c46fb7d3a2c64f53b0bb6d5b9e05932133aece"
"IIF-5","Serie de cobertura por proveedor","02_CALCULOS_Y_METODOLOGIA","IIF-5__bcra_inclusion_proveedores_2023_2025.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_inclusion_proveedores_2023_2025.csv","60415","e1a7466679aaf791ee0b1301cebac67479518c129a2f4ec6ae7603d4758e2300"
"IIF-6","Cortes etarios de préstamos personales","02_CALCULOS_Y_METODOLOGIA","IIF-6__bcra_inclusion_prestamos_personales_edad_cortes_2023_2025.csv","C:\Github\inflacion\data\derivados\credito_consumo\bcra_inclusion_prestamos_personales_edad_cortes_2023_2025.csv","21209","d243531ded77a20c819000446839d81caccac6f92c732940a77900016fc3a83d"
"IIF-7","Instrucciones para las series de inclusión","02_CALCULOS_Y_METODOLOGIA","IIF-7__build_bcra_inclusion_credit_data.ps1","C:\Github\inflacion\data\derivados\credito_consumo\build_bcra_inclusion_credit_data.ps1","5265","171a60b1b6b20bb02367b4210242a84e4442a6c085882707a53d026f26c67156"
"N-1","Protección de usuarios, texto vigente","06_NORMATIVA_Y_RECLAMOS","N-1__t-pusf.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2026-08-30\t-pusf.pdf","2502846","48564cc714daa9a8c8bbd7115dfe006307ca7cb1c3d78b106c52555fe75a12ec"
"N-2","Tasas de crédito, texto vigente","06_NORMATIVA_Y_RECLAMOS","N-2__t-tasint.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2026-08-30\t-tasint.pdf","1360468","9c752ec8721020af1d21dba27266efff3a8edebf2d4e852fefdee18cbe1eb43e"
"N-3","Comunicación BCRA “A” 7744","06_NORMATIVA_Y_RECLAMOS","N-3__A7744.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2023_2026\A7744.pdf","370622","d7651de395bd0e383890cde960d433088118e0de0b03680f72dd88ba19e8068c"
"N-4","Comunicación BCRA “A” 8203","06_NORMATIVA_Y_RECLAMOS","N-4__A8203.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2023_2026\A8203.pdf","301937","600603a3345514bd93a65268d21eab91441b9f0867de5d100c6aed91d2c7acbb"
"N-5","Comunicación BCRA “A” 8433","06_NORMATIVA_Y_RECLAMOS","N-5__A8433.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2023_2026\A8433.pdf","1116161","32da719e7455704bdd72cb31a81e2853214903760848f5986c474510579ce5e5"
"N-6","Informe anual de usuarios 2025","06_NORMATIVA_Y_RECLAMOS","N-6__informe-anual-pusf-2025.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2026-08-30\informe-anual-pusf-2025.pdf","666469","ae57555690b0df659a333ac57bfb99b607ec6f95e6d2a9050b8b27695f34a1ca"
"N-7","Marco institucional de usuarios 2025","06_NORMATIVA_Y_RECLAMOS","N-7__marco-general-pusf-2025.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2026-08-30\marco-general-pusf-2025.pdf","1149628","4e4cc1c763f122dc064c318ab8866bb431d40ef51c95e41a8bcf6c12f06eda0b"
"N-8","Comunicación BCRA “A” 5402","06_NORMATIVA_Y_RECLAMOS","N-8__A5402.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_normativa\2023_2026\A5402.pdf","133760","6a2596b4d326f685aacc862c5adcfb4e3f2802a25957f92f01e67c9f7d1a1e82"
"R-1","Informe anual de usuarios 2023","06_NORMATIVA_Y_RECLAMOS","R-1__PUSF-Informe-2023.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_reclamos\2023_2025\PUSF-Informe-2023.pdf","2024271","f5f360578a1b3ee77b7407845b96a15629f6b7ea1bcfc7db3bac8847b391a170"
"R-2","Informe anual de usuarios 2024","06_NORMATIVA_Y_RECLAMOS","R-2__PUSF-Informe-2024.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\bcra_reclamos\2023_2025\PUSF-Informe-2024.pdf","1189532","d6ebb13fb20fddd7c53f44c7964fc1552990dca4f045346f5417bebd0929786d"
"MV-1","Formulario público de préstamo","07_CASO_MASVENTAS","MV-1__F0132-SOLICITUD-PRESTAMOS-PERSONALES.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\banco_masventas\2026-08-30\F0132-SOLICITUD-PRESTAMOS-PERSONALES.pdf","75694","bef977b75f783f50ac7b099e206c1555ade2a281b48b0b9e5bd1df87a23337e5"
"MV-2","Resumen público de préstamo","07_CASO_MASVENTAS","MV-2__Resumen-Solicitud-Prestamo-Personal-F0268-012023.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\banco_masventas\2026-08-30\Resumen-Solicitud-Prestamo-Personal-F0268-012023.pdf","53652","e6007e6a65cf86cedb552a6d5ba8b6d0b615df7c21bebbfcbd9d0fe567e96bc6"
"MV-3","Tarifario institucional","07_CASO_MASVENTAS","MV-3__TASAS-05-08-2026.pdf","C:\Github\inflacion\data\fuentes\credito_consumo\banco_masventas\2026-08-30\TASAS-05-08-2026.pdf","399435","c881e1e52a5545677194ee9f851f4c5c71c895fe85d349f5b990d0e7d0fe7874"
"MV-4","Página institucional de origen","07_CASO_MASVENTAS","MV-4__pagina-tasas-interes-cft-2026-08-30.html","C:\Github\inflacion\data\fuentes\credito_consumo\banco_masventas\2026-08-30\pagina-tasas-interes-cft-2026-08-30.html","135146","3d764da0d39b7f53f4b2858abb6818283acf73637c5cc15decf3fc248d3425ed"
"MV-5","Constancia del enlace obsoleto","07_CASO_MASVENTAS","MV-5__respuesta-descarga-TASAS-04-06-26.html","C:\Github\inflacion\data\fuentes\credito_consumo\banco_masventas\2026-08-30\respuesta-descarga-TASAS-04-06-26.html","299","39c7674e67118760089894bf956cd8bf6b2d9de6acd6e0c77b158325453b2223"
"DOC-0A","Copia íntegra del manuscrito original del repositorio","00_MANUSCRITO","MANUSCRITO_ACCION_COLECTIVA_CREDITO_BANCARIO_V0.7_ORIGINAL.md","C:\Github\inflacion\research\ciclo_ajuste\legal\MANUSCRITO_ACCION_COLECTIVA_CREDITO_BANCARIO_V0.md","123428","907f9caa7085dec673024b00c1c813e1e69980623236a074a4d0c0820707d224"
