"periodo","cobertura_personales_pct_poblacion_adulta","variacion_mensual_pp_dentro_tramo","variacion_desde_inicio_tramo_pp","tramo_metodologico","umbral_saldo_deuda_reportable_pesos","comparable_con_mes_anterior","fuente","nota_metodologica"
"2024-02","30,16435","-0,27517","1,20196","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2024-03","30,12635","-0,038","1,16396","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2024-04","30,48779","0,36144","1,5254","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2024-05","31,05361","0,56582","2,09122","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2024-06","31,08775","0,03414","2,12536","A_2023-01_a_2024-06","1000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","CENDEU informaba personas con saldo de deuda desde $1.000."
"2024-07","23,10117",,"0","B_2024-07_a_2025-12","25000","False","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2024-08","24,07381","0,97264","0,97264","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2024-09","24,90662","0,83281","1,80545","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2024-10","25,78621","0,87959","2,68504","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2024-11","26,59259","0,80638","3,49142","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2024-12","26,62799","0,0354","3,52682","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-01","27,46271","0,83472","4,36154","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-02","28,08715","0,62444","4,98598","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-03","28,66868","0,58153","5,56751","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-04","29,45954","0,79086","6,35837","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-05","29,97279","0,51325","6,87162","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-06","30,32218","0,34939","7,22101","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-07","31,22531","0,90313","8,12414","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-08","31,72399","0,49868","8,62282","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-09","31,91455","0,19056","8,81338","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-10","32,21391","0,29936","9,11274","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-11","32,24115","0,02724","9,13998","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
"2025-12","32,19603","-0,04512","9,09486","B_2024-07_a_2025-12","25000","True","BCRA, Indicadores de Inclusión Financiera, CENDEU","Desde julio de 2024 CENDEU informa personas con saldo de deuda desde $25.000 (Com. BCRA A 8001)."
