break_id,dimension,problem,rule,status,evidence
mixed_buyback_not_series_allocable,instrument,Buyback totals mix BODEN with other securities and GDP units.,Treat tender totals as non-additive controls until instrument-level awards are recovered.,FROZEN,CGN SDP 2008 p.64
scoped_narrative_absence_not_zero,source,A program phrase may be absent from Anexo J while series service appears in the debt table.,Record only a scoped absence; do not infer zero activity.,FROZEN,CGN SDP 2010-2012
maturity_zero_not_holder_reconciliation,scope,"A zero closing stock proves series maturity, not who received service.",Keep holder and purpose allocation open after maturity.,FROZEN,"CGN SDP 2012 pp.5, 41-42"
agn_aggregate_holder_not_boden,universe,AGN creditor shares cover total public debt rather than BODEN 2012.,Use them as aggregate context only and do not equate private sector with banks.,FROZEN,AGN Res. 202/2009 pp.16-17
fgs_duplicate_not_treasury_flow,accounting,A duplicated FGS inventory presentation changes reported holdings without a Treasury flow.,"Record the exception as a public-holder control correction, non-additive to issuance and service.",FROZEN,AGN Res. 102/2011 p.37
transparency_route_not_holder_register,source,AGN transparency confirms reports were identified for consultation but does not itself expose a holder register.,Use the route to continue resolution/actuación retrieval; do not treat it as delivery evidence.,FROZEN,AGN transparency response dated 2018-09-11
offer_not_award,phase,A tender offer is not an award.,Keep received offers separate; a deserted tender realizes zero.,FROZEN,Official result 28-08-2008
participant_not_ultimate_holder,counterparty,Published participants may act for other investors.,Label participant/intermediary and never infer ultimate beneficial ownership.,FROZEN,RC 212/24 Annex 1.6 and result tables
award_not_settlement,phase,An award precedes delivery confirmation and BCRA-account payment.,Require Caja de Valores and BCRA confirmations before marking cash-settled.,FROZEN,RC 212/24 Annex 2.1-2.5
cutoff_reconstruction_requires_exact_fit,derivation,Participant awards are not printed as a separate table.,Derive only when accepted offers under the rule reproduce both published VNO and effective totals exactly.,FROZEN,Results 04-09-2008 and 11-09-2008
effective_currency_translation,valuation,Effective USD and effective ARS use tender-specific reference FX.,Preserve the published FX per tender and do not reuse it across dates.,FROZEN,Official result first pages
budget_credit_not_placement,phase,Budget expansion to register placements does not prove delivery or payment.,Keep the DNU as a qualitative residual-program control until annex/execution records are found.,FROZEN,DNU 1801/2009
strip_not_full_bond,instrument,A separately tradable coupon strip is not the full BODEN 2012 stock.,Track the 2009 strip authorization separately from full-bond awards and service.,FROZEN,RC 113/34 2009 arts. 1 and 3
mixed_buyback_program_not_instrument,universe,A program aggregate spanning several securities cannot be assigned to BODEN 2012.,Keep mixed first-stage amounts outside instrument subtotals until a trade blotter exists.,FROZEN,First-stage communiqués 11/08 and 22/08/2008
budget_execution_aggregate_not_instrument_flow,aggregation,"CGN buyback execution lacks species, channel and counterparties.",Use it as a non-additive ceiling/control and never add it to tender totals.,FROZEN,CGN Cuenta de Inversión 2008 comments
bna_mandate_not_trade_blotter,phase,An instruction to BNA does not identify executed trades.,"Require date, instrument, quantity, price and counterparty before allocating first-stage purchases.",FROZEN,Official communiqué 11/08/2008; BNA memory 2008
secondary_result_not_primary_settlement,source,A contemporary secondary tender summary does not replace the primary result or settlement confirmation.,Label every quantitative strip value secondary and keep amount basis and payment open.,FROZEN,Consejo IEC 298 p.5
creditor_sector_not_instrument_holder,universe,Broad debt creditor sectors do not identify holders of a specific instrument.,Do not convert private-sector share into bank share or BODEN ownership.,FROZEN,AGN Res. 84/2015 pp.25-26
program_aggregate_overlap,aggregation,"First-stage, public-tender and budget-execution aggregates may overlap.",Never add them without an accounting bridge that proves disjoint scope.,FROZEN,Official 2008 program carriers
official_purchase_language_not_post_settlement_confirmation,phase,A same-day result communiqué says a purchase was made but also schedules later settlement.,Keep the event at award/result status until post-settlement Caja/BCRA evidence is preserved.,FROZEN,Official tender results and RC 212/24
announced_ceiling_not_award_or_cash,phase,"Cada llamado fija un monto máximo hasta el cual comprar, no un compromiso ni desembolso.",Usar el techo sólo como denominador descriptivo; nunca sumarlo a adjudicaciones o ejecución.,FROZEN,Cuatro llamados oficiales 2008
archive_inventory_not_settlement_confirmation,source,"El archivo oficial enumera piezas publicadas, pero no certifica entrega Caja ni pago BCRA.",Cerrar la serie publicada y mantener abierta la liquidación y cualquier pieza no archivada.,FROZEN,Archivo de Finanzas · Recompras voluntarias
fiduciary_account_not_transfer_confirmation,phase,Identificar la cuenta Caja 0306/40000 no prueba que los títulos hayan ingresado.,Exigir confirmación Caja T+3 y asiento/pago BCRA antes de marcar cash-settled.,FROZEN,Cuatro llamados oficiales p.2; RC 212/24
strip_effective_not_underlying_vno,unit,El valor efectivo del cupón y el VNO del BODEN subyacente son bases distintas.,Conservar ambas columnas y no sumarlas ni sustituir una por otra.,FROZEN,Resultado primario strip 2009 y anexo
archival_capture_preserves_primary_provenance,source,Una captura archivada puede preservar el binario oficial aunque la URL institucional histórica deje de resolver.,"Registrar URL original, sello de captura, digest CDX y hash local; no degradar el documento a fuente secundaria.",FROZEN,ARCHIVAL_PROVENANCE_V119.csv
approximate_program_aggregate_not_exact_reconciliation,aggregation,Dos montos cercanos y conversiones por fecha no forman una conciliación contable exacta.,Usar la brecha sólo como control de orden de magnitud y mantener CONTROL_NOT_ADDITIVE.,FROZEN,Informe BCRA 4T2008 y puente V119
public_api_record_not_individual_response,source,"El nodo público reproduce metadatos y un resumen, no la respuesta individual ni sus adjuntos.",Usar el API para fijar esquema y omisiones públicas; requerir el expediente para conocer la respuesta enviada.,FROZEN,AGN API node 2074c3d9-a535-497e-a97d-d74340ff49fb
custodian_nonproduction_not_zero_holdings,inference,Que Caja/CNV no entreguen datos a AGN no implica tenencias cero ni inexistencia de registros.,Clasificar como barrera de acceso y mantener abiertos padrón y liquidación.,FROZEN,"Resolución AGN 41/2016 pp.20-21, 101"
custodian_audit_period_not_2008_transaction,time,"La auditoría cubre 2009-2013 y una nota de 2014, no las liquidaciones de 2008.","Usarla como control institucional de divulgación, no como prueba directa de cada operación.",FROZEN,Resolución AGN 41/2016
intrasector_discrepancy_not_buyback_allocation,aggregation,La diferencia DISP-DMO es para deuda intrasector agregada y vintages 2009-2014.,"Conservarla como control de fuente; no asignarla a BODEN, recompras, bancos o beneficiarios.",FROZEN,Resolución AGN 41/2016 p.19
pre_gde_record_not_gde_identifier,record_system,"Una actuación de 2008-2009 es anterior a GDE y puede tener sólo identificador COMDOC; papel o sistema heredado.","Buscar primero el identificador original y luego toda migración; digitalización o cruce a GDE/GEDO/RUDO.",FROZEN,"Consulta de expedientes del Ministerio de Economía; convenio GDE BNA 2022"
reproduction_eligibility_not_destruction,retention,"Que una norma permita reproducir un documento después de cierto plazo no acredita que el original haya sido destruido.","Pedir copia autenticada; soporte; actas y registro de reproducción; y acto concreto de destrucción si se invoca.",FROZEN,Texto ordenado BCRA sobre conservación y reproducción
retention_minimum_elapsed_not_proof_of_destruction,retention,"El vencimiento de un plazo mínimo de conservación no demuestra que un registro haya sido eliminado.","Exigir serie; regla históricamente aplicable y acto o inventario individualizable de disposición.",FROZEN,"Normas BCRA/CNV; Directriz AGN de Evaluación Documental"
current_retention_rule_not_retroactive_2008,time,"Una regla de retención publicada hoy no necesariamente regía ni se aplica retroactivamente a documentación de 2008.","Pedir la regla vigente para la serie y período objetivos; además de migraciones y disposiciones posteriores.",FROZEN,"CNV Título VIII artículo 65; Comisión de Evaluación Documental"
public_archive_date_scope_not_operational_search,source,"Un archivo histórico público con fondo BCRA hasta 1991 no cubre registros operativos CRyL de 2008-2009.","Usar el alcance publicado como control negativo y exigir búsqueda en sistemas y archivos operativos internos.",FROZEN,Estado de fondos del Archivo de Documentos Históricos BCRA
repealed_archival_rule_not_current_duty,legal_time,"Una norma archivística derogada no crea una obligación procedimental vigente aunque describa prácticas históricas.","Verificar vigencia artículo por artículo y fundar el pedido en la regla actual o en la traza concreta del documento.",FROZEN,"Decreto 1131/2016 artículo 9; Resolución 44-E/2016"
