entity,target_basis,fy_status,nine_month_status,q4_four_leg_status,strict_panel_status,priority,next_action
Banco de Santa Cruz S.A.,SEPARATED_INDIVIDUAL,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT,OFFICIAL_SEPARATED_9M_OPENING_EXACT,EXACT,ELIGIBLE,CLOSED_V89,retain; BCRA-only pass income and issuer-presented zero expense legs
Banco de Inversion y Comercio Exterior S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_BICE_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V90,"retain; AGN SC rescue is report-only; promotion rests on BICE-specific FY issuer/raw crosswalk, not universal six-digit mapping"
Banco de Santiago del Estero S.A.,SEPARATED_INDIVIDUAL,BCRA_RAW_DEC_EXACT_ISSUER_COUNTERPARTY_OPENING_NOT_RECOVERED,BCRA_RAW_SEP_EXACT_ISSUER_COUNTERPARTY_OPENING_NOT_RECOVERED,N/D_STRICT,PENDING,6_HOLD,recover BSE-specific official FY2023 Annex Q/counterparty opening and compatible Sep presentation; raw-only 511108 remains insufficient
Banco Industrial S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V91,retain; entity-specific same-year FY issuer/raw crosswalk only; do not generalize six-digit account semantics
Nuevo Banco del Chaco S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_SEPARATED_ISSUER_VALIDATION,OFFICIAL_SEPARATED_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V92,retain; NBCH-specific same-year FY issuer/raw crosswalk only; preserve tiny negative Q4 other-FI-income residual; never generalize six-digit account semantics
Banco de La Pampa S.E.M.,INDIVIDUAL_ENTITY_REGULATORY_WITH_INDIVIDUAL_ISSUER_VALIDATION,OFFICIAL_INDIVIDUAL_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK; CNV_INDIVIDUAL_9M_FILING_IDENTIFIED_3121031,EXACT,ELIGIBLE,CLOSED_V93,retain; BLP-specific same-year FY issuer/raw crosswalk only; preserve tiny negative Q4 other-FI-expense residual; never generalize six-digit account semantics
Banco Provincia del Neuquén S.A.,INDIVIDUAL_STANDALONE_ENTITY_REGULATORY_WITH_ISSUER_VALIDATION,OFFICIAL_ISSUER_FY_ANNEXQ_EXACT_RAW_CROSSWALK,BCRA_RAW_SEP_EXACT_WITH_ENTITY_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V94,"retain; BPN-specific same-year crosswalk only; 2024 comparator used as taxonomy control, not nominal FY input"
Banco de Corrientes S.A.,INDIVIDUAL_ENTITY_REGULATORY_WITH_ISSUER_FY_VALIDATION,OFFICIAL_FY_ANNEXQ_DIRECT_BCRA_ONLY_EXACT_BINARY_PRESERVED_V161,BCRA_RAW_SEP_EXACT_WITH_CORRIENTES_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V161,retain; FY Annex Q maps 511108 to BCRA for Corrientes only; apply the same-entity same-year account-set bridge to Sep raw; never generalize the label
Banco de Formosa S.A.,SEPARATED_ENTITY_REGULATORY_WITH_ISSUER_9M_DIRECT_AND_FY_TOTAL_RESIDUAL_VALIDATION,OFFICIAL_FY_SEPARATED_BASIS_PLUS_EXACT_ISSUER_TOTAL_RESIDUAL_RECONSTRUCTION,OFFICIAL_SEPARATED_9M_ANNEXQ_DIRECT_FOUR_LEG_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V95,retain Formosa-specific crosswalk only; preserve tiny negative Q4 Other-FI-expense residual; never generalize six-digit account semantics
Banco CMF S.A.,BANK_ONLY / INDIVIDUAL_TARGET,OFFICIAL_SEPARATED_FY_ARCHIVE_MEMBER_PHYSICALLY_RECOVERED_PASS_TOTAL_EXACT_RAW_MATCH_COUNTERPARTY_SPLIT_MISSING,OFFICIAL_SEPARATED_9M_ARCHIVE_MEMBER_PHYSICALLY_RECOVERED_PASS_TOTAL_EXACT_RAW_MATCH_COUNTERPARTY_SPLIT_MISSING,N/D_STRICT_COUNTERPARTY_FLOW_SPLIT_MISSING,PENDING,HOLD_V98_SOURCE_BODY_RECOVERED,seek explicit same-year pass-result counterparty opening; BCRA-only closing stock cannot substitute for flow counterparty classification
Banco del Chubut S.A.,INDIVIDUAL_ENTITY_TARGET,BCRA_RAW_DEC_AVAILABLE_ISSUER_COUNTERPARTY_CROSSWALK_NOT_RECOVERED,BCRA_RAW_SEP_AVAILABLE_ISSUER_COUNTERPARTY_CROSSWALK_NOT_RECOVERED,N/D_STRICT,PENDING,HOLD_V96,seek official FY/9M 2023 issuer counterparty opening; do not classify 511108 by account name
Banco de Servicios y Transacciones S.A.,INDIVIDUAL_ENTITY_ISSUER_NO_SUBSIDIARIES,OFFICIAL_FY_ANNEX_Q_DIRECT_FOUR_LEG_SPLIT_EXACT_RAW_CROSSWALK,OFFICIAL_9M_PASS_TOTALS_PLUS_SAME_ENTITY_FY_CROSSWALK_EXACT,EXACT,ELIGIBLE,CLOSED_V96,retain BST-specific same-entity mapping only; never generalize six-digit accounts
Banco Columbia S.A.,SEPARATED_INDIVIDUAL,OFFICIAL_FY_ANNEXQ_EXACT_RAW_SET_RECONCILIATION_BINARY_PRESERVED_V106,OFFICIAL_SEPARATED_9M_TOTALS_EXACT_RAW_SET_RECONCILIATION_BINARY_PRESERVED_V106,EXACT,ELIGIBLE,CLOSED_V106,retain; V106 preserves both original issuer PDFs with SHA-256 and visually revalidates the V97 bridge
Banco Mariva S.A.,SEPARATED_INDIVIDUAL_WITH_ENTITY_SPECIFIC_RAW_BRIDGE,OFFICIAL_SEPARATED_FY_ANNEXQ_DIRECT_OTHERFI_ONLY_EXACT_BINARY_PRESERVED_V161,OFFICIAL_SEPARATED_9M_BASIS_CONFIRMED_NO_ANNEXQ_PLUS_MARIVA_SPECIFIC_SAME_YEAR_RAW_SET,EXACT,ELIGIBLE,CLOSED_V161,"retain; FY issuer totals reconcile the Mariva-only four-account set exactly; use that set at Sep 2023 only, with BCRA legs zero"
BACS Banco de Credito y Securitizacion S.A.,SEPARATED_INDIVIDUAL,OFFICIAL_SEPARATED_FY_DIRECT_FOUR_LEG_BINARY_PRESERVED_V106,OFFICIAL_SEPARATED_9M_DIRECT_FOUR_LEG_BINARY_PRESERVED_V106,EXACT,ELIGIBLE,CLOSED_V106,"retain; V106 preserves both originals with SHA-256; strict expense remains separated 14,063k, never consolidated 14,507k"
Banco Municipal de Rosario,SEPARATED_INDIVIDUAL,OFFICIAL_ANNUAL_SEPARATED_NOTE6_PLUS_ANNEXQ_VALUE_EXACT; ANNEXQ_HEADER_PERIOD_LABEL_ERROR; BINARY_PRESERVED_V106,OFFICIAL_SEPARATED_9M_ANNEXQ_DIRECT_BCRA_ONLY; BINARY_PRESERVED_V106,EXACT,ELIGIBLE,CLOSED_V106,retain; V106 preserves both originals with SHA-256 and retains the explicit FY Annex-Q header-typo caveat
Banco Provincia de Tierra del Fuego,INDIVIDUAL_ENTITY_REGULATORY_WITH_ISSUER_FY_VALIDATION,OFFICIAL_FY_ANNEXQ_BCRA_ONLY_EXACT_BINARY_PRESERVED_V106,BCRA_RAW_SEP_EXACT_WITH_BTF_SPECIFIC_SAME_YEAR_FY_CROSSWALK,EXACT,ELIGIBLE,CLOSED_V106,retain; V106 preserves the original FY PDF with SHA-256 and keeps the crosswalk BTF-only
Banco VOII S.A.,INDIVIDUAL_ENTITY_ISSUER,OFFICIAL_FY_ANNEXQ_DIRECT_FOUR_LEG_RAW_EXACT_BINARY_PRESERVED_V106,OFFICIAL_9M_ANNEXQ_DIRECT_FOUR_LEG_RAW_EXACT_BINARY_PRESERVED_V106,EXACT,ELIGIBLE,CLOSED_V106,retain; V106 preserves both originals with SHA-256 and keeps the tiny negative Q4 Other-FI-expense residual
Banco Rioja S.A.U.,INDIVIDUAL_ENTITY_ISSUER_TARGET,OFFICIAL_FY_ANNEXQ_BCRA_ONLY_WEB_VERIFIED_BUT_RAW_INCOME_MISMATCH_158789K_BINARY_NOT_PRESERVED,COMPATIBLE_9M_ISSUER_COUNTERPARTY_OPENING_NOT_RECOVERED,N/D_STRICT_MISMATCH,PENDING,HOLD_V102_MISMATCH,"explain FY issuer 14,409,056k vs raw 511108=14,250,267k difference 158,789k; recover compatible 9M issuer opening; do not infer by six-digit label"
Banco BMA S.A.U. (antes Banco Itaú Argentina S.A.),SEPARATED_INDIVIDUAL,OFFICIAL_SEPARATED_FY_ANNEXQ_DIRECT_FOUR_LEG_EXACT_BINARY_PRESERVED_V161_RAW_SET_RECONCILED,OFFICIAL_SEPARATED_9M_ANNEXQ_DIRECT_FOUR_LEG_EXACT_BINARY_PRESERVED_V161_RAW_SET_RECONCILED,EXACT,ELIGIBLE,CLOSED_V161,retain; both issuer periods publish the counterparty split and reconcile the entity-specific raw account sets exactly
