Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;2026-08-07;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;3000000;100000;24;1300;12;100;30,00;Personas humanas en relación de dependencia;4,00;159,14;Fija;159,14;9703,00;Provincia de Buenos Aires;0
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1000000;0;79;30,00;Clientes con cuenta en la entidad;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.;Pesos;145000000;20000;96;1250000;0;79;30,00;Todos los beneficiarios;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7:ACREDITA HABERES PARA CABA, GBA Y PATAGONIA. CAMPO 16:96 MESES                           TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1250000;0;79;30,00;Todos los beneficiarios;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES                                      TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;26000000;20000;96;1400000;12;79;30,00;Todos los beneficiarios;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES                       TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;;12;79;30,00;Clientes con cuenta en la entidad;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES                       INGRESO MINIMO: N A
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;;12;79;30,00;Clientes con cuenta en la entidad;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES                                   INGRESO MINIMO: N A
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1000000;0;79;30,00;Clientes con cuenta en la entidad;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;2026-03-10;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;26000000;20000;96;1400000;12;79;30,00;Todos los beneficiarios;3,00;147,19;Fija;196,44;94840,00;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES                                   TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30,00;Clientes con cuenta en la entidad;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30,00;Empleados públicos;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;24;74;30,00;Personas humanas Responsables Inscriptos;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;3;74;30,00;Clientes que acrediten sueldos en la entidad;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30,00;Personas humanas en relación de dependencia;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;24;74;30,00;Personas humanas Monotributistas;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;2026-08-27;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30,00;Beneficiarios de cuentas de la seguridad social;4,00;158,91;Fija;207,94;1011,00;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;6;81;30,00;Personas humanas en relación de dependencia;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;6;81;30,00;Empleados públicos;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;715600;12;81;30,00;Personas humanas Monotributistas;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;715600;12;81;30,00;Clientes con cuenta en la entidad;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;0;81;30,00;Beneficiarios de cuentas de la seguridad social;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;715600;12;81;30,00;Personas humanas Responsables Inscriptos;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;2026-06-11;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;3;81;30,00;Clientes que acrediten sueldos en la entidad;,00;58,59;Fija;74,34;50169,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Monotributistas;4,00;266,27;Fija;373,07;145675,00;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Personas humanas en relación de dependencia;4,00;266,27;Fija;373,07;145675,00;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30,00;Clientes que acrediten sueldos en la entidad;4,00;315,12;Fija;448,63;158142,00;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50,00;Beneficiarios de cuentas de la seguridad social;4,00;151,94;Fija;203,27;110681,00;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30,00;Clientes con cuenta en la entidad;4,00;266,27;Fija;373,07;145675,00;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;2026-08-21;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30,00;Personas humanas Responsables Inscriptos;4,00;266,27;Fija;373,07;145675,00;Provincia de Mendoza;
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40,00;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,70;726,00;Provincia de Córdoba;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40,00;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,70;726,00;Provincia de Mendoza;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40,00;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,70;726,00;Provincia de Salta;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40,00;Empleados públicos;4,84;97,46;Fija;126,70;726,00;Provincia de Tucumán;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40,00;Empleados públicos;4,84;97,46;Fija;126,70;726,00;Provincia de Córdoba;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40,00;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,70;726,00;Provincia de Tucumán;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40,00;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,70;726,00;Ciudad Autónoma de Buenos Aires;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40,00;Empleados públicos;4,84;97,46;Fija;126,70;726,00;Ciudad Autónoma de Buenos Aires;NO APLICA
