"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque","Leyenda"
"Strada","Julia","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Taiana","Jorge","BUENOS AIRES","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Tailhade","Rodolfo","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Tepp","Caren","SANTA FE","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Tita","Paulo Agustín","TIERRA DEL FUEGO","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Todero","Pablo","NEUQUEN","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Tolosa Paz","Victoria","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Tomassoni","Yamile","SANTA FE","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Torres","Rubén Darío","BUENOS AIRES","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Torres","Alejandra","CORDOBA","10/12/2023","09/12/2027","PROVINCIAS UNIDAS",
"Tortoriello","Aníbal","RIO NEGRO","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Tournier","José Federico","CORRIENTES","14/08/2024","09/12/2027","LA LIBERTAD AVANZA",
"Treffinger","César","CHUBUT","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Trotta","Nicolás Alfredo","BUENOS AIRES","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Urien","Hernán","BUENOS AIRES","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Valdés","Eduardo Félix","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Vancsik","Daniel","MISIONES","10/12/2023","09/12/2027","ARGENTINA FEDERAL",
"Vásquez","Patricia","BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Vega","Yolanda","SALTA","10/12/2023","09/12/2027","ARGENTINA FEDERAL",
"Velázquez","M. Elena","BUENOS AIRES","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Vera","Andrea Fernanda","BUENOS AIRES","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Verasay","Pamela Fernanda","MENDOZA","10/12/2025","09/12/2029","UCR - UNIÓN CÍVICA RADICAL",
"Villaverde","Lorena","RIO NEGRO","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Visconti","Gino","LA RIOJA","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Volnovich","Luana","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Yasky","Hugo","BUENOS AIRES","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Yedlin","Pablo Raúl","TUCUMAN","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Yeza","Martín","BUENOS AIRES","10/12/2023","09/12/2027","PRO",
"Zago","Oscar","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO",
"Zapata","Carlos Raúl","SALTA","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Zaracho","Natalia","BUENOS AIRES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Zigarán","María Inés","JUJUY","10/12/2025","09/12/2029","PROVINCIAS UNIDAS",
"Zulli","Christian Alejandro","CORRIENTES","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
