object_id,requested_record,minimum_fields,success_test,negative_response_rule,status,source_id
RO145_11,Scripts/mapeos v7→v9/v10,tabla origen;tabla destino;transformación;conteos,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_12,Testeo entre bases y diferencias,tabla;antes;después;diferencia;resolución,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_13,Prueba paralela e informes firmados,etapa;fecha;versión;diferencias;firmas,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_14,Responsables y tickets Mesa de Atención,nombre;cargo;función;número;fecha;solución,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_15,Dumps 2008 BMOVEXTERNO/AMOV_FORG,cuenta;movimiento;contracódigo;partida;vigencia;estado,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_16,C55 débito/diferencia/corrección/reversa,tipo;estado;C41;fecha;importe;cuenta;respuesta,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_17,"conc_01/conc_02, Libro Banco y extracto",cuenta;fecha;signo;importe;referencia;estado N/P/T,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv
RO145_18,Constancia fundada de inexistencia/expurgo,objeto;repositorios;fechas;norma;acto;responsable,archivo/constancia individualizable y reproducible,no basta respuesta genérica ni consulta actual sin cobertura,DRAFT_NOT_SENT,E0_SLU_BACKUP_RETENTION_DUTY_V158.csv;E0_SLU_MIGRATION_DOCUMENT_CHAIN_V158.csv;E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V158.csv


