row_id,year,sigade,provider_or_concept,amount_ars,sidif_disclosure,disclosure_level,source_id,locator,target_2008_use,caveat
DL133_15,2007,83006000,Caja de Valores,204066.00,VARIOS,AGGREGATED,e0_cgn_cuenta_inversion_2007_sdp,PDF_p68_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_16,2007,83008000,Caja de Valores,6503654.84,VARIOS,AGGREGATED,e0_cgn_cuenta_inversion_2007_sdp,PDF_p68_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_17,2007,83095000,Caja de Valores,1767506.02,VARIOS,AGGREGATED,e0_cgn_cuenta_inversion_2007_sdp,PDF_p68_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_18,2007,83020000,Comisiones Citibank,78747.58,165233;172217,ITEMIZED,e0_cgn_cuenta_inversion_2007_sdp,PDF_p68_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_19,2007,83106000,Comisiones Banco Nación,26656.30,83318;151752;240417,ITEMIZED,e0_cgn_cuenta_inversion_2007_sdp,PDF_p68_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_20,2009,83006000,Caja de Valores,153624.00,,BLANK,e0_cgn_cuenta_inversion_2009_sdp,PDF_p74_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_21,2009,83008000,Caja de Valores,8382988.47,,BLANK,e0_cgn_cuenta_inversion_2009_sdp,PDF_p74_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_22,2009,83095000,Caja de Valores,436394.99,,BLANK,e0_cgn_cuenta_inversion_2009_sdp,PDF_p74_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_23,2009,83020000,Comisiones Citibank,40769.78,,BLANK,e0_cgn_cuenta_inversion_2009_sdp,PDF_p74_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL133_24,2009,83106000,Comisiones Banco Nación,17557.10,,BLANK,e0_cgn_cuenta_inversion_2009_sdp,PDF_p74_Anexo_K,IMMEDIATE_YEAR_COMPARATOR,No es prueba de una operación 2008 ni de ausencia de comprobantes subyacentes.
DL139_25,2011,83106000,Comisiones BNA · convenio indemnización Ley 25.471 YPF,1101.10,C41 10675;90537;213939;296449,ITEMIZED,e0_cgn_cuenta_inversion_2011_sdp,PDF_p62_Anexo_K,DOCUMENT_TYPE_AND_SEMANTIC_DRIFT_COMPARATOR,Código reutilizado con concepto YPF; no prueba 2008.
DL139_26,2012,83106000,Comisiones BNA · convenio indemnización Ley 25.471 YPF,1113.20,VARIOS,AGGREGATED,e0_cgn_cuenta_inversion_2012_sdp,PDF_p52_Anexo_K,DOCUMENT_TYPE_AND_SEMANTIC_DRIFT_COMPARATOR,La agregación no excluye comprobantes subyacentes.
DL139_27,2013,83106000,Comisiones BNA · convenio indemnización Ley 25.471 YPF,1542.75,C41 76352;171921;281843,ITEMIZED,e0_cgn_cuenta_inversion_2013_sdp,PDF_p53_Anexo_K,DOCUMENT_TYPE_AND_SEMANTIC_DRIFT_COMPARATOR,"Concepto YPF; comparador formal, no identidad target."
DL139_28,2014,83106000,Comisiones BNA · convenio indemnización Ley 25.471 YPF,1748.45,C41 15660;89414;184508;300052,ITEMIZED,e0_cgn_cuenta_inversion_2014_sdp,PDF_p67_Anexo_K,DOCUMENT_TYPE_AND_SEMANTIC_DRIFT_COMPARATOR,"Concepto YPF; comparador formal, no identidad target."
DL139_29,2015,83106000,Comisiones BNA · convenio indemnización Ley 25.471 YPF,767.85,VARIOS,AGGREGATED,e0_cgn_cuenta_inversion_2015_sdp,PDF_p54_Anexo_K,DOCUMENT_TYPE_AND_SEMANTIC_DRIFT_COMPARATOR,Concepto YPF; VARIOS no asigna tipo.
