ledger_id,window,mechanism,phase,as_of_date,payer,recipient,universe,instrument,amount_original,original_unit,normalized_ars_million,valuation_basis,source_id,source_locator,realization_status,additivity,status_interpretation,caveat
F11,2003,FX_negative_position_coverage,DEBT_STOCK_ISSUED_AND_PLACED,2003-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagare_2012_coverage,6879649,ARS_thousand_updated,6879.649,UPDATED_VALUE_AT_2003_12_31,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,Single_page_table,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2003_PURPOSES_ONLY,Official end-2003 coverage-purpose debt stock.,Do not infer a realized gain from the face or updated value.
F12,2003,Depositor_bond_exchange,DEBT_STOCK_ISSUED_AND_PLACED,2003-12-31,Tesoro_Nacional,Depositors,Depositors_exercising_bond_options,BODEN_for_ahorristas,17664377,ARS_thousand_updated,17664.377,UPDATED_VALUE_AT_2003_12_31,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,Single_page_table,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2003_PURPOSES_ONLY,Official end-2003 depositor-purpose debt stock.,This is not bank compensation.
F13,2003,Quasi_currency_redemption,DEBT_STOCK_ISSUED_AND_PLACED,2003-12-31,Tesoro_Nacional,Provincial_quasi_currency_holders,Program_participants,BODEN_2011_and_2013_pesos,7086660,ARS_thousand_updated,7086.660,UPDATED_VALUE_AT_2003_12_31,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,Single_page_table,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2003_PURPOSES_ONLY,Official end-2003 quasi-currency redemption debt stock.,This proves that broad BODEN totals mix programs unrelated to bank compensation.
F14,2003,Public_wage_pension_13pct_restitution,DEBT_STOCK_ISSUED_AND_PLACED,2003-12-31,Tesoro_Nacional,Eligible_public_workers_and_pensioners,Eligible_holders,BODEN_2008_pesos,2546266,ARS_thousand_updated,2546.266,UPDATED_VALUE_AT_2003_12_31,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,Single_page_table,ISSUED_AND_PLACED_STOCK,ADD_WITHIN_ONP_2003_PURPOSES_ONLY,Official end-2003 13-percent-restitution debt stock.,This is unrelated to bank compensation.
F15,2003,All_BODEN_purposes,DEBT_STOCK_CONTROL_TOTAL,2003-12-31,Tesoro_Nacional,Mixed,Mixed,BODEN_and_pagares,51525296,ARS_thousand_updated,51525.296,UPDATED_VALUE_AT_2003_12_31,e0_onp_boletin_fiscal_2003q4_cuadro37_boden,Single_page_table,CONTROL_TOTAL,CONTROL_NOT_ADDITIVE,Control total across all published 2003 purpose buckets; components differ by ARS 0.001m from rounding.,Never label total BODEN as bank compensation.
F16,2003,ASymmetric_pesification,ACCOUNTING_TRANSFER_RECONCILIATION,2003-12-31,Administracion_Central,Financial_entities,System,Compensation_entry,1663238080,ARS,1663.238080,ACCOUNTING_RECONCILIATION_ENTRY,e0_cgn_cuenta_inversion_2003_tomo_i,PDF_p136_printed_124,ACCOUNTING_RECOGNITION_NOT_CASH,NON_ADDITIVE,The 2003 Account records compensation to banks under transfers granted.,The table reconciles budgetary and accounting treatment; it does not prove cash payment or new 2003 issuance.
F17,2003,ASymmetric_pesification,ACCOUNTING_TRANSFER_RECONCILIATION,2003-12-31,Administracion_Central,Banco_Galicia,Named_entity,Pagare_compensatorio_Decree_905,1171006541.60,ARS,1171.00654160,ACCOUNTING_RECONCILIATION_ENTRY,e0_cgn_cuenta_inversion_2003_tomo_i,PDF_p136_printed_124,ACCOUNTING_RECOGNITION_NOT_CASH,NON_ADDITIVE,Named compensatory note recorded in the 2003 accounting reconciliation.,May be part of instrument stock already reported elsewhere; do not sum without identifier-level bridge.
F18,2003,ASymmetric_pesification,ACCOUNTING_TRANSFER_RECONCILIATION,2003-12-31,Administracion_Central,Citibank_NA,Named_entity,Pagare_compensatorio_Decree_905,1089491912,ARS,1089.491912,ACCOUNTING_RECONCILIATION_ENTRY,e0_cgn_cuenta_inversion_2003_tomo_i,PDF_p136_printed_124,ACCOUNTING_RECOGNITION_NOT_CASH,NON_ADDITIVE,Named compensatory note recorded in the 2003 accounting reconciliation.,The same vintage also records a valuation adjustment; do not treat the note as cash or incremental profit.
F19,2003,Public_sector_exposure,BENEFICIARY_HOLDING_STOCK,2003-12-31,Public_sector,Financial_system,System,BODEN_mixed_origin,12034,ARS_million_equivalent,12034,PESO_EQUIVALENT_AT_2003_12_31,e0_bcra_bef_1s2004,PDF_p43_printed_40,BANK_ASSET_HOLDING_STOCK,NON_ADDITIVE,BCRA reports system BODEN holdings inside public-sector exposure.,The holding line mixes BODEN origins and is not equal to issuer compensation stock.
F20,2003,ASymmetric_pesification,BENEFICIARY_RECEIVABLE_STOCK,2003-12-31,Tesoro_Nacional,Financial_system,System,Compensaciones_a_recibir,14573,ARS_million_equivalent,14573,PESO_EQUIVALENT_AT_2003_12_31,e0_bcra_bef_1s2004,PDF_p43_printed_40,RECOGNIZED_RECEIVABLE_NOT_RECEIVED,NON_ADDITIVE,BCRA reports compensation receivables as public-sector exposure.,A receivable is not a delivered bond or a cash payment.
F21,2003,Depositor_bond_exchange,BCRA_FINANCING_STOCK,2003-12-31,BCRA,Financial_entities,System,Advances_for_BODEN_subscription,2568104,ARS_thousand,2568.104,CARRYING_VALUE,e0_bcra_informe_congreso_2003,PDF_p82,BCRA_CREDIT_NOT_FISCAL_TRANSFER,NON_ADDITIVE,BCRA advances financed bank subscriptions of BODEN delivered to depositors.,This is central-bank credit backed by assets and not Treasury compensation.
F22,2003,Depositor_bond_exchange,BCRA_LIABILITY_STOCK,2003-12-31,BCRA,Tesoro_Nacional,System,Obligations_for_BODEN_subscription,1972561,ARS_thousand,1972.561,CARRYING_VALUE,e0_bcra_informe_congreso_2003,PDF_p86,BCRA_OWES_TREASURY,NON_ADDITIVE,BCRA liability to the National Government linked to BODEN subscriptions.,This is not a payment by the Treasury to banks.
F23,2003,FX_negative_position_coverage,BCRA_FINANCING_DECISION,2003-12-31,BCRA,Financial_entities,Eligible_entities,BCRA_advance_for_coverage_subscription,0,QUALITATIVE_ZERO,0,NOT_APPLICABLE,e0_bcra_informe_congreso_2003,PDF_p83,NO_ADVANCES_GRANTED_AS_OF_CLOSE,NON_ADDITIVE,The report states that no BCRA coverage-subscription advances had been granted by closing.,Zero applies only to this BCRA facility at that vintage; it is not zero compensation.
F24,2003,ASymmetric_pesification,FINAL_VALIDATION_STATUS,2003-12-31,BCRA_and_Tesoro,Financial_entities,System,Definitive_compensation_assets,N/D,N/D,N/D,NOT_APPLICABLE,e0_bcra_informe_congreso_2003,PDF_pp82_83,FINAL_AMOUNT_PENDING_VALIDATION,NON_ADDITIVE,At closing the definitive compensation amount and assets to be received were still pending.,This blocks a final realized fiscal total through 2003.
F25,2003,Amparo_exchange_loss,ACCOUNTING_RELIEF,2003-12-31,No_fiscal_payer,Financial_entities,System,Loss_deferral_60_installments,N/D,N/D,N/D,ACCOUNTING_AMORTIZATION,e0_bcra_bef_1s2004,PDF_p24_printed_21,NOT_A_COMPENSATION,NON_ADDITIVE,BCRA explicitly says the 60-installment deferral did not grant any compensation.,Accounting smoothing must not enter the fiscal-transfer ledger.
F26,2004,ASymmetric_pesification,PRIOR_PERIOD_ACCOUNTING_CONVALIDATION,2004-12-31,Administracion_Central,Financial_entities_and_individuals,2002_registration,Public_debt_titles,16183544262,ARS,16183.544262,DECLARATIVE_CONVALIDATION_OF_2002_ENTRY,e0_cgn_cuenta_inversion_2004_tomo_i,PDF_p65_printed_52,PRIOR_2002_REGISTRATION_CONVALIDATED,NON_ADDITIVE,The 2004 Account validates the extra-budgetary amount recorded in the 2002 Account.,It is declarative and not a new 2004 issue transfer or cash payment.
F27,2004,ASymmetric_pesification,YEAR_END_DEBT_STOCK,2004-12-31,Tesoro_Nacional,Financial_entities,System,Compensatory_BODEN_and_pagares,17201249,ARS_thousand_updated,17201.249,UPDATED_VALUE_AT_2004_12_31,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2004_PURPOSE_TABLE_ONLY,Official compensation-purpose stock.,Stock embeds issuance service valuation and corrections; it is not a 2004 flow.
F28,2004,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,2004-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagare_2012_coverage,7039723,ARS_thousand_updated,7039.723,UPDATED_VALUE_AT_2004_12_31,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2004_PURPOSE_TABLE_ONLY,Official coverage-purpose stock.,Coverage is not automatically a free transfer.
F29,2004,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,2004-12-31,Tesoro_Nacional,Depositors,Depositor_options,BODEN_for_ahorristas,19520717,ARS_thousand_updated,19520.717,UPDATED_VALUE_AT_2004_12_31,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2004_PURPOSE_TABLE_ONLY,Official depositor-purpose stock.,Keep outside bank compensation.
F30,2004,All_BODEN_purposes,YEAR_END_CONTROL_TOTAL,2004-12-31,Tesoro_Nacional,Mixed,Mixed,BODEN_pagares_and_OCMO,53070390,ARS_thousand_updated,53070.390,UPDATED_VALUE_AT_2004_12_31,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,CONTROL_TOTAL,CONTROL_NOT_ADDITIVE,All-purpose BODEN control total.,Includes depositors quasi-currency and 13-percent compensation.
F31,2004,Financial_system_reordering,ADMINISTRATIVE_STATUS_NARRATIVE,2004-12-31,Gobierno_Nacional,Financial_system,System,Multiple_compensation_mechanisms,N/D,N/D,N/D,QUALITATIVE_STATUS,e0_cgn_cuenta_inversion_2004_sdp,PDF_p71,PRACTICALLY_FINALIZED_NARRATIVE,NON_ADDITIVE,The official narrative says mechanisms were practically finalized.,Subsequent 2005-2006 issues and adjustments disprove treating this wording as transactional closure.
F32,2005,CER_CVS_asymmetry,NET_ISSUANCE,2005-12-31,Tesoro_Nacional,Eligible_financial_entities,Eligible_CER_CVS_portfolios,BGN_pesos_variable_rate_2013,77,ARS_million_VNO,77,ORIGINAL_NOMINAL_NET_ISSUANCE,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NET_ISSUANCE_NOT_CASH,ADD_WITHIN_SAME_PURPOSE_CURRENCY_YEAR_ONLY,Execution under Law 25.796 and Resolution 561/2005.,Rounded VNO issue is not delivery by entity or cash.
F33,2005,ASymmetric_pesification,NET_ISSUANCE,2005-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2007_compensatory,2081,ARS_million_VNO,2081,NET_OF_DOWNWARD_ADJUSTMENTS,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NET_ISSUANCE_NOT_CASH,ADD_WITHIN_SAME_PURPOSE_CURRENCY_YEAR_ONLY,Net compensatory issue after adjustments to prior placements.,Do not infer gross delivery or cash.
F34,2005,ASymmetric_pesification,NET_ISSUANCE_CORRECTION,2005-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2012_compensatory,-35.8,USD_million_VNO,N/D,NET_OF_DOWNWARD_ADJUSTMENTS,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NEGATIVE_NET_ISSUANCE_CORRECTION,ADD_WITHIN_SAME_PURPOSE_CURRENCY_YEAR_ONLY,Net negative compensatory issuance evidences downward corrections.,Do not convert to ARS without dated transaction-level exchange rates.
F35,2005,FX_negative_position_coverage,COVERAGE_SUBSCRIPTION,2005-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2012_coverage,2001,USD_million_VNO,N/D,ORIGINAL_NOMINAL_SUBSCRIBED,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,SUBSCRIBED_NOT_FREE_TRANSFER,NON_ADDITIVE_WITH_COMPENSATION,Coverage subscription is an explicit separate leg.,Requires subscription-price and financing bridge.
F36,2005,ASymmetric_pesification,YEAR_END_DEBT_STOCK,2005-12-31,Tesoro_Nacional,Financial_entities,System,Compensatory_BODEN_and_pagares,15162578,ARS_thousand_updated,15162.578,UPDATED_VALUE_AT_2005_12_31,e0_cgn_cuenta_inversion_2005_sdp,PDF_p80,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2005_PURPOSE_TABLE_ONLY,Official compensation-purpose stock.,Stock is not annual issuance or cash.
F37,2005,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,2005-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagare_2012_coverage,7567855,ARS_thousand_updated,7567.855,UPDATED_VALUE_AT_2005_12_31,e0_cgn_cuenta_inversion_2005_sdp,PDF_p80,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2005_PURPOSE_TABLE_ONLY,Official coverage-purpose stock.,Do not add to subscriptions as a flow.
F38,2005,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,2005-12-31,Tesoro_Nacional,Depositors,Depositor_options,BODEN_for_ahorristas,17162588,ARS_thousand_updated,17162.588,UPDATED_VALUE_AT_2005_12_31,e0_cgn_cuenta_inversion_2005_sdp,PDF_p80,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2005_PURPOSE_TABLE_ONLY,Official depositor-purpose stock.,Keep outside bank compensation.
F39,2005,ASymmetric_pesification_and_depositor_relief,MIXED_DEBT_FINANCING,2005-12-31,Tesoro_Nacional,Banks_and_depositors,Mixed,BODEN_2007_2012_2013,2950.0,ARS_million,2950.0,BUDGET_NARRATIVE_PLACEMENT_VALUE,e0_onp_sintesis_ejecutiva_2005q4,PDF_p19,MIXED_BANK_DEPOSITOR_PLACEMENT,NON_ADDITIVE,The ONP budget heading combines banks depositors and other items.,Do not label as bank-only compensation or sum to purpose stocks.
F40,2005,ASymmetric_pesification,BUDGET_TRANSFER_ACCRUAL,2005-12-31,Administracion_Nacional,Financial_entities,Private_companies,Current_transfers,3300.29,ARS_million,3300.29,BUDGET_EXECUTION_DEVENGADO,e0_cgn_cuenta_inversion_2005_tomo_i,PDF_p118_printed_106,ACCRUED_TRANSFER_NOT_CASH_PROOF,NON_ADDITIVE,Bank-specific accrued transfer in the private-company budget category.,Does not identify entity date instrument or cash settlement and may overlap debt placement accounting.
F41,2005,FX_negative_position_coverage,SUBSCRIPTION_PRICE_DIFFERENCE_TRANSFER,2005-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2012,69.1,ARS_million,69.1,NOMINAL_AT_REGISTRATION_FX_MINUS_SUBSCRIPTION,e0_onp_sintesis_ejecutiva_2005q4,PDF_p19,TRANSFER_COMPONENT_WITHIN_MIXED_BUCKET,NON_ADDITIVE,Difference between ARS455.3m nominal at debt-registration FX and ARS386.2m subscription paid.,Likely overlaps broader transfer execution; do not add without accounting keys.
F42,2005,Decree_905_counterflow,BANK_DEPOSITS_TO_TREASURY,2005-12-31,Financial_entities,Tesoro_Nacional,System,Deposits_Art_13_Decree_905,970.96,ARS_million,970.96,BUDGET_FINANCING_INCREMENT_OF_EQUITY,e0_cgn_cuenta_inversion_2005_tomo_i,PDF_p124_printed_112,BANK_COUNTERFLOW_FINANCING_BALANCE,EXCLUDE_FROM_GROSS_COMPENSATION,Deposits under Article 13 appear as a financing counterflow.,Not a Treasury transfer to banks.
F43,2005,Financial_system_reordering,OTHER_FINANCIAL_ASSET_APPLICATION,2005-12-31,Administracion_Nacional,Mixed,Program_level,BODEN_2012_Decree_905,1107.46,ARS_million,1107.46,BUDGET_APPLICATION_OTHER_FINANCIAL_ASSETS,e0_cgn_cuenta_inversion_2005_tomo_i,PDF_p124_printed_112,PROGRAM_LEVEL_APPLICATION_AMBIGUOUS,NON_ADDITIVE,Program-level application under Decree 905.,Purpose and counterpart are insufficient for bank-compensation aggregation.
F44,2006,CER_CVS_asymmetry,NET_ISSUANCE,2006-12-31,Tesoro_Nacional,Eligible_financial_entities,Eligible_CER_CVS_portfolios,BGN_pesos_variable_rate_2013,11.9,ARS_million_VNO,11.9,ADDITIONAL_ORIGINAL_NOMINAL_ISSUANCE,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NET_ISSUANCE_NOT_CASH,ADD_WITHIN_SAME_PURPOSE_CURRENCY_YEAR_ONLY,Additional Law 25.796 issue.,Rounded VNO is not entity delivery or cash.
F45,2006,ASymmetric_pesification,NET_ISSUANCE,2006-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2007_compensatory,21.3,ARS_million_VNO,21.3,NET_OF_DOWNWARD_ADJUSTMENTS,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NET_ISSUANCE_NOT_CASH,ADD_WITHIN_SAME_PURPOSE_CURRENCY_YEAR_ONLY,Net compensatory issue after prior-placement adjustments.,Do not infer gross delivery or cash.
F46,2006,ASymmetric_pesification,NET_ISSUANCE_CORRECTION,2006-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2012_compensatory,-32.4,USD_million_VNO,N/D,NET_OF_DOWNWARD_ADJUSTMENTS,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NEGATIVE_NET_ISSUANCE_CORRECTION,ADD_WITHIN_SAME_PURPOSE_CURRENCY_YEAR_ONLY,Net negative compensatory issuance.,Do not convert to ARS without dated transactions.
F47,2006,FX_negative_position_coverage,COVERAGE_SUBSCRIPTION,2006-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_2012_coverage,1007,USD_million_VNO,N/D,ORIGINAL_NOMINAL_ADDITIONAL_ISSUANCE,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,SUBSCRIBED_NOT_FREE_TRANSFER,NON_ADDITIVE_WITH_COMPENSATION,Additional coverage issue.,Requires subscription price and financing bridge.
F48,2006,Compensation_total,YEAR_END_DEBT_STOCK,2006-12-31,Tesoro_Nacional,Financial_entities,System,Compensatory_BODEN_and_pagares_including_CER_CVS,11960610,ARS_thousand_updated,11960.610,UPDATED_VALUE_AT_2006_12_31,e0_cgn_cuenta_inversion_2006_sdp,PDF_p121,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2006_PURPOSE_TABLE_ONLY,"ARS11,881.044m pesification plus ARS79.566m CER-CVS.",Stock is not annual issuance or cash.
F49,2006,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,2006-12-31,Tesoro_Nacional,Financial_entities,System,BODEN_and_pagare_2012_coverage,9078371,ARS_thousand_updated,9078.371,UPDATED_VALUE_AT_2006_12_31,e0_cgn_cuenta_inversion_2006_sdp,PDF_p121,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2006_PURPOSE_TABLE_ONLY,Official coverage-purpose stock.,Do not add to coverage issuance as a flow.
F50,2006,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,2006-12-31,Tesoro_Nacional,Depositors,Depositor_options,BODEN_for_ahorristas_and_OCMO,14841964,ARS_thousand_updated,14841.964,UPDATED_VALUE_AT_2006_12_31,e0_cgn_cuenta_inversion_2006_sdp,PDF_p121,YEAR_END_PURPOSE_STOCK,ADD_WITHIN_2006_PURPOSE_TABLE_ONLY,Official depositor-purpose stock.,Keep outside bank compensation.
F51,2006,BNA_capitalization_and_compensation,MIXED_BUDGET_BUCKET,2006-12-31,Tesoro_Nacional,BNA_banks_and_depositors,Mixed,Pagares_transfers_and_bonds,1780.1,ARS_million,1780.1,BUDGET_EXECUTION_DEVENGADO,e0_onp_sintesis_ejecutiva_2006q4,PDF_p22_printed_21,MIXED_BNA_AND_COMPENSATION_BUCKET,CONTROL_NOT_ADDITIVE,"Includes ARS1,000m BNA capitalization plus compensation and price-difference coverage.",Never label the whole bucket bank compensation.
F52,2006,ASymmetric_pesification,MIXED_BANK_DEPOSITOR_COMPENSATION,2006-12-31,Tesoro_Nacional,Banks_and_depositors,Mixed,Compensation_and_coverage,762,ARS_million,762,BUDGET_NARRATIVE_COMPONENT,e0_onp_sintesis_ejecutiva_2006q4,PDF_p22_printed_21,MIXED_BANK_DEPOSITOR_COMPONENT,NON_ADDITIVE,"Broad compensation component within the ARS1,780.1m bucket.",Not bank-only and not separately reconciled to price-difference coverage.
F53,2006,ASymmetric_pesification,BUDGET_TRANSFER_ACCRUAL,2006-12-31,Administracion_Nacional,Financial_entities,Private_companies,Current_transfers,510.10,ARS_million,510.10,BUDGET_EXECUTION_DEVENGADO,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p142_printed_126,ACCRUED_TRANSFER_NOT_CASH_PROOF,NON_ADDITIVE,"Bank-specific transfer reported against ARS3,300.29m in 2005.",Does not identify entity date instrument or cash settlement.
F54,2006,Financial_system_reordering,DEBT_PLACEMENT_FINANCING,2006-12-31,Tesoro_Nacional,Mixed,Coverage_and_compensatory,BODEN_2012,3551.66,ARS_million,3551.66,BUDGET_FINANCING_PLACEMENT,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p136_printed_120,MIXED_PURPOSE_PLACEMENT,NON_ADDITIVE,Budget financing line combines coverage and compensatory BODEN 2012.,Cannot be added to transfer accruals or purpose stocks.
F55,2006,All_BODEN_2012_purposes,DEBT_SERVICE_AMORTIZATION,2006-12-31,Tesoro_Nacional,BODEN_2012_holders,Mixed,BODEN_2012,6935.20,ARS_million,6935.20,BUDGET_DEBT_SERVICE,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p137_printed_121,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,EXCLUDE_FROM_BANK_COMPENSATION_TOTAL,Series-level amortization control.,BODEN 2012 includes compensation coverage depositors and market placements.
F56,2006,All_BODEN_2007_purposes,DEBT_SERVICE_AMORTIZATION,2006-12-31,Tesoro_Nacional,BODEN_2007_holders,Mixed,BODEN_2007,1326.21,ARS_million,1326.21,BUDGET_DEBT_SERVICE,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p137_printed_121,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,EXCLUDE_FROM_BANK_COMPENSATION_TOTAL,Series-level amortization control.,BODEN 2007 includes compensation and depositor holdings.
F57,2006,BCRA_Treasury_financing,CANCELLATION_OF_CENTRAL_BANK_ADVANCES,2006-12-31,Tesoro_Nacional,BCRA,Institutional_financing,BCRA_advances,15998.20,ARS_million,15998.20,BUDGET_OTHER_LIABILITY_REDUCTION,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p137_printed_121,BCRA_FINANCING_CANCELLATION,EXCLUDE_FROM_BANK_COMPENSATION_TOTAL,Cancellation of BCRA advances.,Institutional financing settlement not compensation to commercial banks.
